Text,Media,GPE
"Ukraine will move to impose limitations on religious organizations in the country which have links to Russia, AFP reports citing President Volodymyr Zelenskyy's nightly address on Thursday.",CGTNOfficial,Russia
"Between 10,000 and 13,000 Ukrainian troops have been killed so far in the conflict with Russia, Reuters reports citing a senior aide to President Zelenskyy. Russia has denied targeting civilians and infrastructure in their military operation.",CGTNOfficial,Russia
Group of Seven nations and Australia join EU in setting $60-per-barrel price cap on Russian oil. It will enter into force on December 5th.,CGTNOfficial,Russia
British Foreign Secretary James Cleverly says Russian President Vladimir Putin might use ceasefire to re-arm his troops: The Telegraph,CGTNOfficial,Russia
"The United States said Friday it was disappointed that Russia had postponed talks on nuclear arms control, voicing willingness to sit down despite high tensions over the Ukraine conflict.",CGTNOfficial,Russia
"Former U.S. intelligence contractor Edward Snowden, who exposed the scale of secret surveillance by the National Security Agency (NSA), has sworn an oath of allegiance to Russia and received a Russian passport, TASS reported on Friday.",CGTNOfficial,Russia
"On Friday, Kremlin spokesperson Dmitry Peskov said that Russia “has always been, is and remains open to negotiations in order to ensure our interests.”",CGTNOfficial,Russia
"The death toll from the partial collapse of an apartment block in Russia's Nizhnevartovsk has risen to six, according to TASS.",CGTNOfficial,Russia
"Five people were killed and 10 others were taken to hospital in a residential building explosion in Russia's Nizhnevartovsk on Sunday, TASS reported.",CGTNOfficial,Russia
Yangtze River tunnel for China-Russia natural gas pipeline completed,CGTNOfficial,Russia
"Kyiv used unmanned drones to strike two bases in heart of Russia, according to the NYT, citing a Ukrainian official.",CGTNOfficial,Russia
A $60 per barrel price cap was imposed by the countries and Australia on Russian crude to punish for its conflict with . Will it have an effect or will it -as Russia alleges- further destabilize the oil markets?,CGTNOfficial,Russia
"2,500 found dead on Russia's Caspian coast.",CGTNOfficial,Russia
"The White House says it is not surprised by Russia’s reaction to price cap on Russian oil. The White House adds, the cap maintains incentives for Russia to continue exporting, Reuters reports.",CGTNOfficial,Russia
"2,500 endangered seals found dead on Russia's Caspian coast",CGTNOfficial,Russia
"G7 oil price cap kicks in, Russia bent on selling at market price",CGTNOfficial,Russia
"2,500 dead seals found on Russia's Caspian coast",CGTNOfficial,Russia
Rescue operations were underway in Russia's Yaroslavl city on Monday after a gas explosion occurred in a residential,CGTNOfficial,Russia
U.S. Secretary of State Blinken: we have neither encouraged nor enabled the Ukrainians to strike within Russia.,CGTNOfficial,Russia
Will the cap have an effect or will it -as Russia alleges- further destabilize the oil markets?,CGTNOfficial,Russia
Germany seized 25 members and supporters of a far-right group on Wednesday that the prosecutor's office claimed was planning a violent coup against the government to install a prince who had sought help from Russia as the new leader of the country.,CGTNOfficial,Russia
"Chinese Premier Li Keqiang on Monday expressed China's willingness to maintain high-level exchanges, strengthen cooperation in various fields with Russia, and deepen the China-Russia comprehensive strategic partnership.",CGTNOfficial,Russia
"Russia ready to employ all available resources to defend itself, TASS reported citing Russian President Vladimir Putin.",CGTNOfficial,Russia
"Russia will be able to send over 200,000 tons of mineral fertilizers to Africa as humanitarian aid, according to TASS.",CGTNOfficial,Russia
Brittney was freed on Thursday from Russian jail after spending 10 months in prison. The deal between the .S. and was part of a prisoners swap. The U.S. released Viktor in exchange for Griner.,CGTNOfficial,Russia
"U.S. citizen Sarah Krivanek, ordered deported from Russia in connection with a domestic dispute, says she has left the country, Reuters reports.",CGTNOfficial,Russia
"M5.6 quake hits Caucasus region, Russia: EMSC",CGTNOfficial,Russia
"President Vladimir Putin on Friday said Russia could amend its military doctrine by introducing the possibility of a preemptive strike to disarm an enemy, the AFP reported.",CGTNOfficial,Russia
"Critics are upset because Paul Whelan, an American veteran who is also detained in Russia, did not come home with Brittney Griner. But why didn't Whelan make it home? See more.",CGTNOfficial,Russia
