Text,Media,GPE
"Australian citizen has been held in custody in the since 2019, battling in British courts to avoid extradition to the U.S. He faces 17 espionage charges in connection with the release of leaked U.S. documents and confidential diplomatic cables by .",CGTNOfficial,USA
The craft beer industry in the United States has more than tripled in size over the last two decades.,CGTNOfficial,USA
"Biden and guests raised their glasses of California Brut Rosé to toast “the history that binds us and the values that unite us and to the future, we’re going to forge together.”",CGTNOfficial,USA
"The U.S President honored the French President and First Lady Brigitte, celebrating the “enduring alliance between France and the United States.”",CGTNOfficial,USA
"The United States said Friday it was disappointed that Russia had postponed talks on nuclear arms control, voicing willingness to sit down despite high tensions over the Ukraine conflict.",CGTNOfficial,USA
"The United States added 263,000 jobs in November, with the unemployment rate at 3.7 percent, official data showed on Friday.",CGTNOfficial,USA
"Live: As the world experiences severe changes caused by the COVID-19 pandemic crisis and geopolitical conflicts, where will the future lead us? The IFF 2022 Annual Meeting offers comprehensive discussions on these issues. Follow CGTN for more.",CGTNOfficial,USA
"A rogue wave, one that's greater than twice the size of surrounding waves, hit a Viking Cruise ship as it rode in a storm heading to Argentina on Tuesday. It caused panes of glass to break and one fell and killed a woman from the United States.",CGTNOfficial,USA
"The United States on Saturday condemned an attack a day earlier on the Pakistani embassy in Afghanistan’s capital, in which a senior Pakistani diplomat escaped unhurt but one of his Pakistani guards was wounded.",CGTNOfficial,USA
Let us know in the comments how do you think microplastics are affecting people's health?,CGTNOfficial,USA
"The judge accepted a U.S. government's stance that Prince Mohammed bin Salman, who was designated prime minister of Saudi Arabia in September, enjoys immunity in US courts as a foreign head of state.",CGTNOfficial,USA
Watch: How should we make sense of global financial stability? How can policymakers ensure financial stability? Join us at the IFF 2022 Annual Meeting for more insights.,CGTNOfficial,USA
"Video streaming is something many of us do on a daily basis. But is streaming content hurting our environment? While it does consume energy, experts say it’s not as concerning as other industries, at least for now. Take a look.",CGTNOfficial,USA
Team USA anticipates playing vs. China in the 2023 Women's World Cup.,CGTNOfficial,USA
The United States and Britain announced an energy partnership on Wednesday aimed at sustaining higher levels of liquefied natural gas (LNG) exports to Britain and collaborating on ways to increase energy efficiency.,CGTNOfficial,USA
"Hundreds of journalists and other staff held a rally Thursday afternoon outside The Times’ offices in . “We make the paper, we make the profits!” the crowd chanted.",CGTNOfficial,USA
"The document, drafted by UN committee chair and former First Lady of the United States Eleanor Roosevelt, is an international proclamation that protects the rights and liberties of all people.",CGTNOfficial,USA
"Other laureates include Jan Rachinsky, who represents the Russian group Memorial, and Oleksandra Matviichuk, who represents the Ukrainian organization Center for Civil Liberties, as well as Ben Bernanke, the former chairman of the United States Federal Reserve.",CGTNOfficial,USA
CGTN reporter Yang Chengxi is on the ground in the Saudi capital of Riyadh and tells us about the highlights of the first full day of President 's visit.,CGTNOfficial,USA
"Wednesday, December 14th marks 10 years since one of the worst school shootings in the United States. CGTN's Caroline Malone reports.",CGTNOfficial,USA
What can we as individuals do to help end plastic pollution at the needed scale? Climate behavioral scientist Dr. Sweta Chakraborty explains to us where we could start:,CGTNOfficial,USA
"CGTN’s Michelle Begue and Joel Richards take us on a weekly roundup of the latest events in Latin America, watch for more:",CGTNOfficial,USA
"In recent months, the area around El Paso has seen a surge in people attempting to cross the border. Over 53,000 migrant encounters were recorded by border agents in October, the Seattle Times reports.",CGTNOfficial,USA
US prosecutors: FTX founder Bankman-Fried made illegal campaign donations totaling in the 'tens of millions of dollars.',CGTNOfficial,USA
See how voting has changed in the United States and vote-by-mail is as popular as ever as we examine analyses from the 2022 midterm election.,CGTNOfficial,USA
"Cuban President Miguel Diaz-Canel on Wednesday acknowledged ""very discreet progress"" in cooperation with the United States, particularly in the area of ​​migration, despite the persistence of the American embargo against the island.",CGTNOfficial,USA
"The United States on Wednesday sanctioned what it described as a ""major drug dealer"" in the Dominican Republic, barring Americans from dealing with Jose ""La Arana"" Calderon and freezing his assets.",CGTNOfficial,USA
A group of young women representing various tribes in are at . They told us about their frustration with the colonialist mindset they say still prevails at conferences like these. Follow us for more and check out the video.,CGTNOfficial,USA
"""An arrest warrant was issued against him from Interpol. It has become imperative for us to cooperate in this file for the sake of Libya's interest and stability,"" Dbeibah said in a televised speech.",CGTNOfficial,USA
Libya's Prime Minister Abdulhamid al-Dbeibah indirectly acknowledged on Thursday that his administration had been involved in the transfer of a Lockerbie bombing suspect to the United States last week.,CGTNOfficial,USA
"Global Action Initiative 2022 on Sustainability starts this week, so let us know what you do.",CGTNOfficial,USA
We are headed towards massive die-offs all around the planet. That’s the crisis the Biodiversity Conference known as is trying to stop. Let us know what leaders should do.,CGTNOfficial,USA
Follow us for more and check out the video.,CGTNOfficial,USA
They told us about their frustration with the colonialist mindset they say still prevails at conferences like these.,CGTNOfficial,USA
"Raptors power forward, Juancho Hernangomez, warns that if changes don’t happen soon, climate change will deeply affect all of us. Do you agree? Comment below.",CGTNOfficial,USA
Do you know what “zero carbon” manufacturing looks like? Beijing-based beverage maker Genki Forest takes us on a tour of its facilities to show how it’s reducing emissions and waste. Watch the full documentary: …,CGTNOfficial,USA
