Text,Media,GPE
"Prices at the pump continue to plunge, dropping the US average for gasoline below where it was when Russia invaded Ukraine.",CNN,Russia
"For many trans people, Russia's invasion of Ukraine has made it much more difficult to be who they are.",CNN,Russia
"""Why haven't you labeled Russia a state sponsor of terrorism?"" CNN's questions Sec. Antony Blinken about the US response to Russian President Vladimir Putin's war in Ukraine.",CNN,Russia
"Watch: speaks with members of Ukraine's Russian Legion, comprised of Russian defectors and volunteers who fled their country to protect Ukraine, about defending the city of Bakhmut and their hopes for Russia's future.",CNN,Russia
"Russian President Vladimir Putin has signed into law a bill banning so-called LGBTQ ""propaganda"" in Russia",CNN,Russia
"An airfield in Russia's Kursk region that borders Ukraine was hit with a drone strike. Ret. US Army Major Mike Lyons explains how the attack, which Ukraine has not taken responsibility for, is an advantage for Ukraine. Watch:",CNN,Russia
Here are 5️⃣ things you need to know today: 1️⃣ Georgia runoff 2️⃣ Mauna Loa eruption 3️⃣ SCOTUS 4️⃣ Flu vaccine 5️⃣ Russia missiles,CNN,Russia
Explosions at two Russian air bases have focused attention on Ukraine’s efforts to develop longer-range combat drones. Retired Lt. Gen. Ben Hodges explains why this development could be significant in the war with Russia. Watch here:,CNN,Russia
. travels to an undisclosed location near the Russian border to witness the arrival of two buses carrying 60 Ukrainian prisoners released in a swap with Russia. Watch the exclusive report here:,CNN,Russia
"Russia demanded that a spy held in Germany be freed in exchange for Paul Whelan, even as the US offered up the names of several other Russian prisoners in US custody that they would be willing to trade",CNN,Russia
"WNBA star Brittney Griner arrived in San Antonio, Texas, after a prisoner exchange with Russia. Watch the moment she touched down on US soil:",CNN,Russia
WNBA star Brittney Griner lands in the US after prisoner exchange with Russia,CNN,Russia
"Former US Ambassador to the UN Bill Richardson, who helped secure Brittney Griner’s release, explains to how the geo-political differences between Russia and the US affected the chances of being able to swap two Americans for two Russian prisoners.",CNN,Russia
Prolonged negotiations and a key point on which Putin wouldn't budge led to the deal that freed Brittney Griner but left Paul Whelan in Russia.,CNN,Russia
"Russian President Vladimir Putin floated the possibility that Russia may formally change its military doctrine of not being the first to use nuclear weapons in a conflict, days after he warned of the “increasing” threat of nuclear war",CNN,Russia
"What Russia cannot win on the battlefield, it is seeking to win by casting Ukrainian cities into the dark and cold as a long winter sets in",CNN,Russia
"Russian President Vladimir Putin floated the possibility that Russia may formally change its military doctrine of not being the first to use nuclear weapons in a conflict, days after he warned of the “increasing” threat of nuclear war",CNN,Russia
"After being imprisoned in Russia for nearly 10 months, WNBA star Brittney Griner’s safe return to the US on Friday was marked by a stop at a Texas military medical facility for a routine evaluation, the US State Department said",CNN,Russia
"What Russia cannot win on the battlefield, it is seeking to win by casting Ukrainian cities into the dark and cold as a long winter sets in",CNN,Russia
"Russian President Vladimir Putin floated the possibility that Russia may formally change its military doctrine of not being the first to use nuclear weapons in a conflict, days after he warned of the “increasing” threat of nuclear war",CNN,Russia
"Biden administration officials met virtually with Elizabeth Whelan, whose brother Paul Whelan remains detained in Russia, she told CNN",CNN,Russia
President Joe Biden and Ukrainian President Volodymyr Zelensky spoke on Sunday to discuss Russia’s invasion and recent US efforts to strengthen Ukraine’s air defenses.,CNN,Russia
President Joe Biden welcomes nearly 50 leaders from Africa on Wednesday for a summit intended to reset Washington’s commitment to a region where China and Russia are also working to expand their influence,CNN,Russia
CNN's reports from Ukraine's border with Belarus where there is growing concern about Russia once again assembling troops and holding joint-combat drills:,CNN,Russia
"The global energy crisis caused by Russia’s war on Ukraine has pushed global demand for coal – the most polluting of all fossil fuels – to a record high in 2022, the International Energy Agency said",CNN,Russia
