Text,Media,GPE
Sheets of dollar bills rolling off the presses at the Fort Worth Bureau of Engraving and Printing will soon bear the signature of US Treasury Secretary Janet Yellen,CNN,USA
"The US should not be negotiating with Iran “on anything right now,” including a nuclear agreement, former US Secretary of State Hillary Clinton said",CNN,USA
"The Kremlin said that any details of prisoner swap discussions with the United States will not be publicly disclosed and that Moscow is not planning to engage with the Biden administration before the end of the year, according to Russian state media",CNN,USA
"“I didn’t get, like, hit in the balls,” US Men’s National Team captain Christian Pulisic said. “I’m alright. I’m alright.""",CNN,USA
"Prices at the pump continue to plunge, dropping the US average for gasoline below where it was when Russia invaded Ukraine.",CNN,USA
"US President Joe Biden will spend Thursday taking part in a flurry of events as part of his first state visit since taking office, welcoming the arrival of French President Emmanuel Macron and his spouse, Brigitte Macron.",CNN,USA
"The buildup to the US v Iran World Cup game focused on political tensions, but the players themselves put on a show of solidarity, with US players embracing Iranian players after the match.",CNN,USA
"Officials are bracing for an influx of migrants trying to cross into the United States when the controversial public health authority, known as Title 42, ends in three weeks",CNN,USA
"A nine-figure settlement between the estate of Jeffrey Epstein and the US Virgin Islands has been signed, according to the islands’ attorney general.",CNN,USA
The United States Women’s National Team earned more money from its male equivalent reaching the knockout stages of the 2022 FIFA World Cup in Qatar than it did from winning its own tournaments in 2015 and 2019,CNN,USA
"The Biden administration is considering a dramatic expansion in the training the US military provides to Ukrainian forces, according to multiple US officials.",CNN,USA
"Mexican-American drug trafficker Edgar Valdez Villareal, alias “La Barbie,” is “not currently in federal custody” in the United States, the Federal Bureau of Prisons told CNN.",CNN,USA
The United States Women’s National Team earned more money from its male equivalent reaching the knockout stages of the 2022 FIFA World Cup in Qatar than it did from winning its own tournaments in 2015 and 2019,CNN,USA
The US Food and Drug Administration is considering shifting its blood donation policy away from blanket assessments toward questionnaires that focus more on individual risk,CNN,USA
"Officials are bracing for an influx of migrants trying to cross into the United States when the controversial public health authority, known as Title 42, ends in three weeks",CNN,USA
"The US military wants its adversaries, as well as allies, to know that, for the first time, a US Navy nuclear-powered ballistic missile submarine has docked at an island in the Indian Ocean as part of an extended months-long deployment.",CNN,USA
Christian Pulisic is “cleared to play” in the USA's World Cup match against the Netherlands on Saturday,CNN,USA
Sheets of dollar bills rolling off the presses at the Fort Worth Bureau of Engraving and Printing will soon bear the signature of US Treasury Secretary Janet Yellen,CNN,USA
"The Russian government formally told the US Embassy last week about Brittney Griner’s transfer to a remote penal colony, weeks after the wrongfully detained WNBA star had been moved, according to the Biden administration.",CNN,USA
Team USA was eliminated from the World Cup after a 3-1 loss to the Netherlands in first match of knockout round.,CNN,USA
The coffee-flavored drink has experienced such a resurgence that it has entered the top 10 list of most ordered cocktails at US bars this year.,CNN,USA
"Nearly 20,000 people in the United States were admitted to the hospital for flu last week, almost double the number of admissions from the week before.",CNN,USA
Team USA eliminated from the World Cup after a 3-1 loss to the Netherlands in first match of knockout round,CNN,USA
The knockout round of the World Cup starts now. The US faces off against the Netherlands in a do-or-die match. Follow live updates.,CNN,USA
The round of 16 match on Saturday between the US Men’s National Team and the Netherlands is one of the more intriguing clashes in the first knockout round of Qatar 2022,CNN,USA
"The US military wants its adversaries, as well as allies, to know that, for the first time, a US Navy nuclear-powered ballistic missile submarine has docked at an island in the Indian Ocean as part of an extended months-long deployment.",CNN,USA
Sheets of dollar bills rolling off the presses at the Fort Worth Bureau of Engraving and Printing will soon bear the signature of US Treasury Secretary Janet Yellen,CNN,USA
A Florida police chief has been placed on administrative leave after footage taken from a traffic stop last month revealed she told a deputy she was “hoping that you’ll just let us go tonight” and flashed her badge.,CNN,USA
Aidan Reilly co-founded The Farmlink Project and brought together a network of young volunteers to tackle food waste and insecurity while helping to feed people in need across the US. Help Aidan become the next CNN Hero of the Year. Vote now:,CNN,USA
Several days of heavy rain are forecast across portions of the southern US this week,CNN,USA
"""Why haven't you labeled Russia a state sponsor of terrorism?"" CNN's questions Sec. Antony Blinken about the US response to Russian President Vladimir Putin's war in Ukraine.",CNN,USA
A former Iran national team football player has criticized authorities for their “silence” over the death of a man who celebrated the country’s World Cup defeat to the United States earlier this week.,CNN,USA
The runoff for Georgia’s remaining US Senate seat took the spotlight during the latest episode of “Saturday Night Live.”,CNN,USA
"The US military wants its adversaries, as well as allies, to know that, for the first time, a US Navy nuclear-powered ballistic missile submarine has docked at an island in the Indian Ocean as part of an extended months-long deployment.",CNN,USA
"The US military wants its adversaries, as well as allies, to know that, for the first time, a US Navy nuclear-powered ballistic missile submarine has docked at an island in the Indian Ocean as part of an extended months-long deployment.",CNN,USA
"Chinese government-linked hackers have stolen at least $20 million in US government coronavirus relief funds, a US Secret Service spokesperson told CNN Monday.",CNN,USA
"If you've been sweating out that latest deadline for REAL ID required for US air travel, you're getting another reprieve.",CNN,USA
Pfizer and BioNTech have submitted an application to the US Food and Drug Administration for their updated Covid-19 vaccine to be used as the third shot in the three-dose primary vaccine series for children ages 6 months through 4 years.,CNN,USA
A Florida police chief has been placed on administrative leave after footage taken from a traffic stop last month revealed she told a deputy she was “hoping that you’ll just let us go tonight” and flashed her badge.,CNN,USA
