Text,Media,GPE
"Prices at the pump continue to plunge, dropping the US average for gasoline below where it was when Russia invaded Ukraine.",CNN,Ukraine
Here are 5️⃣ things to know for December 1. 1️⃣ Ukraine 2️⃣ Student loan forgiveness plan 3️⃣ Trump’s taxes 4️⃣ Title 42 border policy 5️⃣ Uvalde lawsuit,CNN,Ukraine
The European Union has agreed to limit the price of Russian oil in an effort to hinder Putin's war on Ukraine.,CNN,Ukraine
"For many trans people, Russia's invasion of Ukraine has made it much more difficult to be who they are.",CNN,Ukraine
"""Why haven't you labeled Russia a state sponsor of terrorism?"" CNN's questions Sec. Antony Blinken about the US response to Russian President Vladimir Putin's war in Ukraine.",CNN,Ukraine
"Watch: speaks with members of Ukraine's Russian Legion, comprised of Russian defectors and volunteers who fled their country to protect Ukraine, about defending the city of Bakhmut and their hopes for Russia's future.",CNN,Ukraine
"Senior International Correspondent reports from Bucha, Ukraine, where many residents are bracing for a winter without power while they recover from Russian bombardment. For more on this story, watch here:",CNN,Ukraine
"An airfield in Russia's Kursk region that borders Ukraine was hit with a drone strike. Ret. US Army Major Mike Lyons explains how the attack, which Ukraine has not taken responsibility for, is an advantage for Ukraine. Watch:",CNN,Ukraine
Explosions at two Russian air bases have focused attention on Ukraine’s efforts to develop longer-range combat drones. Retired Lt. Gen. Ben Hodges explains why this development could be significant in the war with Russia. Watch here:,CNN,Ukraine
"Ukrainian President Volodymyr Zelensky and the ""spirit of Ukraine"" named TIME Person of the Year",CNN,Ukraine
Here are 5️⃣ things you need to know today: 1️⃣ Same-sex and interracial marriage bill 2️⃣ Ukraine 3️⃣ North Carolina power grid 4️⃣ US immigration 5️⃣ New Covid-19 admissions,CNN,Ukraine
"Nearly 10 months after his invasion of Ukraine began, President Vladimir Putin acknowledged that the conflict is “going to take a while”",CNN,Ukraine
An intercepted phone call between a Russian soldier and his mother reveals conditions on the front lines of Russian President Vladimir Putin's war in Ukraine. CNN’s has the story:,CNN,Ukraine
"Pope Francis broke down in tears while talking about the war in Ukraine during an annual prayer at Rome’s Spanish Steps to mark the Feast of the Immaculate Conception, a national holiday in Italy",CNN,Ukraine
"Freed Russian arms dealer Viktor Bout said on Saturday he “wholeheartedly” supports Moscow’s so-called “military operation” in Ukraine and that if he had the opportunity and necessary skills, he would “certainly go as a volunteer.”",CNN,Ukraine
Russian Nobel Peace Prize laureate Yan Rachinsky blasted President Vladimir Putin’s “insane and criminal” war on Ukraine in his acceptance speech,CNN,Ukraine
"CNN's argues the Biden administration has used the war in Ukraine to reinvigorate the Western alliance, while at the same time squandering gains by pursuing protectionist policies. Watch Fareed's Take:",CNN,Ukraine
Here are 5️⃣ things to know for December 11. 1️⃣ Ukraine 2️⃣ Severe weather 3️⃣ Bangladesh 4️⃣ Lockerbie 5️⃣ Grant Wahl,CNN,Ukraine
"CNN’s speaks with former Green Beret Ryan Hendrickson who is on the ground in Mykolaiv, Ukraine, working to clear explosives left behind by the Russians. Watch:",CNN,Ukraine
"Senior International Correspondent visits a hospital in Kostiantynivka, Ukraine, where injured civilians are being treated amid intense fighting in the region. Watch:",CNN,Ukraine
Here are 5️⃣ things to know for December 12. 1️⃣ Severe winter storm 2️⃣ Artemis I mission 3️⃣ Ukraine power grid 4️⃣ World Cup semifinals 5️⃣ China's Covid-19 trace tracking system,CNN,Ukraine
President Joe Biden and Ukrainian President Volodymyr Zelensky spoke on Sunday to discuss Russia’s invasion and recent US efforts to strengthen Ukraine’s air defenses.,CNN,Ukraine
"The Biden administration is finalizing plans to send the Patriot missile defense system to Ukraine to aid against Russian air attacks, officials say",CNN,Ukraine
"Coordinator for Strategic Communications at the National Security Council John Kirby speaks with CNN’s about the latest developments in the war in Ukraine, as well as what's ahead for Brittney Griner following her release from a Russian penal colony. Watch here:",CNN,Ukraine
Here are 5⃣ things you need to know today 👇 1⃣ Biden administration prepares for surge of migrants 2⃣ Storms rage across the US 3⃣ Student loan forgiveness 4⃣ US to send Patriot missile defense system to Ukraine 5⃣ Sandy Hook anniversary,CNN,Ukraine
CNN's reports from Ukraine's border with Belarus where there is growing concern about Russia once again assembling troops and holding joint-combat drills:,CNN,Ukraine
Retired Major General James “Spider” Marks joins CNN’s to explain the significance of the Biden administration finalizing plans to send the Patriot missile defense system to Ukraine. Watch here:,CNN,Ukraine
"Missile strikes in Ukraine Friday plunged citizens back into cold and darkness, days before the winter holidays. Watch 's latest report here:",CNN,Ukraine
"The global energy crisis caused by Russia’s war on Ukraine has pushed global demand for coal – the most polluting of all fossil fuels – to a record high in 2022, the International Energy Agency said",CNN,Ukraine
A fresh barrage of Russian missile attacks across Ukraine on Friday morning put the entire country under air-raid alarm and sent people scrambling for shelter as explosions sounded overhead,CNN,Ukraine
Here are 5⃣ things you need to know today 👇 1⃣ Russian strikes in Ukraine 2⃣ Military Covid vaccine mandate 3⃣ High-profile journalists suspended from Twitter 4⃣ White House plan for lifting Title 42 5⃣ California's plan for carbon neutrality,CNN,Ukraine
"Russian missile strikes across Ukraine target infrastructure, knocking out power on the railways and leaving cities like Kharkiv without electricity. Follow live updates:",CNN,Ukraine
Ukraine’s presidential office is criticizing FIFA for refusing to show a video message from President Volodymyr Zelensky in Qatar’s Lusail Stadium ahead of the World Cup final.,CNN,Ukraine
"At least two people were hurt and key infrastructure has been damaged in a Russian drone assault on the Ukrainian capital Kyiv, the latest attempt by Moscow to ravage Ukraine’s power supplies.",CNN,Ukraine
"""Less than a year into his term as president of Ukraine, Volodomyr Zelensky’s skills as negotiator were put to the test in his first face-to-face meeting with Russian President Vladimir Putin,"" writes Michael Bociurkiw",CNN,Ukraine
"The $1.7 trillion federal spending bill includes roughly $45 billion in emergency assistance to Ukraine and NATO allies, boosts in spending for disaster aid and more",CNN,Ukraine
"The US is expected to send Ukraine precision bomb kits that will turn existing unguided munitions, or “dumb” bombs, into precision-guided “smart” bombs known",CNN,Ukraine
"Snake Island has a special place in Ukraine’s folklore, now more than ever.",CNN,Ukraine
Senior International Correspondent visits Snake Island in the Black Sea. See what he found at the strategically significant location in the Russia-Ukraine war.,CNN,Ukraine
Russian President Vladimir Putin made a rare visit to neighboring Belarus as Ukraine says it fears a full-scale invasion from Belarus is imminent. CNN’s reports.,CNN,Ukraine
"Ukrainian President Volodymyr Zelensky says his country, along with those who have been supporting Ukraine, are fighting for ""victory against this tyranny""",CNN,Ukraine
"""We both want this war to end,"" President Biden says, emphasizing that he and Ukrainian President Volodymyr Zelensky ""share the exact same vision"" for peace in Ukraine",CNN,Ukraine
Ukraine’s President Volodymyr Zelensky shares a message for Putin from a joint press conference with President Joe Biden at the White House. Watch here:,CNN,Ukraine
"The US announced this week that it is providing a Patriot missile battery to Ukraine — but experts say that while it will be a valuable addition to the beleaguered country’s air defense, it’s not a cure-all.",CNN,Ukraine
"EXCLUSIVE: The Biden administration has launched an expansive task force to investigate how US and western components are ending up in Iranian-made drones Russia is launching into Ukraine, multiple officials familiar with the effort tell CNN",CNN,Ukraine
"Russia has continued expanding its military bases in the Arctic region despite significant losses in its war on Ukraine, according to a new series of satellite images obtained by CNN",CNN,Ukraine
"EXCLUSIVE: The Biden administration has launched an expansive task force to investigate how US and western components are ending up in Iranian-made drones Russia is launching into Ukraine, multiple officials familiar with the effort tell CNN",CNN,Ukraine
"Video released by the Russian Defence Ministry shows Minister Sergei Shoigu on the frontlines in Ukraine reassuring soldiers to ""keep calm"" because ""everything is fine."" reports:",CNN,Ukraine
Zelensky took the opportunity in his speech to thank the US for assisting Ukraine in the war against Russia,CNN,Ukraine
"Russia’s foreign ministry condemned what it called the “monstrous crimes” of the “regime in Kyiv,” after US President Joe Biden promised more military support to Ukraine during Zelensky’s summit at the White House",CNN,Ukraine
"Ukrainian President Volodymyr Zelensky is now addressing members of Congress after presenting a united front with President Biden, who assured continued support for Ukraine. Watch live here",CNN,Ukraine
Russian President Vladimir Putin used the word “war” for the first known time to refer to the conflict in Ukraine. CNN contributor explains why this is significant. Watch:,CNN,Ukraine
"President Biden signed the National Defense Authorization Act into law, a massive defense spending bill with provisions that will give service members a pay raise, fund support for Ukraine and Taiwan, and rescind the US military's Covid-19 vaccine mandate.",CNN,Ukraine
"Russian President Vladimir Putin on Thursday used the word “war” to refer to the conflict in Ukraine, the first known time he has publicly deviated from his carefully crafted description of Moscow’s invasion as a “special military operation”",CNN,Ukraine
"Here are 5⃣ things you need to know today 👇 1⃣ Air travel disruption 2⃣ Jan 6. committee 3⃣ Putin publicly calls fighting in Ukraine a ""war"" 4⃣ Immigration 5⃣ International Space Station",CNN,Ukraine
"Russian President Vladimir Putin on Thursday used the word “war” to refer to the conflict in Ukraine, the first known time he has publicly deviated from his carefully crafted description of Moscow’s invasion as a “special military operation”",CNN,Ukraine
"From Russia's war in Ukraine to the mass shooting at an elementary school in Uvalde, Texas, to the death of Queen Elizabeth II, these are some of the remarkable stories of 2022",CNN,Ukraine
Former US Ambassador to Ukraine William Taylor tells CNN's why he thinks Russian President Vladimir Putin is now offering to negotiate in his war against Ukraine. Watch here:,CNN,Ukraine
"As a year dominated by Russia’s war on Ukraine draws to a close, Vladimir Putin has made a point of suggesting he is open to peace talks despite evidence to the contrary, with comments that have been roundly dismissed by Kyiv and the West as a ruse.",CNN,Ukraine
"From Russia’s war in Ukraine, to the Queen’s death, to the first Black woman being seated on the US Supreme Court -- these were some of the biggest and most remarkable stories of the year. Explore our special feature “2022: The Year in Pictures” here:",CNN,Ukraine
Here are 5️⃣ things to know for December 27. 1️⃣ Deadly winter storm 2️⃣ Ukraine’s power grid 3️⃣ China Covid-19 quarantine requirements 4️⃣ Extreme weather around the world 5️⃣ Immigration,CNN,Ukraine
"From Russia’s war in Ukraine to the mass shooting at an elementary school in Uvalde, Texas, to the death of the Queen, these were some of the biggest and most remarkable stories of the year. Explore our special feature “2022: The Year in Pictures"" here:",CNN,Ukraine
"Russian soldiers taking part in the war on Ukraine will be eligible for free sperm freezing and storage in cryobanks, Russia’s state news agency Tass reported, citing a lawyers union",CNN,Ukraine
Biden signs $1.7 trillion government funding bill to avoid a shutdown. The bill includes more emergency aid for Ukraine and natural disaster relief.,CNN,Ukraine
Explosions rattled villages and cities across Ukraine on Thursday in what Kyiv has called one of Moscow's largest missile barrages since the war began in February. Follow live updates:,CNN,Ukraine
Explosions rattled villages and cities across Ukraine on Thursday in what Kyiv has called one of Moscow's largest missile barrages since the war began in February,CNN,Ukraine
Here are 5⃣ things you need to know today 👇 1⃣ Missile strikes across Ukraine 2⃣ Southwest Airlines 3⃣ Harrowing accounts of those who died in the snowstorm 4⃣ More false claims from George Santos emerge 5⃣ Migrants,CNN,Ukraine
Here are 5⃣ things you need to know today 👇 1⃣ Ukraine 2⃣ Buffalo blizzard victims 3⃣ Sesame will join the major food allergens list 4⃣ George Santos continues to face scrutiny 5⃣ Brazilian soccer legend Pelé dies at 82,CNN,Ukraine
"Ukraine said its forces shot down 16 Iranian-made drones launched by Russia overnight, a day after what appeared to be one of Moscow's largest missile barrages since the war began. Follow live updates:",CNN,Ukraine
Vladimir Putin invites Xi Jinping to Moscow in 2023 during video meeting as the Ukraine war tests the Russia-China partnership,CNN,Ukraine
