Text,Media,GPE
"China's auto export industry registered steady growth amid headwinds such as chip shortage, rise of raw material prices, and the pandemic, with export totaling 2.46 million units in the first 10 months, up 54.1 percent on a yearly basis.",ChinaDaily,China
"With increasingly stronger institutions for biodiversity conservation, China has made significant progress in protecting biodiversity resources, said Minister of Ecology and Environment Huang Runqiu.",ChinaDaily,China
"The China Banking and Insurance Regulatory Commission (CBIRC) on Thursday announced that it will run commercial pension trials in 10 cities and regions nationwide for one year from Jan 1, 2023.",ChinaDaily,China
"By unilaterally breaking contracts it has signed with China, the UK government is not only politicizing economic affairs but also sabotaging its own reputation.",ChinaDaily,China
"China will conduct its fifth national economic census in 2023 to take stock of the country's economic and social development, the State Council said in a notice.",ChinaDaily,China
"China's services trade value grew 17.2 percent year-on-year in the first 10 months of 2022, data from the Ministry of Commerce showed on Thursday.",ChinaDaily,China
"According to the statistics of authorities of Suichuan county in East China's Jiangxi province, in 2022, nearly 100,000 people are engaged in -related industries, and each household secured an average income increase of more than 4,000 yuan ($566).",ChinaDaily,China
"China and the European Union should work together to promote the signing and entry into force of the China-EU Comprehensive Agreement on Investment to benefit their businesses and people at an early date, the Ministry of Commerce said.",ChinaDaily,China
An ancient coin hoard containing 1.5 tonnes of coins dating back to the Tang (618-907) and Song (960-1279) dynasties has been discovered in East China's Jiangsu province.,ChinaDaily,China
China's Yunnan passes regulation on protecting centuries-old tea trees,ChinaDaily,China
"China urged the United States to stop politicizing and weaponizing economic and issues, and treat companies from all countries, including China, fairly, the Ministry of Commerce said on Thursday.",ChinaDaily,China
Read the remarks by President Xi Jinping that shed light on his vision for China's space dream.,ChinaDaily,China
"A new record-high number of black-necked cranes, a species under first-class state protection in China, have been spotted in a national nature reserve in Southwest China's Yunnan province during the wintering period.",ChinaDaily,China
Temperatures plummeted in most parts of China and people keep themselves warm under piles of heavy clothing.,ChinaDaily,China
China will conduct its fifth national economic census in 2023 to take stock of the country's economic and social development.,ChinaDaily,China
"With the announcement of 20 new measures, will China forgo its dynamic Zero-COVID policy? China’s policy and its future, explained.",ChinaDaily,China
"China announced the implementation of its private pension plan to supplement the country's old-age insurance mechanism. The plan is open to qualified citizens in 36 cities and regions, including Beijing, Shanghai, Guangzhou, Xi'an and Chengdu.",ChinaDaily,China
"A regulation on helping implement the Patent Law is being amended in an effort to improve the legal system and promote high-quality development in this regard, an official from China's top intellectual property regulator said.",ChinaDaily,China
"The Fengyun 3E and 4B weather satellites and their ground application systems officially entered operation to support global forecasting and emergency disaster reduction on Thursday, according to the China Meteorological Administration.",ChinaDaily,China
"Construction has begun on two major high-speed railways in southwestern China, which are expected to be completed in 2027 and 2028, improving the region's high-speed railway network and boosting socioeconomic development.",ChinaDaily,China
Canada-China business has obstacles to address,ChinaDaily,China
"China has handled more than 100 billion parcels this year as of Thursday, evidence of the sector's strong resilience amid the epidemic as carriers strive to maintain the flow of goods to meet people's demands, the State Post Bureau of China said.",ChinaDaily,China
"Known as the “insect kingdom of North China”, Baxianshan National Nature Reserve in Tianjin has a forest coverage rate of 95% and a growing number of wild animals after years of afforestation efforts.",ChinaDaily,China
"US Commerce Secretary acknowledged that the US reaps huge benefits from trade with China and pledged not to decouple from it, with the exception of critical technology and other areas that Washington deems could ""undermine"" its national security.",ChinaDaily,China
Washington is only showing its true colors by trying to whip up discord in the South China Sea where there is already a consensus that peace and stability are in the best interests of the region.,ChinaDaily,China
A guideline on further regulating celebrity endorsements was released to improve governance of China's entertainment industry and provide new institutional support.,ChinaDaily,China
"and agreed to push forward building the China-Laos community with a shared future to bring more benefits to their peoples and promote regional peace, stability and development.",ChinaDaily,China
"China's prevention and control work is facing new situations and new tasks, with the weakening pathogenicity of Omicron, increasing uptake of vaccination and growing disease response experiences, Vice-Premier Sun Chunlan said on Wednesday.",ChinaDaily,China
"Although a small number of parcel delivery stations have been closed due to the latest outbreaks, China's parcel delivery network has been operating smoothly in general, the State Post Bureau of China said on Tuesday.",ChinaDaily,China
"The value of international freight handled on the China-Laos Railway has surpassed 10 billion yuan ($1.4 billion) nearly one year after the railway was put into operation, according to Yunnan International Railways Service Trade.",ChinaDaily,China
"Despite challenges posed by the COVID-19 pandemic, foreign catering companies are continuing to invest and expand in China, from constructing supply centers to developing online sales and deliveries.",ChinaDaily,China
