Text,Media,GPE
"A core problem hindering any improvement in China-US economic and trade ties has been the one-sided, thus unfair, emphasis on the ""losses"" the US side has suffered.",ChinaDaily,USA
"China urged the United States to stop politicizing and weaponizing economic and issues, and treat companies from all countries, including China, fairly, the Ministry of Commerce said on Thursday.",ChinaDaily,USA
"A core problem hindering any improvement in China-US economic and trade ties has been the one-sided, thus unfair, emphasis on the ""losses"" the US has suffered-mostly job losses and trade deficit-and total disregard of the far greater corresponding benefits.",ChinaDaily,USA
"The rising price of food is being felt not only by households in the United States, but also at food banks across the country looking to help the less fortunate.",ChinaDaily,USA
Stronger US GDP adds wrinkle to Fed rate increases,ChinaDaily,USA
"US Commerce Secretary acknowledged that the US reaps huge benefits from trade with China and pledged not to decouple from it, with the exception of critical technology and other areas that Washington deems could ""undermine"" its national security.",ChinaDaily,USA
US House lawmakers passed legislation Wednesday to avert a national rail strike and a separate proposal to add a provision to the rail agreement that would increase the number of paid sick days for rail workers from one to seven.,ChinaDaily,USA
Former US President Bill Clinton said on Wednesday that he has tested positive for COVID-19.,ChinaDaily,USA
Democrats in the US House of Representatives elected new leaders on Wednesday for the next Congress.,ChinaDaily,USA
"The United States has seen roughly 1,110,000 deaths related to firearms in the country from 1990 to 2021, according to a study published in the JAMA Network Open, an open-access medical journal.",ChinaDaily,USA
"The US side should stop smearing and attacking China, work with China in the same direction, and establish the right way for two major countries to get along, a Chinese Foreign Ministry spokesperson said Friday.",ChinaDaily,USA
"By curtailing innocent 's freedom for 1,028 days, the US ruined ties with China, wasted taxpayers' money, and exposed their folly before the world. Now the farce has come to an end and better never return. (Opinion writer Zhang Zhouxiang)",ChinaDaily,USA
France's President Emmanuel Macron has said the United States will risk the unity of Western nations if it moves forward with legislation Europe believes amounts to a breach of international competition rules.,ChinaDaily,USA
"The United States has seen over 1 million firearm fatalities over the past 30 years, according to a new study.",ChinaDaily,USA
"China urged the United States to stop politicizing and weaponizing economic and trade issues, and treat companies from all countries operating in the US fairly, the Ministry of Commerce said on Thursday.",ChinaDaily,USA
"Experts called on the and China to further enhance crisis management and prevent differences from evolving to conflicts, especially in terms of question.",ChinaDaily,USA
"US prosecutors on Thursday asked a judge to dismiss bank fraud and other charges against Meng Wanzhou, the chief financial officer of China's Huawei Technologies whose 2018 arrest strained relations between the US and China.",ChinaDaily,USA
"Nearly 30 survivors of a mass shooting at a school in Uvalde, Texas, have filed a $27 billion class-action lawsuit, alleging law enforcement officials' miscommunication and inaction failed to prevent the gunman from killing 19 children and two teachers.",ChinaDaily,USA
How long can the vaccines protect us? Can the vaccines offer protection against the new variant?,ChinaDaily,USA
"The US Justice Department has dropped all charges against Huawei executive Meng Wanzhou, who was held by Canada on a US warrant for Iran sanctions-related charges for nearly three years.",ChinaDaily,USA
Uncle Sam is only interested in Uncle Sam. Any care or concern that the US shows to other countries is motivated by the calculation of how it can profit from such solicitude.,ChinaDaily,USA
The beggar-thy-neighbor approach of the US should have opened the eyes of EU leaders that the US for all its talk of shared values is not a team player.,ChinaDaily,USA
"Cooperation between the US and the EU should not target a third party or stoke antagonism by making an issue out of China, FM spokeswoman Mao Ning said in response to groundless accusations made by the latest US-EU Dialogue on China.",ChinaDaily,USA
Experts call for multilateralism and mutual understanding in managing Sino- ties at the Beijing Xiangshan Forum Webinar.,ChinaDaily,USA
"If there is, as both the US and EU claim, no desire for confrontation, they should work with Beijing to manage tensions and differences, and advance exchanges and cooperation.",ChinaDaily,USA
"China strongly opposed to a report on Chinese development released by the United States, which distorted China's national defense policy and military strategy, a spokesman for the Ministry of National Defense said in a statement on Tuesday.",ChinaDaily,USA
"Kiki Davenport, a theater artist from the United States, who now lives in China, is really surprised by how innovative China actually is and how leading China is in the world from the 5G area to other high-tech modes of technology.",ChinaDaily,USA
"If there is, as both the US and EU claim, no desire for confrontation, they should work with Beijing to manage tensions and differences, and advance exchanges and cooperation.",ChinaDaily,USA
"With the US' tried-and-true unilateralism and war profiteering hurting other countries around the world, it's only natural that Europe and China find common ground based on upholding the purposes of the UN Charter and supporting multilateralism.",ChinaDaily,USA
"The US has suffered at least 618 mass shootings in the first 11 months of this year, according to the Gun Violence Archive. There were 690 mass shootings last year, up from 610 in 2020 and 417 in 2019.",ChinaDaily,USA
"At the USCBC 2022 Gala on Tuesday, Ambassador Qin Gang said a tense China-US relationship will hamper economic and trade cooperation, and soured trade relations would be to the detriment of the US' own interests in growing its economy and adding jobs.",ChinaDaily,USA
"While countries in Asia have made it crystal-clear that they are not willing to make a choice between China and the United States, Ottawa is keen to throw its gloves into the ring in support of Washington.",ChinaDaily,USA
"In the nearly 250 years since its founding, the US has been free of war for only 16 years. Washington should look into a mirror and do some serious soul-searching instead of casting aspersions on others.",ChinaDaily,USA
"While countries in Asia have made it crystal-clear that they are not willing make a choice between China and the US, Ottawa is keen to throw its gloves into the ring in support of Washington.",ChinaDaily,USA
"History shows that since it became the global hegemon, the US has been the biggest troublemaker and destroyer of world peace and stability.",ChinaDaily,USA
"The US and some of its allies are inciting confrontation and disrupting regional peace by forming a military alliance, Foreign Ministry spokeswoman Mao Ning said, after the AFP reported that the US and Australia said they would welcome Japanese troops into rotations.",ChinaDaily,USA
"China strongly opposes a report on Chinese military development released by the US, which distorts China's national defense policy and military strategy, a spokesman for the Ministry of National Defense said in a statement on Tuesday.",ChinaDaily,USA
Refusing to follow the US' lead,ChinaDaily,USA
Senior citizens in US California hit hard as surges this winter: media,ChinaDaily,USA
"China strongly opposed a US report on Chinese military development on Tuesday. ""China is committed to the path of peaceful development and a national defense policy that is defensive in nature,"" a spokesman for the Ministry of National Defense said.",ChinaDaily,USA
"Reported hate crimes in 2021 in Los Angeles County, the most populous county in the United States, rose to their highest level since 2002. There were 786 hate crimes reported in the county, a 23 percent spike from the previous year, said the report.",ChinaDaily,USA
"The US' weakening influence in the Middle East results from not only its condescending stance and America-first agenda, but also the fact that all regional countries have seen through the nature of its blood-for-oil strategy.",ChinaDaily,USA
"For Washington, however, countries are either allies or not, democracies or not, civilized or not, and fundamentally those that share US ""values"" or not.",ChinaDaily,USA
"The EU should look at the bigger picture. The world is made up of more countries and regions than the US and the EU, and if the two giants adopt subsidy policies that will only make it more difficult for the rest of the world.",ChinaDaily,USA
"The EU should be working with other economies to make the world flatter for the benefit of all, not competing with the US to see which of them can build the biggest wall.",ChinaDaily,USA
"Divergences between the European Union and the United States are expected to deepen as countries have criticized the ' Reduction Act, seeing it as a threat to the EU's economy, analysts said.",ChinaDaily,USA
"China urged the US to stop military contacts with the region and refrain from creating tension to the situation across the Taiwan Straits, FM spokeswoman Mao Ning said after the State Department approved two new arms sales to Taiwan.",ChinaDaily,USA
"If the US' is a monster of protectionism, the proper way of defeating it is to pressure the US to give it up, not to introduce a new one to balance it. The world is much more than Europe and the US combined. (Zhang Zhouxiang)",ChinaDaily,USA
"US President Joe Biden visited the project for a new computer chip plant for Taiwan Semiconductor Manufacturing Company in Arizona, with executives of companies like Apple Inc and Nvidia Corp.",ChinaDaily,USA
"China’s dynamic zero-COVID strategy was necessary, because it allowed us to buy precious time. Time for a less lethal variant so as to avoid deaths that could have reached millions. Time to ready a health infrastructure that will bear the brunt of the incoming wave.",ChinaDaily,USA
"China confirmed the Chinese government’s special representative on Korean Peninsula affairs, Liu Xiaoming, held video talks with the US Special Representative on North Korea, Sung Kim, a spokeswoman said, hoping all parties address each other’s concerns in a balanced way.",ChinaDaily,USA
"China urged the US to delete negative China-related content in the and stop military contacts with Taiwan to avoid further damage to Sino-US ties, a spokeswoman said after the US House approved the NDAA including up to $12 billion in military aid to Taiwan.",ChinaDaily,USA
The huge disparity in COVID deaths between China and the worst-hit countries tells a story. A story of sound policy based on science and facts. A story of putting human life above all else. A story that helped us weather the storm and transition to the next phase.,ChinaDaily,USA
"The United States ""wants very much"" to stabilize relations with China and believes Beijing also seeks to do so, White House Indo-Pacific Coordinator Kurt Campbell said.",ChinaDaily,USA
The US bid to curtail China's tech progress will only make China strive harder to increase its self-reliance.,ChinaDaily,USA
Dragooning TSMC to relocate its manufacturing to the US is another move to politicize and weaponize technology to contain China.,ChinaDaily,USA
"Some people see China as ""the most serious competitor"" and ""the most consequential long-term geopolitical challenge"", which is out of grave strategic misperception and misjudgment, China's ambassador to the US Qin Gang said.",ChinaDaily,USA
"China Daily's digital employee Yuanxi invites you to join her journey 3,000-plus years back in time and trace the origin of Chinese characters. By examining oracle bone inscriptions, Yuanxi offers us a glimpse into the long and rich history of Chinese civilization.",ChinaDaily,USA
It is encouraging to see that high-level channels of communication between China and the United States have been reactivated despite the frictional differences that exist between them.,ChinaDaily,USA
"By participating in the US' efforts to prevent China acquiring the latest-generation semiconductors, Japan and the Netherlands will only harm themselves.",ChinaDaily,USA
"By roping its allies into a war of chips against China, the US is letting the world, its allies included, pay a heavy price of development opportunities. Its allies need to stay smart enough to avoid that. (Opinion writer Zhang Zhouxiang)",ChinaDaily,USA
"Hopefully, the visits to China by senior US officials will turn a new page in China-US interactions, as both countries will be better served by dialogue and win-win cooperation.",ChinaDaily,USA
"With anti-pandemic measures optimized, it is still a big challenge to protect people from . Fortunately the most deadly variants seem to have passed and China facing the mild Omicron won't repeat the US' mistakes. (Opinion writer Zhang Zhouxiang)",ChinaDaily,USA
National debate in the United States on the role played by race in college admissions culminated with the Supreme Court hearing challenges against two universities.,ChinaDaily,USA
"The WTO's ruling against the United States' Section 232 tariffs on steel and aluminum imports is a victory for multilateralism and shows the strong resilience of the multilateral trading system, according to experts.",ChinaDaily,USA
"In recent years, the US has constantly generalized the concept of national security, abused export control measures, obstructed the normal trade in chips and other products, threatened the stability of the global supply chains.",ChinaDaily,USA
"China on Tuesday called on countries to stand up against the United States' unilateralism and protectionism, saying the move bears on the international justice and the stability of the international trade system.",ChinaDaily,USA
Not even US politicians such as Burns could possibly believe the US really cares about promoting the international human rights cause.,ChinaDaily,USA
"The US' export control on chips once again shows that the US is a destroyer of international rules, not a builder.",ChinaDaily,USA
Chinese and US elected officials joined members of the Chinese community in San Francisco to honor victims and survivors of the Nanjing Massacre and to pursue an enduring peace.,ChinaDaily,USA
"China has launched a suit at the World Trade Organization against the United States over the latter's chip export control measures, China's Ministry of Commerce said.",ChinaDaily,USA
