Text,Media,GPE
"Edward Snowden, former US intelligence whistleblower, swore an oath of allegiance to Russia and has collected his Russian passport, his lawyer told state media on Friday.",PDChina,Russia
"Ukraine's armed forces have lost somewhere between 10,000 and 13,000 soldiers so far in the war with Russia, local media reported citing presidential adviser Mykhailo Podolyak.",PDChina,Russia
"The shield tunnel project crossing the Yangtze River of the China-Russia east-route natural gas pipeline, a key project for the pipeline, was successfully completed Saturday after 28 months of construction, creating a necessary condition for the early completion of the pipeline.",PDChina,Russia
"Ukraine said on Monday that Russia unleashed a new round of missile attacks and knocked out power in the north, after the West imposed a price cap on Russian oil.",PDChina,Russia
"Chinese Premier Li Keqiang co-chaired the 27th regular meeting with Russian Prime Minister Mikhail Mishustin via video link and expressed China's willingness to maintain high-level exchanges, strengthen exchanges and cooperation in various fields with Russia.",PDChina,Russia
"The EU on Monday imposed sanctions on Iran's state broadcaster, army chief, and revolutionary guard commanders over its crackdown of anti-government protests. The sanction list also includes eight drone makers over Iran's supply of weapons to Russia.",PDChina,Russia
"The 1900th ""Qilu"" China-Europe freight train trip this year was launched on Monday from Jinan, east China's Shandong Province for Moscow and St. Petersburg in Russia. The train is expected to arrive in the destination in 12 days.",PDChina,Russia
"The EU on Thursday agreed on a 9th package of sanctions on Russia over the war in Ukraine, reportedly targeting some 200 individuals.",PDChina,Russia
"China and Russia will hold joint naval exercise ""Naval Interaction-2022"" from Dec. 21 to 27 in the East China Sea: Russian Defense Ministry",PDChina,Russia
"Russian Defense Ministry on Wednesday announced plans to increase Russia’s armed forces by more than 30%, from 1.15 million to 1.5 million combat personnel.",PDChina,Russia
"US President Joe Biden welcomed Ukrainian President Zelenskyy to the White House in the latter's first foreign visit since the Ukraine-Russia war, as the US earlier announced a $1.85 billion military package for Ukraine that includes a Patriot missile system.",PDChina,Russia
"Xi Jinping, general secretary of the Communist Party of China (CPC) Central Committee and Chinese president, on Wednesday met with Chairman of the United Russia party Dmitry Medvedev, who visited China at the invitation of the CPC.",PDChina,Russia
"Ship insurers said they are cancelling war-risk coverage across Russia, Ukraine, and Belarus from Jan. 1, following an exit from the region by reinsurers in the face of steep losses, Reuters reported.",PDChina,Russia
"Russia said on Wednesday it has expelled a Lithuanian diplomat, in retaliation for the latter expelling a Russian diplomat on Dec. 1.",PDChina,Russia
"Russia's latest nuclear-powered strategic submarines Generalissimo Suvorov and Emperor Alexander III were commissioned and launched, respectively, on Thursday.",PDChina,Russia
"A Ukrainian S-300 air defense missile had fallen onto the territory of Belarus on Thursday, after Russia unleashed a new round of missile attacks on Ukraine's major cities, media reported.",PDChina,Russia
"Chinese President Xi Jinping met with Russian President Vladimir Putin via video link on Friday, and said China and Russia should strengthen strategic coordination to bring more benefits to the two peoples and inject more stability into the world.",PDChina,Russia
