Text,Media,GPE
'Nothing left to lose': China is set to loosen COVID curbs after the biggest show of civil disobedience for years. A view from on what drove the protesters,Reuters,China
China accuses UK lawmakers visiting Taiwan of 'gross interference',Reuters,China
China accuses UK lawmakers visiting Taiwan of 'gross interference',Reuters,China
"Tesla to issue software updates for 435,000 cars in China over marker light issue",Reuters,China
"China is set to announce an easing of its COVID quarantine protocols in the coming days and a reduction in mass testing, sources told",Reuters,China
"From China's reported plans to soften its COVID curbs to possible human clinical trials of a brain chip made by Elon Musk's company Neuralink, these are the 5⃣ stories you need to know today",Reuters,China
Piper Sandler cuts estimates for Apple's Dec quarter as China worries mount,Reuters,China
"China accuses UK lawmakers of ""gross interference"" over Taiwan visit",Reuters,China
NATO's Stoltenberg cautions against economic dependency on China,Reuters,China
"China planning to soften COVID curbs and reduce mass testing, sources say, Ukraine says Russia pulled some troops from the river towns opposite Kherson, an appeals court reject President Biden's bid to revive a student debt plan, and more. 5⃣ stories you need to know",Reuters,China
China will move to protect its firms following U.S. telecoms ban,Reuters,China
Activity in Asian factories is taking a hit from worries over demand and the fallout from China’s latest lockdowns,Reuters,China
"China is set to announce an easing of its COVID quarantine protocols in the coming days and a reduction in mass testing, sources told , a marked shift in policy after anger over the world's toughest curbs fueled widespread protests",Reuters,China
China launches elderly vaccination drive but health fears linger,Reuters,China
Exclusive: China to allow home quarantine for some infected with COVID,Reuters,China
Piper Sandler cuts estimates for Apple's Dec quarter as China worries mount,Reuters,China
"Tesla to issue software updates for 435,000 cars in China over marker light issue",Reuters,China
"Oil rises ahead of OPEC+ meeting, easing China COVID curbs lend support",Reuters,China
"Factory output slumped widely across Asia in November as slowing global demand and uncertainty over the fallout from China's strict COVID lockdowns weighed on business sentiment, private surveys showed",Reuters,China
China set to loosen COVID curbs after week of historic protests,Reuters,China
"China mourns former leader Jiang Zemin with bouquets, black front pages",Reuters,China
China's lithium newcomer Zijin eyes rich returns from battery demand,Reuters,China
NATO's Stoltenberg cautions against economic dependency on China,Reuters,China
China will move to protect its firms following U.S. telecoms ban,Reuters,China
"China hopes for fair, transparent environment for companies in EU - Xi",Reuters,China
China launches elderly vaccination drive but health fears linger,Reuters,China
"Analysis: China to offer limited, targeted growth support, no bazooka",Reuters,China
"Philippines needs to find ways to exploit South China Sea resources, says Marcos",Reuters,China
"Exclusive: China will allow some people who test positive for COVID to quarantine at home, among supplementary measures to be announced in coming days",Reuters,China
"Tesla to issue software updates for 435,000 cars in China over marker light issue",Reuters,China
"IMF strategy chief heads to China, to focus on speeding up debt treatments",Reuters,China
Oil dips on OPEC+ uncertainty; easing China COVID curbs limit losses,Reuters,China
China set to loosen COVID curbs after week of historic protests,Reuters,China
GLOBAL ECONOMY Asia's factory activity shrinks as China lockdown impact widens,Reuters,China
"China mourns former leader Jiang Zemin with bouquets, black front pages",Reuters,China
China's lithium newcomer Zijin eyes rich returns from battery demand,Reuters,China
Exclusive: China to allow home quarantine for some infected with COVID,Reuters,China
From Breakingviews - China’s messy options for ending zero-Covid: podcast,Reuters,China
"Some offshore bondholders are scouting for bargains in China's cash-squeezed property sector after a slew of funding support measures followed a brutal slide, but the uncertain outlook for a recovery in home demand will keep others on the sidelines",Reuters,China
"China hopes for fair, transparent environment for companies in EU - Xi",Reuters,China
"Philippines needs to find ways to exploit South China Sea resources, says Marcos",Reuters,China
"🎙️ On : Protests broke out in China as authorities tightened lockdowns to contain the virus. , and discuss the difficulties of walking back the country's zero-COVID strategy.",Reuters,China
China's factory activity shrinks in Nov amid widespread COVID curbs - Caixin PMI,Reuters,China
📹 On : Protests against COVID lockdowns in China rattled the ruling Communist Party and foreign businesses like Apple. explains why disconnecting from the country’s supply chains and markets is harder than it looks,Reuters,China
Oil dips on OPEC+ uncertainty; easing China COVID curbs cap declines,Reuters,China
A Hong Kong court on Thursday adjourned the high-profile trial of tycoon and China critic Jimmy Lai three days after authorities asked China's highest legislative body to decide whether to block foreign lawyers from national security cases,Reuters,China
"China is softening its tone on the severity of COVID and easing some coronavirus restrictions even as its daily case toll hovers near records, after anger over the world's toughest curbs morphed into protests across the country",Reuters,China
From Breakingviews - China’s messy options for ending zero-Covid: podcast,Reuters,China
"IMF strategy chief heads to China, to focus on speeding up debt treatments",Reuters,China
"China reports 36,061 new COVID cases, from 37,828 previous day",Reuters,China
Asia's factory activity shrinks as China lockdown impact widens,Reuters,China
The Biden administration has banned approvals of new telecommunications equipment from China's Huawei Technologies and ZTE because they pose ‘an unacceptable risk’ to U.S. national security,Reuters,China
U.S. Commerce secretary: Competing with China not 'easy',Reuters,China
"BYD was the top-selling car brand in China in the first four weeks of November, outperforming the Volkswagen brand in a reversal that highlights the pressure on legacy brands in the world's largest auto market",Reuters,China
U.S. senators warn China against any violent crackdown on protests,Reuters,China
China's Xi told EU less lethal Omicron opens way for fewer COVID restrictions,Reuters,China
U.S. judge dismisses indictment against Huawei CFO that strained U.S.-China relations,Reuters,China
U.S. says China's COVID protests die down as cities ease restrictions,Reuters,China
"As a rare, large Beijing street demonstration reached a climax, several protesters shouted the normally unspeakable – for China's ruling Communist Party and its leader Xi Jinping to step down. They were quickly rebuked by fellow protesters",Reuters,China
Inside China's fight over the future of zero-COVID,Reuters,China
"China further eases COVID curbs in some major cities, Twitter suspends Kanye West's account again, Vladimir Putin says he is open to talks and a possible settlement on the Ukraine conflict, and more. 5⃣ stories you need to know",Reuters,China
'Don't yell that': fears compete with calls for 'freedom' at China protests,Reuters,China
Exclusive: China's top banks to issue offshore loans to help developers repay debt,Reuters,China
Analysts upgrade China's 2023 earnings projections on reopening hopes,Reuters,China
"Opinions about President Xi Jinping's signature ‘zero-COVID’ policy vary wildly across China. The fierce debate, which has ignited several protests, illustrates the difficulties facing Xi and his government in relaxing the world's most rigid COVID rules",Reuters,China
"Oil prices mixed on easing COVID curbs in China, firm dollar",Reuters,China
"As a large Beijing street protest against strict COVID curbs reached a climax late last Sunday, several protesters shouted for China's ruling Communist Party and its leader Xi Jinping to step down. They were quickly rebuked by some fellow protesters",Reuters,China
'Don't yell that': fears compete with calls for 'freedom' at China protests,Reuters,China
China's property woes fuel risks to its financial system - Moody's,Reuters,China
"Exclusive: China has ordered its top four state-owned banks to issue offshore loans to help developers repay overseas debt, rolling out its latest support measure for the cash-starved property sector",Reuters,China
Exclusive: China's top banks to issue offshore loans to help developers repay debt -sources,Reuters,China
Analysts upgrade China's 2023 earnings projections on reopening hopes,Reuters,China
"Oil prices edge higher on easing COVID curbs in China, firm dollar limits gains",Reuters,China
"China reports 34,980 new COVID cases for Dec 1 vs 36,061 a day earlier",Reuters,China
"China says to support growth, sees moderate inflation in 2023",Reuters,China
U.S. senators warn China against any violent crackdown on protests,Reuters,China
"IMF's Georgieva flags inflation, China slowdown as risks to Asia",Reuters,China
China's property woes fuel risks to its financial system - Moody's,Reuters,China
From Breakingviews - China needs a Covid target more than a GDP target,Reuters,China
"More than 2.6 million people signed up for China’s nationwide civil service exam, competing for government jobs as many private sector campus recruiters stayed away this year with the world's second-largest economy growing at its slowest rate in decades",Reuters,China
Scattered easing of COVID curbs across China after week of unrest,Reuters,China
"Analysis: As economy stutters, China's youth seek safety of civil service",Reuters,China
China Evergrande auto unit to lay off 10% of workers -source,Reuters,China
"China reports 34,980 new COVID cases for Dec 1 vs 36,061 a day earlier",Reuters,China
U.S. senators warn China against any violent crackdown on protests,Reuters,China
IMF's Georgieva to press for quicker action on debt relief with China,Reuters,China
"Analysis: As economy stutters, China's youth seek safety of civil service",Reuters,China
"Although daily cases in the country are near all-time highs, some cities in China are taking steps to loosen COVID testing requirements and quarantine rules",Reuters,China
"Beijing residents cheered the removal of COVID-19 testing booths while Shenzhen said it would no longer require commuters to present test results to travel, as an easing of China's virus curbs gathered pace",Reuters,China
"Beijing, Shenzhen loosen more COVID curbs as China fine-tunes policy",Reuters,China
"Factbox: How many people might die, and why, if China loosens COVID restrictions",Reuters,China
"Beijing, Shenzhen loosen more COVID curbs as China fine-tunes policy",Reuters,China
"Factbox: How many people might die, and why, if China loosens COVID restrictions",Reuters,China
"Beijing, Shenzhen loosen more COVID curbs as China easing gathers pace",Reuters,China
U.S. diplomat says China protests had effect in easing COVID curbs,Reuters,China
U.S. judge dismisses indictment against Huawei CFO that strained U.S.-China relations,Reuters,China
China's Xi told EU less lethal Omicron opens way for fewer COVID restrictions,Reuters,China
U.S. diplomat says China protests had effect in easing COVID curbs,Reuters,China
Morning bid: China Politburo smoke signals,Reuters,China
China's Xi unwilling to accept vaccines despite threat from protests-U.S. intel,Reuters,China
"China's Xi unwilling to accept vaccines despite protests, U.S. official says",Reuters,China
"China's Xi unwilling to accept vaccines despite protests, U.S. official says",Reuters,China
China's LONGi denies circumventing U.S. tariffs on solar panels,Reuters,China
"German foreign minister: India is values partner, not replacement for China",Reuters,China
"In recent months, ageing tankers have been sold by Greek and Norwegian owners for record prices to pop-up Middle Eastern and Asian buyers taking advantage of sky-high charter prices for vessels willing to ship Russian oil to India and China",Reuters,China
Tesla China denies media reports of output cut at Shanghai plant,Reuters,China
"German foreign minister: India is values partner, not replacement for China",Reuters,China
Morning Bid: China reopening as volatility ebbs,Reuters,China
Tesla China denies media reports of output cut at Shanghai plant,Reuters,China
"Ukraine says Russia has renewed missile attacks and knocked out power in the north, as the G7 price cap on Russian seaborne oil comes into force, China is set to announce a further easing of COVID curbs as early as Wednesday, and more. 5⃣ stories you need to know",Reuters,China
"A partial easing of the world's toughest COVID curbs seems to have sowed confusion across China, with residents expressing mixed feelings about the changes",Reuters,China
Investors bet China's rally on easing COVID curbs will be furious but fleeting,Reuters,China
"German foreign minister: India is values partner, not replacement for China",Reuters,China
Exclusive: China may announce 10 new COVID easing steps on Wednesday,Reuters,China
Morning Bid: China reopening as volatility ebbs,Reuters,China
"China's trade likely shrank further in Nov as external, local demand weakened",Reuters,China
"A patchwork easing of the world's toughest COVID curbs sowed confusion across China, but investors cheered the prospects of a broader policy shift in the wake of last month's historic protests and mounting economic damage",Reuters,China
Investors bet China's rally on easing COVID curbs will be furious but fleeting,Reuters,China
Enel turns to Sicily to take on China's solar dominance,Reuters,China
"Apple supplier Foxconn expects its COVID-hit Zhengzhou plant in China to resume full production around late December to early January, a Foxconn source said, after worker unrest last month disrupted the world's biggest iPhone factory",Reuters,China
