Text,Media,GPE
'Hear it from us': Netflix documentary of UK royals Harry and Meghan to air,Reuters,USA
'Hear it from us': Netflix documentary of UK royals Harry and Meghan to air,Reuters,USA
LIVE: USA's Christian Pulisic and Tim Weah speak ahead of the upcoming U.S. vs. Netherlands World Cup match,Reuters,USA
TSMC plans to make more advanced chips in US on Apple's push - Bloomberg News,Reuters,USA
TSMC plans to make more advanced chips in US on Apple's push - Bloomberg News,Reuters,USA
TSMC plans to make more advanced chips in US on Apple's push - Bloomberg News,Reuters,USA
"Russian activist punk group Pussy Riot defended wearing t-shirts with names of people killed in Iran, along with their ages at Tuesday's match between Iran and the United States",Reuters,USA
"The French baguette, a central part of the French diet for at least 100 years, has made it onto the U.N.'s cultural heritage list. Here are the stories that made us smile this week ☺️",Reuters,USA
United States to end mpox emergency declaration,Reuters,USA
British company Reckitt Benckiser said the infant formula shortage in the United States is likely to persist until spring,Reuters,USA
"From Vietnamese grannies learning English to French baguettes making the United Nations' cultural heritage list, here are some of the stories that made us smile this week ☺️",Reuters,USA
"Infant formula shortage in the United States is likely to persist until spring, according to Enfamil maker Reckitt Benckiser",Reuters,USA
"The near year-long infant formula shortage in the United States that prompted the intervention of the White House is likely to ‘persist’ until spring, according to Reckitt Benckiser, the maker of what is now the biggest brand in the market, Enfamil",Reuters,USA
The presidents of the United States and France said they would hold Russia to account for its actions in Ukraine and the European Union reached tentative agreement on an oil price cap to squeeze Moscow's export earnings,Reuters,USA
"The United States, South Korea, and Japan have imposed sanctions on North Korean officials connected to the country's weapons programs after Pyongyang's latest and largest intercontinental ballistic missile test last month",Reuters,USA
"WATCH: ‘When the stakes are this high, doesn't it make more sense to hear the story from us?’ says Meghan Markle in a trailer released for the Netflix documentary series about Britain's Prince Harry and Meghan",Reuters,USA
Here’s a look at some of the stories that made us smile this week ☺️,Reuters,USA
"From a 'gingerbread village' that has about 4,000 pounds of icing to a camel beauty contest in Qatar, a look at stories that made us smile this week ☺️",Reuters,USA
United States to end mpox emergency declaration,Reuters,USA
Stay? Go? Law schools diverge in US News rankings revolt,Reuters,USA
"Dutch soccer fans cheered as the Netherlands became the first country to reach the World Cup quarter-finals, after beating the United States 3-1 at the Khalifa International Stadium",Reuters,USA
"Dutch soccer fans cheered their team's last 16 win against the United States in the , while U.S. fans shifted focus to the next edition in 2026",Reuters,USA
Crypto lender Nexo to quit United States,Reuters,USA
The White House will address rising anti-Semitism in a roundtable event with Jewish leaders on Wednesday focused on attacks against Jews across the United States and how to combat hate,Reuters,USA
"While EU countries welcome the new commitment to energy transition, they fear the $430 billion Inflation Reduction Act will unfairly disadvantage their companies relative to rivals in the United States",Reuters,USA
"The United States is experiencing the highest levels of hospitalizations from influenza that it has seen in a decade for this time of year, the head of the U.S. CDC said, adding that 14 children have died so far this flu season",Reuters,USA
"US, EU weigh climate-based tariffs on Chinese steel, aluminium -Bloomberg News",Reuters,USA
"US, EU weigh climate-based tariffs on Chinese steel, aluminium -Bloomberg News",Reuters,USA
"US, EU weigh climate-based tariffs on Chinese steel, aluminum -Bloomberg News",Reuters,USA
"The Supreme Court of the United States held arguments in a Republican appeal that could have an impact on elections, including the 2024 presidential race",Reuters,USA
Vietnam's electric-vehicle maker VinFast said it has filed for an initial public offering in the United States to list on the Nasdaq under ticker symbol ‘VFS’ to fund its expansion with a planned plant in North Carolina,Reuters,USA
"The United States will increase the rotational presence of air, land and sea forces in Australia, including bomber aircraft and fighter jets, U.S. Defense Secretary Lloyd Austin said, amid shared concerns about China",Reuters,USA
"U.S. basketball star Brittney Griner has been released in a prisoner swap with Russia and was heading back to the United States, President Joe Biden said, ending what he called months of 'hell'",Reuters,USA
President Joe Biden renewed vows to secure a new ban on assault weapons in the United States as he turns up heat on lawmakers to pass legislation before his party loses control of Congress next month,Reuters,USA
"Russian state media are lauding President Vladimir Putin for 'winning' the prisoner exchange with the United States of basketball player Brittney Griner for notorious arms dealer Viktor Bout. And in Washington, some Republicans are criticizing the White House over the swap",Reuters,USA
"Japan, Britain and Italy are merging their next-generation jet fighter projects in a ground-breaking partnership spanning Europe and Asia that is Japan's first major industrial defense collaboration beyond the United States since World War Two",Reuters,USA
