Text,Media,GPE
Biden and France's Macron renewed their commitment to fighting Russia's invasion of Ukraine and also acknowledged tensions over handling the economic stress of the war,Reuters,Ukraine
"U.S. President Joe Biden and French President Emanuel Macron pledged to hold Russia accountable for 'widely documented atrocities and war crimes' in Ukraine, the two leaders said in a statement issued after their White House meeting",Reuters,Ukraine
"China planning to soften COVID curbs and reduce mass testing, sources say, Ukraine says Russia pulled some troops from the river towns opposite Kherson, an appeals court reject President Biden's bid to revive a student debt plan, and more. 5⃣ stories you need to know",Reuters,Ukraine
Ukraine's Kherson loses power supply after Russian shelling - governor,Reuters,Ukraine
"Russian forces tried to advance in eastern Ukraine and trained tank, mortar and artillery fire on Kherson in the south, the Ukrainian military said, as Western allies sought to buttress Ukraine and its neighbors against Moscow",Reuters,Ukraine
"As fighting intensifies around the eastern Ukrainian city of Bakhmut, the Kremlin said Russian President Vladimir Putin is open to negotiations on Ukraine but the West must recognize Russia's ‘new territories’",Reuters,Ukraine
"The 190,000 remaining schoolchildren in Kyiv are still expected to attend classes through Russian missiles strikes and resulting power cuts – all of which have become a regular occurrence in Ukraine's capital",Reuters,Ukraine
"China further eases COVID curbs in some major cities, Twitter suspends Kanye West's account again, Vladimir Putin says he is open to talks and a possible settlement on the Ukraine conflict, and more. 5⃣ stories you need to know",Reuters,Ukraine
"President Vladimir Putin is open to talks on a possible settlement to the conflict in Ukraine and believes in a diplomatic solution, the Kremlin said, after Joe Biden suggested he was prepared to speak to the Russian leader",Reuters,Ukraine
The presidents of the United States and France said they would hold Russia to account for its actions in Ukraine and the European Union reached tentative agreement on an oil price cap to squeeze Moscow's export earnings,Reuters,Ukraine
"Joe Biden used the first state visit of his presidency to demonstrate unity with France's Emmanuel Macron on Ukraine, show willingness to speak to Russia's Vladimir Putin and assuage European anger over U.S. subsidies",Reuters,Ukraine
"The G7 nations and Australia agreed to cap Russian crude at $60 per barrel, a move that aims to limit Moscow’s ability to finance its military activity in Ukraine and prevent a spike in global oil prices after an EU embargo on Russian crude takes effect",Reuters,Ukraine
Ukraine's president Volodymyr Zelenskiy said he expects about 60 vessels to export grain before Spring 2023 under the 'Grain from Ukraine' program,Reuters,Ukraine
"President Vladimir Putin is open to negotiations on Ukraine but the West must recognize Russia's ‘new territories,’ the Kremlin said, a day after U.S. President Joe Biden said he was willing to talk if Putin were looking for a way to end the war",Reuters,Ukraine
"Despite the barrages of Russian missile strikes and resulting power cuts that have become a regular occurrence in Ukraine's capital, Kyiv's 190,000 remaining school children are still expected to attend classes, whether it be online or in person",Reuters,Ukraine
This coffee-shop owner in Kyiv is defying power cuts caused by Russian missile strikes on Ukraine's energy infrastructure,Reuters,Ukraine
Authorities in Ukraine said they had retrieved a mural by British street artist Banksy after a group of people tried to take it by cutting it off a battle-scarred wall in the Kyiv region,Reuters,Ukraine
"Ghanaian startup Swoove’s founders say because it started out during tough times, the firm is well placed to weather the economic fallout of the health crisis and the effects of conflict in Ukraine",Reuters,Ukraine
"From Ukraine saying Russia has renewed missile attacks and knocked out power in the north, as the G7 price cap on Russian oil comes into force to U.S. Senate candidates making the last pitch in Georgia midterm runoff, these are the top 5⃣ stories you need to know today",Reuters,Ukraine
"Tankers loading at Russian ports face an uncertain voyage as a price cap, imposed by the G7, on the country’s oil kicked in, as the West tries to limit Moscow's ability to finance its war in Ukraine",Reuters,Ukraine
"Ukraine says Russia has renewed missile attacks and knocked out power in the north, as the G7 price cap on Russian seaborne oil comes into force, China is set to announce a further easing of COVID curbs as early as Wednesday, and more. 5⃣ stories you need to know",Reuters,Ukraine
"The G7 price cap on Russian seaborne oil came into force as the West tries to limit Moscow's ability to finance its war in Ukraine, though Russia has said it will not abide by the measure even if it has to cut production",Reuters,Ukraine
"The G7 price cap on Russian seaborne oil came into force as the West tries to limit Moscow's ability to finance its war in Ukraine, but Russia has said it will not abide by the measure even if it has to cut production",Reuters,Ukraine
"🌎 Year in Review: Russia's invasion of Ukraine plunged Europe into its biggest land war since World War Two, igniting a conflict that has killed thousands. Now, Russia, mired in war, faces economic pain and attempts to isolate it",Reuters,Ukraine
"WARNING: GRAPHIC CONTENT President Vladimir Putin ordered Russian troops into Ukraine on a ‘special military operation’ on February 24, 2022. Here are the key milestones from the conflict",Reuters,Ukraine
"🏟 Wearing a blue t-shirt with the message 'Save Ukraine' on the front and 'Respect For Iranian Women' on the back, Mario Ferri, who goes by the nickname of Falco, was tackled by security personnel and led away 2/5",Reuters,Ukraine
"WARNING: GRAPHIC IMAGES 🌎 Year in Review: When Russia invaded Ukraine in 2022, millions endured bombardment in basements and bomb shelters. But millions rallied, taking up arms, ferrying food to villages, and caring for one another’s children",Reuters,Ukraine
"The U.S. is not enabling or encouraging Ukraine to strike beyond its borders, State Department spokesperson Ned Price said, after Kyiv demonstrated an apparent new ability to penetrate hundreds of kilometers into Russian air space with attacks on air bases",Reuters,Ukraine
"Nine months on from Russia’s invasion of Ukraine, some Russians are seeking out urban warfare training in free classes provided by a former special forces captain in a sports club just north of Moscow",Reuters,Ukraine
"WARNING: GRAPHIC CONTENT On February 24, 2022, Vladimir Putin ordered Russian troops into Ukraine on a ‘special military operation.’ Since then, tens of thousands of people have been killed and millions have fled Ukraine. Here are the key milestones",Reuters,Ukraine
"In a sports club just outside Moscow run by a former Russian special forces captain, 70 women and men turned out to train with automatic rifles, many of them seeking military skills because of the conflict in neighboring Ukraine",Reuters,Ukraine
"Russia's invasion of Ukraine plunged Europe into its biggest land war since World War Two. As Putin pays up to keep his campaign grinding on, managing its fallout at home and abroad is likely to get ever harder",Reuters,Ukraine
"A third Russian airfield was ablaze from a drone strike, a day after Ukraine showed an apparent new ability to reach deep into its air space; Beijing residents were allowed into parks and offices without negative COVID tests; and more. 5⃣ stories you need to know",Reuters,Ukraine
"🌎 Year in Review: Russia invaded Ukraine, the Republican red wave never happened in the U.S. midterm elections, and at , countries agreed to create a fund to help poor nations threatened by climate disasters",Reuters,Ukraine
"A third Russian airfield was ablaze from a drone strike, a day after Ukraine demonstrated an apparent new ability to penetrate hundreds of kilometers deep into Russian air space with attacks on two Russian air bases",Reuters,Ukraine
A drone attack on an airfield in Russia's Kursk region set fire to an oil storage tank a day after Moscow accused Ukraine of audacious drone attacks on two military airfields deep inside Russian territory,Reuters,Ukraine
"Ukraine warned there would be emergency blackouts once again in several regions as it repaired damage from missile attacks it said destroyed homes and knocked out power, while Moscow accused Kyiv of attacking deep inside Russia with drones",Reuters,Ukraine
"🌎 Year in Review: Russia's Putin, incensed by what he saw as Ukraine's treacherous Westwards pivot, ordered an invasion — which he called 'a special military operation.' Now, Russia, mired in war, faces economic pain and attempts to isolate it",Reuters,Ukraine
"‘We are not enabling Ukraine to strike beyond its borders,’ U.S. State Department spokesperson Ned Price told reporters, adding that Washington is providing Kyiv with what it needs to use on its sovereign territory to defend itself",Reuters,Ukraine
"🌎 Year in Review: Russia invaded Ukraine, the Republican red wave never happened in the U.S. midterm elections, and at , countries agreed to create a fund to help poor nations threatened by climate disasters",Reuters,Ukraine
"5⃣ stories you need to know today: China has embraced the biggest relaxation of COVID curbs since the pandemic began, Russia presses forward with air and ground attacks in eastern Ukraine, and more",Reuters,Ukraine
"In search of cleaner air, a Polish family in 2018 swapped the busy city streets of Krakow for the village of Olpiny, nestled in the Carpathian foothills. But with the onset of the Ukraine war, and the subsequent energy crisis, their dreams have been dashed",Reuters,Ukraine
The Kremlin said that its forces are still set on seizing parts of eastern and southern Ukraine that Moscow has claimed as its own,Reuters,Ukraine
"The Tkaczuk family moved from the Polish city of Krakow to the village of Olpiny in the Carpathian foothills in 2018 in search of cleaner country air. But with the onset of the Ukraine war, and the subsequent energy crisis, their dreams have been dashed",Reuters,Ukraine
Ukraine enforced new emergency power cuts as it tried to repair energy infrastructure damaged in Russian air strikes which the national grid operator said had caused significant supply shortages,Reuters,Ukraine
"Nina Melenets finally buried her son in November, more than seven months after she said he was killed by shelling in their village in eastern Ukraine. The 62-year-old is still looking for her husband, Serhiy, who has been missing since late March",Reuters,Ukraine
"Russian President Vladimir Putin has acknowledged that his army could be fighting in Ukraine for a long time, but for now there will be no second call-up of soldiers",Reuters,Ukraine
Ukraine’s President Volodymyr Zelenskiy has been named Time magazine's ‘Person of the Year’ for 2022. The publication said he inspired Ukrainians and won global accolades for his courage in resisting Russia’s devastating invasion,Reuters,Ukraine
"WARNING: GRAPHIC IMAGES 🌎 Year in Review: When Russia invaded Ukraine in 2022, millions endured bombardment in basements and bomb shelters. But millions rallied, taking up arms, ferrying food to villages, and caring for one another’s children",Reuters,Ukraine
Analysis: French President Emmanuel Macron's mixed messages on Ukraine unnerve some Western allies,Reuters,Ukraine
"Russian forces have shelled the entire front line in the Donetsk region in eastern Ukraine, Ukrainian officials said, part of what appears to be the Kremlin's scaled-back ambition to secure only the bulk of territory it has claimed",Reuters,Ukraine
"In Posad-Pokrovske in Ukraine's recaptured southern region of Kherson, residents are gradually returning to homes damaged or reduced to rubble by Russian shells, set in a landscape of downed utility poles and spent munitions",Reuters,Ukraine
"Russian forces shelled the entire front line of Donetsk region in eastern Ukraine, part of what appeared to be the Kremlin's scaled-back ambition to secure only the bulk of lands it has claimed",Reuters,Ukraine
"In Posad-Pokrovske in the southern region of Kherson, which Ukraine retook last month, some villagers have returned to homes damaged or reduced to rubble by Russian shells, set in a landscape of downed utility poles and spent munitions",Reuters,Ukraine
"🌎 Year in Review: Russia invaded Ukraine, the Republican red wave never happened in the U.S. midterm elections, and at , countries agreed to create a fund to help poor nations threatened by climate disasters",Reuters,Ukraine
"Operations at Ukraine's Odesa port stopped after Russia's latest attack on the region's energy system, the country's agriculture minister said",Reuters,Ukraine
"WARNING: GRAPHIC IMAGES 🌎 Year in Review: When Russia invaded Ukraine in 2022, millions endured bombardment in basements and bomb shelters. But millions rallied, taking up arms, ferrying food to villages, and caring for one another’s children",Reuters,Ukraine
"An international team of legal advisers is working with local prosecutors in Ukraine's recaptured city of Kherson, gathering evidence of alleged sexual crimes by Russian forces",Reuters,Ukraine
G7 to focus on boosting Ukraine's air defence - leaders' statement,Reuters,Ukraine
"5⃣ stories you need to know today: Ukraine says Russian forces pounded targets in eastern and southern Ukraine with missiles, drones and artillery, people line up outside fever clinics at China's hospitals for COVID checks, and more",Reuters,Ukraine
"The United States is prioritizing efforts to boost Ukraine's air defenses, President Biden told his Ukrainian counterpart, as President Zelenskiy held talks with the leaders of Turkey and France to step up efforts to secure international assistance",Reuters,Ukraine
"Russian forces pounded targets in eastern and southern Ukraine with missiles, drones and artillery, Ukraine's General Staff said, while millions remained without power in subzero temperatures after further strikes on key infrastructure",Reuters,Ukraine
"The United States is prioritizing efforts to boost Ukraine's air defenses, President Biden told his Ukrainian counterpart, as President Zelenskiy stepped up efforts to secure assistance over the Russian invasion that is dragging into a tenth month",Reuters,Ukraine
"Poor harvests, the war in Ukraine and disrupted supply lines all added up to higher global prices for food retailers and consumers in 2022. The next twelve months look unlikely to buck that trend",Reuters,Ukraine
Some 70 countries and institutions worldwide pledged more than $1.05 billion in immediate aid to help Ukraine get through a harsh winter as Russian forces batter its energy grid and other critical civilian infrastructure,Reuters,Ukraine
"5⃣ stories you need to know today: Twitter dissolved its Trust and Safety Council, according to an email reviewed by Reuters, G7 leaders promised to meet Ukraine’s ‘urgent requirements’ after Zelenskiy appealed for modern tanks, artillery and long-range weapons",Reuters,Ukraine
The United States and the EU restricted sales of sensitive technology to Russia because of its Feb. 24 invasion of Ukraine. An investigation details for the first time the global supply chain that continues to feed Russia with Western computer components,Reuters,Ukraine
France's Macron: discussion on modalities over removing heavy weapons from Ukraine's Zaporizhzhia nuclear site,Reuters,Ukraine
"Global economic powers pledged to beef up Kyiv's military capabilities with a focus on air defense, as Russian missiles, artillery and drones hammered targets in Ukraine with no end in sight to Europe's biggest conflict since World War Two",Reuters,Ukraine
"Russian missiles, artillery and drones hammered targets in eastern and southern Ukraine, as global economic powers pledged to beef up Kyiv's military capabilities with a focus on air defense",Reuters,Ukraine
A team of experts from a legal practice called Global Rights Compliance is working with local prosecutors to gather evidence of alleged sexual crimes by Russian forces in Ukraine,Reuters,Ukraine
2022 will be remembered as the year Russia invaded Ukraine and the subsequent Western sanctions accelerated a global energy crisis by ripping up decades-old demand-supply relationships,Reuters,Ukraine
"Amid surging inflation and economic fears caused by war in Ukraine, the Austrian Mint, one of the world's oldest and biggest producers of gold bullion coins, is unable to keep up with demand as people rush to find a safe haven for their money",Reuters,Ukraine
"Russia launched its first major drone attack on the Ukrainian capital in weeks, with Kyiv saying its air defenses prevented serious damage, as the United States considers sending its advanced Patriot air-defense system to help Ukraine",Reuters,Ukraine
"The Austrian Mint, one of the world's oldest and biggest producers of gold bullion coins, is unable to keep up with demand as people rush to find a safe haven for their money amid surging inflation and economic fears caused by war in Ukraine",Reuters,Ukraine
"From the latest on the ongoing war in Ukraine to U.S. lawmakers announcing legislation to ban TikTok, here's a look at the top 5⃣ stories of the day",Reuters,Ukraine
"A street mural by a Russian pensioner, of a girl in a dress with the colors of the Ukrainian flag and a bomb falling onto her, fell afoul of laws passed by the Russian government effectively criminalizing opposition to the military campaign in Ukraine",Reuters,Ukraine
"Kyiv's air defense systems shot down 10 Russian drones, the city's mayor said, while the U.S. is close to finalizing plans to send its Patriot air defence system to Ukraine in a potentially pivotal move in the conflict",Reuters,Ukraine
The United States was finalizing plans to send its sophisticated Patriot air defense system to Ukraine in a potentially pivotal move while allies pledged just over $1.05 billion to help Ukrainians survive the freezing winter,Reuters,Ukraine
"🌎 Year in Review: Russia's invasion of Ukraine, and subsequent Western sanctions, heaped new pressures on oil and gas supplies already strained from the rapid economic rebound from the health crisis",Reuters,Ukraine
"Drought or too much rain, the war in Ukraine and high energy costs look set to curb global farm production again in 2023, tightening supplies, even as high prices encourage farmers to boost planting",Reuters,Ukraine
Some 70 countries and institutions have pledged over $1.05 billion in immediate aid to help Ukraine get through a harsh winter,Reuters,Ukraine
"🌎 Year in Review: Drought or too much rain, the war in Ukraine and high energy costs look set to curb global farm production again next year, tightening supplies, even as high prices encourage farmers to boost planting",Reuters,Ukraine
"🌎 Year in Review: For the energy industry, 2022 will be remembered as the year Russia's invasion of Ukraine accelerated a global energy crisis",Reuters,Ukraine
"Based on Russian customs filings and bank records, an investigation into a sanction-evading supply line marks the first time a supply route for American technology has been traced all the way to a Russian manufacturer, whose weapons are used in Ukraine",Reuters,Ukraine
"Ukraine stages its heaviest shelling in years in the country's Russian-controlled east, three men convicted of supporting a plot to kidnap Michigan governor set to be sentenced, Britain's NHS nurses participate in a national walkout, and more. 5⃣ stories you need to know",Reuters,Ukraine
"Ukrainian forces shelled the Russian-controlled city of Donetsk in eastern Ukraine, Moscow-installed officials said, a day after Russia ruled out a Christmas ceasefire in the nearly 10-month old war",Reuters,Ukraine
"Germany is bleeding cash to keep the lights on. Almost half a trillion dollars, and counting, since the Ukraine war jolted it into an energy crisis nine months ago",Reuters,Ukraine
Germany has spent almost half a trillion dollars on bailouts and schemes to prop up the country's energy system since prices rocketed due to the Ukraine war and it lost access to gas from main supplier Russia. But it may not be enough,Reuters,Ukraine
Russia ruled out a ‘Christmas ceasefire’ after nearly ten months of war in Ukraine and rejected a call by Kyiv to start withdrawing troops by Christmas as a step to end Europe's biggest conflict since World War Two,Reuters,Ukraine
"European Union leaders will argue over how to prop up their countries' industries, which have been whacked by soaring energy prices since the outbreak of war in Ukraine and now face the threat of subsidy-fueled U.S. competition",Reuters,Ukraine
"For the energy industry, 2022 will be remembered as the year Russia's invasion of Ukraine accelerated a global energy crisis. The conflict heaped new pressures on already strained oil and gas supplies",Reuters,Ukraine
"Russia fired more than 70 missiles at Ukraine in one of its biggest attacks since the start of the war, forcing Kyiv to implement emergency blackouts nationwide",Reuters,Ukraine
