Text,Media,GPE
"Host Anne McElvoy asks veteran diplomat Christoph Heusgen whether the Zeitenwende, announced in the wake of Russia’s invasion of Ukraine, could be derailed",TheEconomist,Ukraine
Does Ukraine have a fighting chance in 2023? Listen to “The World Ahead” podcast for our scenarios as to how the war might develop—or end,TheEconomist,Ukraine
Firepower is important. Ukraine started the war with the largest artillery force in Europe after Russia. The principal constraint was ammunition,TheEconomist,Ukraine
"Less extortion and theft, but more digital destruction. That is one of the ways in which the conflict in Ukraine is altering cybercrime",TheEconomist,Ukraine
"China sees Russia’s invasion as a useful challenge to the West. But some in Beijing draw comparisons to Taiwan and wonder if it, like Ukraine, could turn an invasion into a quagmire, with disastrous consequences for the Communist Party",TheEconomist,Ukraine
Our foreign and defence editors discuss the possible scenarios for the war in Ukraine on “The World Ahead” with . Listen to the podcast,TheEconomist,Ukraine
Firepower is important. Ukraine started the war with the largest artillery force in Europe after Russia. The principal constraint was ammunition,TheEconomist,Ukraine
"A year after she stepped down as chancellor, the war in Ukraine has cast a shadow over Angela Merkel’s reputation",TheEconomist,Ukraine
"How will the war in Ukraine play out in 2023? Listen to “The World Ahead” podcast with The Economist’s , and",TheEconomist,Ukraine
"Ukraine has been a testing ground for Russian cyber-operations for years. That gave the government insight into Russian cyber-tactics, and time to harden its infrastructure",TheEconomist,Ukraine
Talk of a trade war pitting Europe against America is brewing even as both are allies in a real war in Ukraine,TheEconomist,Ukraine
Ukraine has shown how even one of the best­-resourced cyber-­powers can be kept at bay with a well­-organised defence,TheEconomist,Ukraine
"Host Anne McElvoy asks veteran diplomat Christoph Heusgen whether the Zeitenwende, announced in the wake of Russia’s invasion of Ukraine, could be derailed",TheEconomist,Ukraine
Many experts believe the mainland’s options over Taiwan are shrinking. But Russia’s struggles in Ukraine will have given them pause,TheEconomist,Ukraine
Our foreign and defence editors discuss the possible scenarios for the war in Ukraine on “The World Ahead” with . Listen to the podcast,TheEconomist,Ukraine
Russia’s government has recruited cybercriminals to focus on “wiping” computers to damage Ukraine’s war effort by erasing whatever data they can reach,TheEconomist,Ukraine
Does Ukraine have a fighting chance in 2023? Listen to “The World Ahead” podcast for our scenarios as to how the war might develop—or end,TheEconomist,Ukraine
Russia treated Ukraine as a cyber-testing-range in the years after its first invasion in 2014. Ukraine was thus prepared—and has shown how to defend against this new type of warfare,TheEconomist,Ukraine
"America’s Congress should fund Ukraine’s heroic resistance. Vladimir Putin’s strategy is to wait out the West, bomb and freeze Ukraine into submission. Ukraine needs to know that its Western allies have more patience than Mr Putin thinks they do",TheEconomist,Ukraine
"Russia’s known attacks on critical infrastructure, in Ukraine and beyond, have been prematurely exposed, riddled with errors or have spilled over beyond the intended target",TheEconomist,Ukraine
The decryption of Germany’s Enigma cipher machines in the second world war did not come to light until the 1970s. The ultimate impact of cyber-­operations in Ukraine may remain obscure for years,TheEconomist,Ukraine
"She ignores the fact that she could have stopped Nord Stream 2, a now defunct pipeline intended to bring gas from Russia to Germany. Had Angela Merkel been firmer, Mr Putin might have felt less confident about bullying Ukraine",TheEconomist,Ukraine
"Despite Russia’s cyber-­warriors, Ukraine’s lights, power and water stayed on. Volodymyr Zelensky continued to make nightly television broadcasts to the nation. We explain how",TheEconomist,Ukraine
♦️ Ukraine warns of emergency blackouts as Russian strikes continue. ♦️ Georgia’s run-off election closes America’s Senate race. ♦️ Indonesia’s parliament passes a law banning extramarital sex. Catch up on today’s news ⬇️,TheEconomist,Ukraine
"Though confidence among Western leaders in Ukraine’s ability to withstand Vladimir Putin’s terror has gone up, there is growing concern about Russia’s own ability to survive the war. It could descend into chaos",TheEconomist,Ukraine
Ukraine’s Modernist art has defied censorship and missiles,TheEconomist,Ukraine
The war in Ukraine may affect the calculus on all sides,TheEconomist,Ukraine
"What if the conflict does come to an end? That will set the scene for another kind of European tension: over who pays for the rebuilding of Ukraine, and how much to spend on it",TheEconomist,Ukraine
"Has Russia’s cyber prowess been overrated? asks why the cyber campaign in Ukraine seems to have fallen flat, on “Babbage”",TheEconomist,Ukraine
"Until Ukraine can close its skies, it will only be plastering over the gaps. But Western governments are reluctant to supply the fixed-wing fighter aircraft Ukraine would like to defend itself",TheEconomist,Ukraine
The damage Vladimir Putin is inflicting on Ukraine is immense. The cost for its allies is less visible. Our model attempts to calculate it,TheEconomist,Ukraine
"The war in Ukraine “marks the end of the illusion that there is a truly global liberal order”, writes in a guest essay. But he says it also signals that “epitaphs for the end of the international liberal order were based on illusory assumptions”",TheEconomist,Ukraine
How is Ukraine coping with the trauma of war? asks the historian and writer on “The Economist Asks” podcast,TheEconomist,Ukraine
“There is a lot more friction and complexity in cyber-war than people assume.” draws some lessons from Russia’s cyber campaign in Ukraine. Listen to this week’s “Babbage” podcast,TheEconomist,Ukraine
"As the war rolls on, shipments of many staple foods from Ukraine have restarted and then faced an on-and-off blockade. Weak economic growth is weighing on demand",TheEconomist,Ukraine
"♦️ Vladimir Putin warns that the war in Ukraine will be a “long process”. ♦️ Lawmakers in Peru vote to oust Pedro Castillo as president, after his attempted coup. ♦️ Wirecard’s former bosses go on trial. Catch up on today’s news ⬇️",TheEconomist,Ukraine
“The technological world that we live in is fundamentally reliant upon commercial companies to help us defend it.” Paul Chichester of tells our “Babbage” podcast how private companies have helped Ukraine fend off Russian cyber attacks,TheEconomist,Ukraine
Ukraine seems to have demonstrated the naval equivalent of the quadcopter. That may make naval warfare asymmetric in a way which governments are unprepared to deal with,TheEconomist,Ukraine
"Has Russia’s cyber prowess been overrated? asks why the cyber campaign in Ukraine seems to have fallen flat, on “Babbage”",TheEconomist,Ukraine
"“The war in Ukraine has unveiled a paradox,” writes Michel Duclos. The former French ambassador says it is a contradiction that Emmanuel Macron and Joe Biden “probably discussed” when they met in Washington this month",TheEconomist,Ukraine
"The world order has been upturned since Vladimir Putin’s unprovoked invasion of Ukraine. But if you were to visit the Russia’s capital, you would be forgiven for not noticing it",TheEconomist,Ukraine
"In eastern Europe, Russia’s invasion of Ukraine has rekindled a campaign to purge any remaining tributes to Soviet “heroes”. Farther west, attitudes to the past are evolving at a slower pace",TheEconomist,Ukraine
"If 2022 was a year in which European governments discovered a remarkable, and to some extent unexpected, unity in the face of Vladimir Putin’s aggression in Ukraine, 2023 is the year that unity will be put to the test",TheEconomist,Ukraine
"The superiority of armaments from the West and Ukraine’s soldiers have made a big difference on the battlefield, says . But he warns that most of the conditions which led Vladimir Putin to expect a weak Western response “will continue to exist”",TheEconomist,Ukraine
“The technological world that we live in is fundamentally reliant upon commercial companies to help us defend it.” Paul Chichester of tells our “Babbage” podcast how private companies have helped Ukraine fend off Russian cyber attacks,TheEconomist,Ukraine
“Ukraine fatigue is a weapon of war…that is directed at us by the Kremlin.” We meet the historian and writer Olesya Khromeychuk on “The Economist Asks” podcast,TheEconomist,Ukraine
The invasion of Ukraine has diminished Russia’s role in the Middle East. It will continue to wane in 2023,TheEconomist,Ukraine
"Before Vladimir Putin invaded Ukraine, the country had a thriving digital economy and tech sector. It is putting it to good use",TheEconomist,Ukraine
"The sniping has begun. Silvio Berlusconi has backed Vladimir Putin against Ukraine, and criti­cised Giorgia Meloni as self­-important, bossy and arrogant",TheEconomist,Ukraine
How is Ukraine coping with the trauma of war? asks the historian and writer on “The Economist Asks” podcast,TheEconomist,Ukraine
“There is a lot more friction and complexity in cyber-war than people assume.” draws some lessons from Russia’s cyber campaign in Ukraine. Listen to this week’s “Babbage” podcast,TheEconomist,Ukraine
Ukraine is using foreign tech to mitigate Russian destruction,TheEconomist,Ukraine
"“If you go on the street in Ukraine and ask anybody to define freedom for you, they will have no problem defining it because they know what the absence of freedom is.” joins on “The Economist Asks” podcast",TheEconomist,Ukraine
"How will the energy crisis, triggered by the war in Ukraine, unfold in 2023? Listen to “The World Ahead” podcast with , and Vijay Vaitheeswaran",TheEconomist,Ukraine
From the 3D printing of buildings to the use of auto-transfusion devices in hospitals—Ukraine is emerging as a hub for trying out some of the latest tech in extreme conditions,TheEconomist,Ukraine
The UOC says it is firmly behind Ukraine’s fight to defend itself. But many Ukrainians still view the church with suspicion,TheEconomist,Ukraine
"Russia is the region’s second-biggest arms dealer, behind America, but its war in Ukraine will be bad for business",TheEconomist,Ukraine
Ukraine’s government sees the Ukrainian Orthodox Church’s links to Russia as a security risk,TheEconomist,Ukraine
"Has Russia’s cyber prowess been overrated? asks why the cyber campaign in Ukraine seems to have fallen flat, on “Babbage”",TheEconomist,Ukraine
"Earlier this month, as Russian missiles fell, Ukraine’s president, Volodymyr Zelensky, spoke of war on a different front",TheEconomist,Ukraine
“Ukraine fatigue is a weapon of war…that is directed at us by the Kremlin.” We meet the historian and writer Olesya Khromeychuk on “The Economist Asks” podcast,TheEconomist,Ukraine
"Groups such as Skieron, Backup Ukraine and Pixelated Realities are making 3D scans of precious sites and objects, to preserve Ukraine’s history",TheEconomist,Ukraine
Orthodoxy in Russia and Ukraine has long been entwined,TheEconomist,Ukraine
"Will war in Ukraine accelerate the green-energy transition—and what might happen in 2023? Listen to the latest episode of “The World Ahead”, our future-gazing podcast series with",TheEconomist,Ukraine
Ukraine is using foreign tech to mitigate Russian destruction,TheEconomist,Ukraine
