Text,Media,GPE
"Six million people remained without power across Ukraine, as Russian strikes on critical infrastructure continued",WSJ,Ukraine
"Overall, 57% of survey respondents said the U.S. must continue supporting Ukraine with weapons and financial support",WSJ,Ukraine
European Union officials said the bloc can’t confiscate tens of billions of euros worth of frozen Russian central-bank funds to pay for Ukraine’s reconstruction,WSJ,Ukraine
Russia's attacks on Ukraine's civilian infrastructure are forcing millions of Ukrainian refugees who intended to return home to stay put,WSJ,Ukraine
Secretary of State Antony Blinken said Western countries would step up support for Ukraine’s power sector and remain united against efforts by Russian President Vladimir Putin to divide Europe over energy supplies,WSJ,Ukraine
"“He’s the money guy, and he’s the media guy”: Yuri Kovalchuk’s sprawling media empire pumps out propaganda, helps crush dissent and works to distract an unsettled public as Russia’s troubles mount in Ukraine.",WSJ,Ukraine
"“He’s the money guy, and he’s the media guy”: Yuri Kovalchuk’s sprawling media empire pumps out propaganda, helps crush dissent and works to distract an unsettled public as Russia’s troubles mount in Ukraine.",WSJ,Ukraine
Ukraine’s government moved to curb the activities of the Orthodox Christian denomination historically linked to Moscow,WSJ,Ukraine
"Russia rejected President Biden's conditions for negotiations over Ukraine with Putin, insisting that Moscow's military campaign in the country would continue",WSJ,Ukraine
"As Russia targets Ukraine's energy grid with missiles and drones, Kyiv is running out of vital parts needed to repair a network that provides electricity for homes, businesses and hospitals",WSJ,Ukraine
A missile incident that killed two people in Poland led to one of the sharpest public divergences between Ukraine and the U.S. since the start of Russia’s invasion,WSJ,Ukraine
"From : Ukraine urgently needs better air defenses, and this is another reminder that America’s weapons stocks are insufficient for an increasingly dangerous world",WSJ,Ukraine
"Russia rejected President Biden's conditions for negotiations over Ukraine with Putin, insisting that Moscow's military campaign in the country would continue.",WSJ,Ukraine
"From : Ukraine urgently needs better air defenses, and this is another reminder that America’s weapons stocks are insufficient for an increasingly dangerous world",WSJ,Ukraine
Ukraine denounced a price cap on Russian oil as a “weak” measure that would fail to deprive Moscow’s military machine of funds,WSJ,Ukraine
"The U.S. has secretly modified rocket launchers it gave Ukraine so they can't be used to fire long-range missiles into Russia, U.S. officials said",WSJ,Ukraine
The IAEA is under pressure from Ukraine to detail how much its observers at the occupied Zaporizhzhia nuclear-power plant knew about alleged Russian mass detention and torture of local staff,WSJ,Ukraine
Ukraine denounced a price cap on Russian oil as a weak measure that would fail to deprive Moscow’s military machine of funds,WSJ,Ukraine
"Weeks after Ukraine drove Russian occupation forces from Kherson, residents are coping with the worst damage that the southern city has suffered since the war began",WSJ,Ukraine
Ukrainian farmers are losing big chunks of their land to powerful Russians. First comes a visit by officials of an eastern Ukraine ‘people’s republic.’,WSJ,Ukraine
Russian officials are struggling to raise production and renew dwindling munitions for the war in Ukraine as they face a labor shortage,WSJ,Ukraine
International Olympic Committee president Thomas Bach said he wants Russian and Belarusian athletes to participate in the 2024 Paris Olympics despite Russia’s invasion of Ukraine. “Participation must happen on sporting merits.”,WSJ,Ukraine
The pope likened the war in Ukraine to the Nazi genocide of the Jews in his latest escalation of rhetoric on the war,WSJ,Ukraine
"Russian strikes killed at least 10 people in eastern Ukraine, the deadliest single Russian attack on civilians in weeks",WSJ,Ukraine
"Russian strikes killed at least 10 people in eastern Ukraine, the deadliest single Russian attack on civilians in weeks",WSJ,Ukraine
"The battle for Bakhmut in Ukraine has become a bloodbath for both sides as Russia steps up its attempts to take what used to be a quaint, tree-lined city",WSJ,Ukraine
"TotalEnergies plans to book a $3.7 billion impairment on its stake in Novatek, as it scales back its business in Russia following the invasion of Ukraine",WSJ,Ukraine
An exhibition at the Thyssen-Bornemisza National Museum Madrid showcases dozens of works that were recently spirited out of Ukraine,WSJ,Ukraine
"From : Ukraine’s war is a case study in the meaning and value of national identity, writes",WSJ,Ukraine
"In a speech revealing Kremlin efforts to bolster domestic support for its war in Ukraine, Sergei Kiriyenko told state officials they are “special forces” fighting an information war",WSJ,Ukraine
Some of the most powerful weapons that the West gave to Ukraine have been languishing away from the battlefield due to complicated repairs procedures and quarrels among European allies,WSJ,Ukraine
"Russia launched fresh attacks on Ukraine with Iranian-made drones, an indication that Moscow has replenished its supply of the weapons",WSJ,Ukraine
Western military officials are offering a sobering assessment of what would be needed to push Moscow’s forces out of entrenched positions in Ukraine,WSJ,Ukraine
Most of Ukraine's southern Odessa region was without power following the latest in a series of Russian drone strikes on the electric grid,WSJ,Ukraine
"Ukraine rushed to restore power supplies following the latest round of Russian attacks, while President Volodymyr Zelensky spoke with President Biden after a flurry of weekend diplomacy aimed at strengthening sanctions on Russia.",WSJ,Ukraine
"Breaking: The U.S. is finalizing plans to give Ukraine its most coveted missile defense system, the Patriot, U.S. officials said",WSJ,Ukraine
"Russia’s war in Ukraine is no normal power grab. Russia's history is one of expansion and empire, and the assault on Kyiv was the culmination of a project of imperial restoration, writes Eliot A. Cohen",WSJ,Ukraine
Russia says the U.S. Patriot missile-defense batteries would be fair game if Washington delivers them to Ukraine,WSJ,Ukraine
"The U.S. is moving to impose sanctions on one of Russia’s wealthiest men, Vladimir Potanin, as well as on some of his financial companies, U.S. officials said, as Washington looks for ways to further clamp down on Russia amid the war in Ukraine",WSJ,Ukraine
"Russia’s war in Ukraine is no normal power grab. Russia's history is one of expansion and empire, and the assault on Kyiv was the culmination of a project of imperial restoration, writes Eliot A. Cohen",WSJ,Ukraine
"The U.S. is finalizing plans to give Ukraine its most coveted missile defense system, the Patriot, U.S. officials said",WSJ,Ukraine
"The biggest surprise of 2022 was Ukraine’s humbling of Russia’s military machine, but Putin believes he can still win a contest of wills. In the months ahead, Ukraine's supporters will have to make some difficult decisions.",WSJ,Ukraine
The U.S. has sanctioned Russian lender Rosbank and 17 subsidiaries of VTB in its continuing effort to put the squeeze on Russia after its invasion of Ukraine,WSJ,Ukraine
Ukraine said it struck a Russian ammunition depot and military base on occupied territory in the country’s east,WSJ,Ukraine
"From : Congress and the Biden administration should cooperate to get Ukraine what it needs to survive and move forward. Cutting or delaying aid would be irresponsible and could prove disastrous, writes William Galston.",WSJ,Ukraine
Russia says the U.S. Patriot missile-defense batteries would be fair game if Washington delivers them to Ukraine,WSJ,Ukraine
"The Wall Street Journal looks back at the year's biggest stories, from the war in Ukraine to inflation and the economy to the midterm elections",WSJ,Ukraine
"Chechen warlord Ramzan Kadyrov calls himself Putin’s foot soldier. His personal army in Ukraine stands accused of doing more than just fighting: “They do the dirtiest work, the torture.”",WSJ,Ukraine
"Chechen warlord Ramzan Kadyrov calls himself Putin’s foot soldier. His personal army in Ukraine stands accused of doing more than just fighting: “They do the dirtiest work, the torture.”",WSJ,Ukraine
"The Saturday Essay: Vladimir Putin hopes to sell Russia’s unpopular war in Ukraine as a defense of ""traditional"" values. Few are buying it, writes Yaroslav Trofimov.",WSJ,Ukraine
"Chechen warlord Ramzan Kadyrov calls himself Putin’s foot soldier. His personal army in Ukraine stands accused of doing more than just fighting: “They do the dirtiest work, the torture.”",WSJ,Ukraine
"A rocket strike killed at least one person in Russia’s Belgorod region near Ukraine, local officials said, as Russia’s defense minister made a rare visit to the Ukrainian war zone",WSJ,Ukraine
"A look back at Russia’s attack on Ukraine, a history of a philosopher’s impact on the American project, Elizabeth Taylor’s star power and more.",WSJ,Ukraine
"European energy ministers reached a political agreement to impose an emergency limit for natural-gas prices, which have been sent soaring by Russia’s invasion of Ukraine",WSJ,Ukraine
Russia launched a fresh wave of drone attacks against Ukraine on Monday as the country struggled to repair energy infrastructure damaged by recent missile attacks that have left millions without power,WSJ,Ukraine
