Text,Media,GPE
"China is actively optimizing and refining its COVID-19 response as the pathogenicity of the Omicron virus weakens, the vaccination rate rises and the country accumulates experience in containing the virus",XHNews,China
U.S. urged to work with China to find right way to get along with each other,XHNews,China
An ancient coin hoard containing 1.5 tonnes of coins dating back to the Tang (618-907) and Song (960-1279) dynasties discovered in east China's Jiangsu,XHNews,China
"China's Harbin-Dalian High-speed Railway, the world's first high-speed rail line operating at low temperatures in winter, has handled 670 million passenger trips since it was launched 10 years ago.",XHNews,China
A quantum precision measurement instrument called quantum diamond atomic force microscope can achieve nanoscale high spatial resolution and single spin ultra-high detection sensitivity. Explore more more with a Bangladeshi PhD student in China's Anhui.,XHNews,China
"As the pathogenicity of the Omicron virus weakens, more people are vaccinated and experience in containing the virus is accumulated, China is optimizing its COVID-19 response.",XHNews,China
"With China's first in-orbit rotation between Shenzhou-15 astronauts and their Shenzhou-14 colleagues underway, Gao Xu, a senior spaceship designer, said the rotation can verify the feasibility of the regular rotation mode that will follow.",XHNews,China
"On the day the memorial meeting is held, the national flag will be flown at half-mast across the country as well as at China's embassies, consulates and other agencies stationed overseas. Public entertainment activities will be suspended on that day",XHNews,China
China's manned spaceship Shenzhou-15 was sent to space atop the Long March-2F Y15 carrier rocket. What's special about the rocket? And what improvements have been made for this mission?,XHNews,China
"Jointly implemented by China and Djibouti, the Djibouti Luban Workshop, has offered different majors and courses tailored to the African workforce",XHNews,China
The Dong people in China's Guizhou enjoy their traditional oil tea as a snack. Let's see how it's made.,XHNews,China
Bamboo industry revitalizes old revolutionary base in southwest China's Guizhou Province and also boosts development of upstream industries in neighboring provinces,XHNews,China
"China's courier sector sees its delivery volume exceed 100 billion parcels seven days earlier than in 2021 amid a continued expansion of the courier business, according to the State Post Bureau",XHNews,China
China's services trade value grew 17.2 percent year on year in the first 10 months of 2022: The Ministry of Commerce,XHNews,China
Archaeologists have unearthed 53 sites of ancient cultural remains and 278 relics during an evacuation project in southwest China's Chongqing Municipality from April to October,XHNews,China
"More than 600,000 residents in southwest China's Chongqing have joined voluntary services in the city's battle against a new COVID-19 resurgence.",XHNews,China
Kenya began exporting avocados to China following the implementation of a signed protocol on phytosanitary requirements for the export of fresh produce. A green channel for imported perishable agricultural products has further boosted trade between China and Africa.,XHNews,China
"A Pakistani economist says that China has received a lot of unfair criticism from Western countries on human rights, noting that it's an attempt to undermine the progress that China has made.",XHNews,China
"The Djibouti Luban Workshop, a vocational training program jointly implemented by China and Djibouti, is helping build a local talent pool for the railway industry in the African country.",XHNews,China
China's traditional tea-making was added to the UNESCO intangible cultural heritage list. Join Xinhua's He Xiyue and American expat Adrien Brill in China's Anhui to explore Chinese tea culture and industry. (recorded),XHNews,China
"China's ""dynamic zero-COVID"" policy is driven by a people-first attitude, but what about the science? We spoke to Josef Gregory Mahoney, a former epidemiologist, to understand the country's measures",XHNews,China
"From 2016 to 2021, the number of China-Europe freight trains increased by 55 percent year on year, with the annual freight volume rising nine times",XHNews,China
"Southwest China's Yunnan Province has passed a protection regulation on its ancient tea trees, stipulating that wild and cultivated tea plants aged over 100 years should be better protected in the province",XHNews,China
A Turkish journalist has said that China's fight against COVID-19 has saved lives and ensured economic growth.,XHNews,China
"A new record-high number of black-necked cranes, a species under first-class state protection in China, have been spotted in a national nature reserve in southwest China's Yunnan Province during the wintering period",XHNews,China
A concert was held at the national museum of New Zealand when artists from China & New Zealand performed music for audience to celebrate the 50th anniversary of bilateral ties:,XHNews,China
Chinese Foreign Ministry spokesperson Zhao Lijian on Wednesday said that China hopes Britain will create a fair business environment for Chinese companies and favorable conditions for bilateral cooperation,XHNews,China
"""Tea is not just a beverage to me. Tea is life,"" said an American librarian living in China's Wuhan. Follow Hannah Carter for a tea-rific journey to discover how Chinese tea is made and what's unique about Chinese tea culture.",XHNews,China
"A chess museum in Turkish capital Ankara offers visitors a journey through time and space with a variety of sets representing diverse cultures and traditions from across the world, including chessmen replica of China's Terracotta Warriors",XHNews,China
"ABB on Friday officially opened its largest and fully automated robotics factory where ""robots make robots"" in Shanghai. Read to find out why the Swiss tech giant built its new plant in China",XHNews,China
"Swiss luxury brand Bally aims to further expand its footprint in China through the combination of physical retail and e-commerce, the company's CEO told Xinhua in a recent interview in the Italian fashion capital.",XHNews,China
"China, Russia on Friday co-chaired the 26th session of the committee for regular meetings between heads of government via video link",XHNews,China
"As the weather turns colder, Yangtze alligators in Xuancheng in China's Anhui start their annual trip to a warmer place for hibernation.",XHNews,China
"A desert town has been greened in China's Xinjiang after years of afforestation efforts. This winter, about 600,000 saxaul saplings have newly been planted in Qiemo County.",XHNews,China
What does common prosperity mean to China with a population of over 1.4 billion people? What opportunities will it bring to the world?,XHNews,China
"Compared with many ancient villages that have a long history, Tangjiazhuang is a low-key villages in Huangshan in E China's Anhui. But to Guo, an overseas returnee, the very challenge of revitalizing such a village is what attracts her:",XHNews,China
