Text,Media,GPE
"For the United States, disadvantaging the rivals is a necessary move to maintain its Tech hegemony.",XHNews,USA
"The United States has seen over 1 million firearm fatalities over the past three decades with the death rates reaching a 28-year high in 2021, amid a surge in both gun violence and ownership",XHNews,USA
"Amid a surge in both gun violence and ownership, the United States has seen over 1 million firearm fatalities over the past three decades with the death rates reaching a 28-year high in 2021.",XHNews,USA
Chinese Foreign Ministry Spokesperson Zhao Lijian said the United States is letting its ally Europe pay the price in the crisis,XHNews,USA
"Black Friday usually kicks off a yearly sales event in the United States, putting the holiday shopping season in full swing. This year, however, consumers strained by record high inflation have become more careful about spending. Read",XHNews,USA
"California, US' most populous state, is among the states that have been hit hardest with ""very high"" flu levels, US CDC has said. This is against the backdrop of a nationwide spike in influenza-related hospital admissions, CDC said in its latest report",XHNews,USA
"The world should be multi-polar, but the United States attempts to restrain the development of other countries to maintain its hegemony, said Vyacheslav Volodin, Chairman of the Russian State Duma, on Monday.",XHNews,USA
"What is a future village,and how does it function? Join us as we see how smart ideas are revitalizing rural life and work in Zhejiang Province.",XHNews,USA
Chinese foreign ministry spokesperson Mao Ning on Monday said that cooperation between the United States and Europe should not target any third party,XHNews,USA
We share this planet with millions of other creatures. Yet nature is in crisis and 1 mln species face extinction. Conservation efforts are vital to protecting wildlife. Help us remind those who forget. Leave a comment to describe fantastic animals in your country!,XHNews,USA
"Nearly all steroids are illegal without a prescription in the United States, but bodybuilders say they are easily obtained and widely used by competitors",XHNews,USA
The Siberian Tiger Park in China's Harbin makes huge efforts in protecting tigers. Join us to see how technology does the work.,XHNews,USA
"""Anyone who may outrun us, we take them down."" -- US politician Frank Upperwood",XHNews,USA
"China urges the United States to withdraw its so-called sanctions on Chinese officials immediately, and stop interfering in Tibet affairs: FM spokesperson",XHNews,USA
"A UN resident coordinator in China said that China and the United States' joint leadership and shared influence, as evident at COP27, will encourage other nations to pledge more ambitious and bolder climate commitments towards a sustainable future",XHNews,USA
"Chinese ambassador rebukes claims of ""debt trap"" in Africa ""Obviously, there is no such trap. It is not a plot. It is transparent, it is sincere,"" the Chinese ambassador to the United States said",XHNews,USA
"China has called for enhanced communication and cooperation between China and the United States to put bilateral relations back on track, a Chinese foreign ministry spokesperson said following the latest talks between the two countries' officials",XHNews,USA
"If China and the United States could restart bilateral dialogue and cooperation in public health, they would make a big contribution to global health security, a U.S.-based expert on global health governance has said",XHNews,USA
"Snow, rime and a sea of Join us for joyous winter tour of the Hongchiba scenic spot in Chongqing, southwest China",XHNews,USA
"More than 99 million COVID-19 cases and 1.08 million deaths had been reported in the United States as of Dec. 7, 2022",XHNews,USA
"Is it possible to see the sea in inland China? Yes! Join us in the aptly named ""south of clouds,"" or Yunnan, to see this magnificent",XHNews,USA
"Hey! Remember us? Last year, we took an epic northward journey in southwest China's Yunnan. Our thousand-mile trek aroused huge interest in the human world. I know you were watching us from the air. As we'd travelled back safely to our home, I want to",XHNews,USA
"China has become the country with the most int'l wetland cities, playing a crucial role in saving and restoring these vital ecosystems. Join us to see the breathtaking views of wetlands across China!",XHNews,USA
"Human rights, US national security interests & promotion of democracy do not appeal to many African countries. Africa, instead, is interested in a mutual partnership where the continent is an equal player on int'l scene, experts say after US-Africa summit",XHNews,USA
"""As we celebrate the 51st anniversary of Ping-Pong diplomacy, we are reminded of enduring values of friendship and sportsmanship,"" says Virginia Sung, chief executive officer of the USA Table Tennis",XHNews,USA
"Join us to enjoy the transformation of a wetland park in Xinjiang, northwest China, into a winter wonderland!",XHNews,USA
"Gusty winds! Frigid temperatures! Heavy snow! A major winter storm has taken at least 23 lives across the United States as of Saturday evening, according to NBC News. Among them were 4 fatalities caused by a 46-vehicle pileup in Ohio",XHNews,USA
A massive winter stretching from the Great Lakes all the way down to the Rio Grande along the Mexican border has killed at least 57 people across the United States as of Monday,XHNews,USA
"According to multiple media reports, New York recorded at least 27 deaths from the ongoing winter storm as of Monday morning, bringing the total casualties in the United States to over 50.",XHNews,USA
"According to multiple media reports, New York recorded at least 27 deaths from the ongoing winter storm as of Monday morning, bringing the total casualties in the United States to over 50.",XHNews,USA
"The possibility of a deep and long-lasting recession in the United States, amid high inflation and high interest rates, could bring additional complications for emerging markets in 2023, a Mexican economist has warned",XHNews,USA
"The performance will showcase and demonstrate the cultural charm of Hong Kong, and is also a great opportunity to develop the cross-cultural friendship to the people between Hong Kong and the United States",XHNews,USA
"The United States is bracing for the end of 2022, a year marked by a deep political divide alongside an array of unresolved problems. Read Yearender by Xinhua writers for more:",XHNews,USA
"""For the United States, 2022 was another year of hurly-burly. In 2023, rationality is the most needed in politics, social issues and foreign relations."" Watch for Xinhua's chief reporter in North America Xu Xingtang's recap and expectation.",XHNews,USA
Join us in the pilot area for the commercial operation of driverless taxis in Wuhan to take a ride in a fully driverless taxi and find out how it works,XHNews,USA
Intro: Join us in the pilot area for the commercial operation of driverless taxis in Wuhan to take a ride in a fully driverless taxi and find out how it works,XHNews,USA
