Text,Media,GPE
"Opinion: It is understandable that some US politicians may soften their tone to appease the market at time when the US is facing serious economic headwinds, but China will follow its own rhythm in modernizing its strategic industries.",globaltimesnews,China
"With the 2022 Qatar World Cup in full swing, E. China’s Qingdao city proposes actively bidding for major international competitions such as the Club World Cup and the , as well as Chinese Football Association series events on Wed.",globaltimesnews,China
": When Western media outlets warned about the so-called impact of China's anti-COVID-19 measures, investors appeared optimistic, an ironic contrast that reveals the real level of market confidence in the Chinese economy amid Western badmouthing.",globaltimesnews,China
"Chinese experts criticized Japan on Thu after it expressed ""severe concerns"" over China-Russia joint air patrol, and urged Japan to listen to its domestic rational voices on China rather than ending up in a worse situation.",globaltimesnews,China
"Experts said Michel's visit represents EU's desire to remain engaged with China and clarify misunderstandings face-to-face, and aims to consolidate the momentum of stabilizing China-EU relations.",globaltimesnews,China
": As ""two major forces for world peace, two major markets for common development, and two major civilizations for human progress,"" the importance of China-Europe relations is not only reflected in the economic and trade cooperation.",globaltimesnews,China
"'s tea-making techniques and their associated social practices successfully became 's latest world intangible cultural heritage, encouraging the world to keep falling in love with Chinese .",globaltimesnews,China
"Several Chinese cities report year-on-year declines in new HIV/AIDS cases this year on Thursday, the 35th World AIDS Day, under the theme of fighting and sharing health together in China.",globaltimesnews,China
"What I talk about when I talk about reading in China? In recent years, books on humanities and social sciences have gained wider popularity. Bookstores and publishers are feeling the diverse needs of the vibrant Chinese readership.",globaltimesnews,China
": Some US elites have a shameless double standard: They condemn and even sentence those who incite violence in the US to long prison terms; but when it comes to anti-China disruptors, they spare no effort to defend them.",globaltimesnews,China
"China's markets stage rally on Thu, as investors anticipate rebound in following optimizing of measures in multiple cities.",globaltimesnews,China
": US hypes ""China threat"" to justify its nuclear expansion.",globaltimesnews,China
"The EU is willing to work with China to continue to push forward the Comprehensive Agreement on Investment and boost stability and mutual trust on supply chain issues, said President of the European Council Charles Michel.",globaltimesnews,China
"China's factory activity picked up slightly in Nov but remained in contraction, while firms showed optimism for improves businesses: private survey",globaltimesnews,China
China is willing to join hands with Pakistan to ensure that energy projects being built under the China-Pakistan Economic Corridor (CPEC) will be completed on schedule.,globaltimesnews,China
"As inflation outpaces wage growth in the US, the traditional shopping season at the end of the year seems to have lost steam, with spending per consumer falling sharply. Meanwhile, Made-in-China clearly remains indispensable for US consumers.",globaltimesnews,China
"FM slams US smearing of China's efforts in epidemic control, saying China is sharing a big market with the world, and providing cost-effective products with stable industrial & supply chains, citing data such as China's foreign trade in goods rising 9.9% from Jan to Sep.",globaltimesnews,China
"The China-EU investment agreement is a balanced, high-level, mutually beneficial & win-win pact, which bodes well for China, EU and the world. China and the EU should strive for deal signing and application, to benefit asap the businesses and people on both sides: MOFCOM",globaltimesnews,China
"Challenging US' Inflation Reduction Act (IRA) is an exercise of China’s rights as a WTO member, MOFCOM said, explaining Chinese delegation expressed concern over distorting trade subsidies contained in IRA & measures that disrupt global semiconductor industry at .",globaltimesnews,China
"China has carried out regular communication with foreign business chambers and timely responded to their reasonable requests in making business operation more convenient, Ministry of Commerce said in a reply to EUCCC’s advice on improving anti-COVID measures.",globaltimesnews,China
"EU sticks to strategic autonomy, upholds one-China policy, respects China’s sovereignty and will not interfere in China’s domestic affairs, said Michel, adding that EU is willing to strengthen communication with China on better coping with energy crisis and climate change.",globaltimesnews,China
