Text,Media,GPE
"Aussie PM Albanese, instead of expressing explicitly opposition to a visit by a bipartisan delegation to the Taiwan island, tried to distance himself from the delegation by stressing the trip is not by the govt & he “has no idea” of the trip’s intention.",globaltimesnews,Taiwan
"As Japan may expand its Okinawa-based ground force unit, a step to further enhance its military capacity for the so-called Taiwan emergency, experts said such move will poison bilateral relations and exacerbate the regional arms race trend.",globaltimesnews,Taiwan
": The politicians from certain countries who visit Taiwan to seek limelight are like political god of plague and pestilence. As the Australian MPs’ Taiwan visit is under way, Australia should stop playing with fire before the fire starts to burn.",globaltimesnews,Taiwan
"Once the Chinese mainland is determined to reunify with Taiwan by force, we will destroy all the army and aircraft carriers dispatched by the US if they choose to intervene and fight with the PLA: Global Times Commentator Hu Xijin",globaltimesnews,Taiwan
"respects the passage rights of other countries in relevant waters, but firmly opposes any move to threaten China’s sovereignty and security in the name of freedom of navigation: FM in response to reports about to sail more warships through the Taiwan Straits",globaltimesnews,Taiwan
"The 100 Patriot air defense missiles will not help Taiwan island gain a military edge over the mainland, as the PLA can launch saturation attacks including hypersonic missiles & stealth aircraft that can overwhelm the island’s air defenses, said analysts.",globaltimesnews,Taiwan
"The provocative arms sales to Taiwan region will make it more difficult to restore China-US military exchanges, Chinese experts warned Tuesday, following reports that Washington has proposed launching arm sales to secessionist Taiwan authorities.",globaltimesnews,Taiwan
"Chinese FM urged Australia to stop any form of official exchange with the Taiwan region & stop sending wrong signals to “Taiwan-independence” secessionists, in response to Australian bipartisan delegation’s reckless visit to the island.",globaltimesnews,Taiwan
"FM urges Australia to earnestly abide by the one-China principle, stop any form of official exchanges with the Taiwan region & stop sending wrong signals to Taiwan secessionists, in response to a bipartisan delegation of Australian lawmakers to the island.",globaltimesnews,Taiwan
"Recent Pentagon report on Chinese military misinterpreted China’s defense policies and military strategies, interfered in China’s internal affairs with the Taiwan question and hyped “China military threat.” China is strongly opposes all this: Defense Ministry",globaltimesnews,Taiwan
"The wrongful words&deeds of Tobias Ellwood, who said that Britain should have greater military interaction with Taiwan island, seriously violate the one-China principle&significantly undermine the stability across the Straits: Chinese Embassy to the UK on Tue",globaltimesnews,Taiwan
"TSMC’s moves in the US, which came under intense political pressure from Washington, may lead to a trend that could “empty” Taiwan’s industrial base and harm the regional economy: analyst",globaltimesnews,Taiwan
"Such sales would not change the total military advantage the Chinese mainland holds, but experts underlined that the US again laid bare its poor credibility on Taiwan question.",globaltimesnews,Taiwan
"The US, in consecutive provocative moves over the Taiwan question, has in the past few days approved another arms sale to the island of Taiwan and advanced its National Defense Authorization Act.",globaltimesnews,Taiwan
Some food companies from failed to provide complete information for registration; reports about mainland's suspension of imports from Taiwan without early-warning are just political hype: spokesperson for the Taiwan Affairs Office on Fri,globaltimesnews,Taiwan
"China firmly opposes the US move of using National Defense Authorization Act to approve negative contents against China. The US should stop playing the ""Taiwan card"" and cut military ties with Taiwan island: Chinese FM.",globaltimesnews,Taiwan
"Taiwan is China’s Taiwan and no external force has right to interfere in: Chinese State councilor and Defense Minister Wei Fenghe, spoke via video at a meeting of defense ministers of member states of the SCO and members of the Commonwealth of Independent States Fri.",globaltimesnews,Taiwan
"…and they urged that if Washington really wants to manage the competition and boost cooperation, it should keep its promises on sensitive topics like Taiwan question and stop hostile containment approaches against China, otherwise the US won’t get what it wants.",globaltimesnews,Taiwan
"On Mon, China expressed strong dissatisfaction and firm opposition against the visit of a senior official of Japan’s ruling Liberal Democratic Party to Taiwan island and the irresponsible remarks he made during the visit: Chinese Embassy in Japan",globaltimesnews,Taiwan
"The two sides discussed the implementation of consensus reached by two heads of state during the recent Bali summit, properly handling of important issues such as the Taiwan question and enhance all-level & in-depth communication: Chinese Foreign Ministry",globaltimesnews,Taiwan
"Chinese Vice Foreign Minister Xie Feng met US Assistant Secretary of State for East Asian and Pacific Affairs Daniel Kritenbrink and National Security Council Senior Director for China and the island of Taiwan Laura Rosenberger in Langfang, North China's Hebei from Sun to Mon",globaltimesnews,Taiwan
A spokesperson for the Taiwan Affairs Office of the State Council on Tue slammed the DPP for smearing the mainland’s normal food safety regulations as “trade barriers.”,globaltimesnews,Taiwan
"18 PLA bombers, capable of carrying 100+ missiles, reportedly held drills near Taiwan island in a single day, setting record & sending warning to collusion between Taiwan se-cessionists, external forces after recent US arms sales, Western official visits",globaltimesnews,Taiwan
