Text,Media,GPE
"Opinion: It is understandable that some US politicians may soften their tone to appease the market at time when the US is facing serious economic headwinds, but China will follow its own rhythm in modernizing its strategic industries.",globaltimesnews,USA
": Some US elites have a shameless double standard: They condemn and even sentence those who incite violence in the US to long prison terms; but when it comes to anti-China disruptors, they spare no effort to defend them.",globaltimesnews,USA
": US hypes ""China threat"" to justify its nuclear expansion.",globaltimesnews,USA
"As inflation outpaces wage growth in the US, the traditional shopping season at the end of the year seems to have lost steam, with spending per consumer falling sharply. Meanwhile, Made-in-China clearly remains indispensable for US consumers.",globaltimesnews,USA
"FM slams US smearing of China's efforts in epidemic control, saying China is sharing a big market with the world, and providing cost-effective products with stable industrial & supply chains, citing data such as China's foreign trade in goods rising 9.9% from Jan to Sep.",globaltimesnews,USA
"President Xi and President Biden had in-depth, constructive and strategic discussions on major issues concerning China-US relations and prospects for world peace & development in Bali, Chinese FM said Thur after US Secretary Antony Blinken said the meeting was vitally important",globaltimesnews,USA
"Challenging US' Inflation Reduction Act (IRA) is an exercise of China’s rights as a WTO member, MOFCOM said, explaining Chinese delegation expressed concern over distorting trade subsidies contained in IRA & measures that disrupt global semiconductor industry at .",globaltimesnews,USA
"Developing ties with China is actually the better way for EU to reduce its dependency on US and diversify its economy. However, the US has increased its attempts to force the EU to join its anti-China fleet: expert",globaltimesnews,USA
: The transatlantic relationship is currently in a critical historical period. The steel frame of the bridge supporting it has been severely loosened. The US has neither the will nor the ability to repair it.,globaltimesnews,USA
"""China challenge"" will not help US, France, or EU resolve their tensions. The US wants to create rivalry, forcing all sources to flow to US and sacrificing the interests of its allies to suit the US strategic appeal: expert",globaltimesnews,USA
: The White House brought out all the ceremonial objects it could think of to host Macron. All this was a strong contrast with the rift between the US and France on various issues.,globaltimesnews,USA
"Unlike , which always imposes geopolitical conditions on cooperation with countries, China-Arab cooperation is reciprocal and benefits people from both sides: experts",globaltimesnews,USA
"Chinese FM urges US to perceive China correctly and follow through on President Biden’s commitment of not seeking decoupling from China, halting China’s economic development or containing China.",globaltimesnews,USA
"China doesn’t oppose the development of normal relations between the US and France, but their development of ties should not harm the interests of a third party: Zhao responds after US-France joint statement claimed “China challenge.”",globaltimesnews,USA
"The US has made a fortune in the Ukraine crisis, while Europe is bleeding and paying for higher energy prices due to inflation. No wonder some European media say that Europe must ask: Why should our peace and prosperity depend on the interests of the US? Zhao said.",globaltimesnews,USA
"The US introduced the “Inflation Reduction Act” for its own interests while ignoring the impact on other countries, including its so-called allies and partners, Chinese FM spokesperson Zhao Lijian said. “This is another example of the America-first hegemony.”",globaltimesnews,USA
": With its shady case against Meng Wanzhou, the US also made a fool out of Canada's government, and Ottawa's response is that it will go all in in following the US' confrontational approach against China. That is truly regrettable.",globaltimesnews,USA
: More people died of COVID-19 in the US in the last three weeks than in China since the beginning of the pandemic. Fewer people have died in the whole of China than in an average US town. Here is why.,globaltimesnews,USA
"Opinion: Facing “deglobalization” and “decoupling” headwinds orchestrated by the US, it is imperative for the EU and China to stand together and say no to Washington’s attempt to debilitate our world.",globaltimesnews,USA
"：What kind of weapons the US develops is its own business. But if its purpose is to threaten and intimidate China, it is doomed to be a daydreaming.",globaltimesnews,USA
": Not only will B-21 fail to prove ""US deterrence,"" but it will only become the latest proof on the showcase of ""source of American chaos.""",globaltimesnews,USA
: Europe struggles to survive double pressure of energy crisis and US Inflation Reduction Act.,globaltimesnews,USA
The EU’s potential filing of a complaint over the US so-called Inflation Reduction Act at the WTO represents widespread global concerns over the US act: experts,globaltimesnews,USA
"The US’ new B-21 bomber has inherited some select strengths & drawn lessons from major shortcomings of the B-2, as it can be mass-produced and is more pragmatic in major power competitions, posing new challenges to the national defense of China: analysts",globaltimesnews,USA
"More people in the EU now realize how they have been caught in the US' trap, as the latter uses the EU crisis as an opportunity to enrich itself at the expense of the EU.",globaltimesnews,USA
": The US is not only aimed at China. Its series of moves also sowed seeds of future confrontation and conflicts among regional powers, threatening peace and stability for the region.",globaltimesnews,USA
"No matter how EU and US handle the conflict over US’ Inflation Reduction Act and how the game unfolds, the transatlantic relationship is destined to suffer damages, analysts said.",globaltimesnews,USA
: Austin undisguisedly showed his desire to continue US hegemony in his Saturday speech. But he cannot stop the trend that Washington’s hegemony is collapsing faster and faster while losing its grip on allies and partners.,globaltimesnews,USA
"The pressure from the US against the EU economy is an opportunity for China-EU relations, as now European leaders are engaging with both the US and China, and French President Emmanuel Macron is expected to visit China next month, and…",globaltimesnews,USA
"Once the Chinese mainland is determined to reunify with Taiwan by force, we will destroy all the army and aircraft carriers dispatched by the US if they choose to intervene and fight with the PLA: Global Times Commentator Hu Xijin",globaltimesnews,USA
"China resolutely opposes the US and the EU to interfere in China's internal affairs and to slander China, said FM spokesperson Mao Ning on Mon in response to relevant remarks made during the fourth high-level meeting of the US-EU Dialogue on China.",globaltimesnews,USA
