Text,Media,GPE
Coronavirus lockdowns and testing requirements were lifted in several cities across China following a wave of mass protests against the strict restrictions.,nytimes,China
China's ruling Communist Party may be starting to back down on strict Covid restrictions in response to a wave of mass protests that has been the most widespread challenge to Beijing in decades.,nytimes,China
"Protests across China have sent a stunning sign that even after a decade of censorship and detentions under Xi Jinping, a small and mostly youthful part of the population dares to call for a more liberal, politically freer China.",nytimes,China
"He wore a balaclava to hide his face at a protest against China’s Covid rules. He changed his jacket when he was followed. But still the police called the next day. China is using its powerful surveillance tools to track, intimidate and detain protesters.",nytimes,China
"As China eases its ""zero Covid"" restrictions, scientists say it may struggle to reopen without risking a tide of deaths as huge swaths of the elderly remain vulnerable. ""The simple fact is that China is not ready for a wave on that scale,"" one expert said.",nytimes,China
"In China, the world’s harshest Covid restrictions — and the eruption of protests against them — have shown how Xi Jinping's authoritarian excesses have rewritten Beijing's longstanding social contract with its people.",nytimes,China
"As protests against Covid restrictions ripple across China, Chinese people in New York and the broader diaspora are watching, waiting. Many say they can't openly share worries with family in China, or even talk about the protests due to safety concerns.",nytimes,China
"As protests against Covid restrictions ripple across China, Chinese people in New York and the broader diaspora are watching, waiting. Many say they can't openly share worries with family in China, or even talk about the protests due to safety concerns.",nytimes,China
"The mass protests that swept across China have subsided after an increased police presence. But a low-key hum of resistance against the authorities has persisted, suggesting that the big rallies emboldened a small but significant number of people.",nytimes,China
"Recent protests in China have rippled to cities around the world with large contingents of Chinese students and activists — even Hong Kong, where dissent is now dangerous. “Everyone has woken up,” a student in Australia said. “Slowly. Change takes time.”",nytimes,China
"Xi Jinping, China’s leader, will travel to Saudi Arabia on Wednesday for summits with leaders from across the Middle East, a region where U.S. allies are growing closer to China. He is expected to sign contracts with the Saudis and other Gulf States.",nytimes,China
"China’s top leader, Xi Jinping, heaped praise on Jiang Zemin at the late former president's funeral. Xi also urged the nation to rally around himself, a week after protests tested his authority.",nytimes,China
"The global auto industry still has extensive links to the Xinjiang region of China, a new report says, despite a U.S. law intended to restrict purchases from the area, where China has committed human rights abuses against mostly Muslim minorities.",nytimes,China
Breaking News: Indiana filed lawsuits accusing TikTok of exposing minors to mature content and deceiving users about China’s access to their data.,nytimes,China
"Fenced-off neighborhoods. A Shanghai office building turned into a temporary isolation center. Quarantine workers walking on deserted streets. See what life has looked like under China's ""zero Covid"" policy in some of the country’s biggest cities.",nytimes,China
"China unveiled a broad easing of its strict “zero Covid” restrictions. The changes do not dismantle the policy, but officials have been ordered to cut back on mass testing and hair-trigger regional lockdowns. Here are the highlights from the announcement.",nytimes,China
Breaking News: China has eased its stringent Covid restrictions in an implicit concession to public discontent after mass protests in over a dozen cities.,nytimes,China
"China’s jarring, narrative shift around Omicron points to the challenge for the Communist Party as it tries to prevent its sudden abandoning of “zero Covid” from being construed as an admission of failure and a stain on President Xi Jinping’s legacy.",nytimes,China
"China plans to cooperate with Saudi Arabia and other Gulf countries on nuclear energy, nuclear security and space exploration, President Xi Jinping said on Friday, showcasing his nation’s strengthening ties with the region.",nytimes,China
"Many of those who protested in China last month are ""reluctant to celebrate, because they want more,"" our columnist writes. ""Newly empowered by activism, they want to keep fighting for their rights and to hold their government accountable.""",nytimes,China
