Text,Media,GPE
From : Belgium became the first truly heavyweight casualty of the 2022 World Cup as the team ranked second in FIFA’s rankings and who finished third in Russia four years ago was knocked out. The repercussions and recriminations have begun.,nytimes,Russia
"Russia’s foreign minister, Sergey Lavrov, defended Moscow’s attacks on Ukrainian civilian infrastructure, calling it a legitimate military target, despite warnings by the UN that the strikes could amount to war crimes.",nytimes,Russia
"The UN launched a record-breaking appeal to international donors, asking for $51.5 billion to tackle what it called ""the largest global food crisis in modern history,"" fueled in part by Russia’s war in Ukraine.",nytimes,Russia
"Paul Whelan, a former U.S. Marine imprisoned in Russia, called his family on Friday after weeks of silence that led U.S. officials to express concern for his well being. He did not explain why he was transferred to the hospital of a Russian prison.",nytimes,Russia
"Following a raid last week on a Ukrainian Orthodox monastery that Kyiv said was possibly housing Russian spies, Ukraine’s president proposed banning the operation of religious organizations “affiliated with centers of influence” in Russia.",nytimes,Russia
"Moscow said it would not sell oil that is subject to a price limit agreed upon by G7 nations, even if it means cutting production — adding to questions over whether the plan, which goes into effect Monday, will succeed in slowing Russia’s war in Ukraine.",nytimes,Russia
"Breaking News: Kyiv used unmanned drones to strike two bases in the heart of Russia, a Ukrainian official confirmed, in Ukraine’s most brazen attack on Russia.",nytimes,Russia
"Russia launched a volley of missiles at Ukraine’s energy grid on Monday, the latest of strikes targeting civilian infrastructure. Blackouts were reported in several regions, from Sumy along the border with Russia to Odesa on the Black Sea coast.",nytimes,Russia
"More than nine months after Russia invaded Ukraine, neither the war effort nor the Russian economy has collapsed. But the impact of an exodus of Western companies is evident in communities across Russia, and experts say the worst may be yet to come.",nytimes,Russia
Europe and the U.S. began enforcing two of the toughest measures aimed at curbing Russia’s income from oil. The first is a price cap initiative led by the U.S. The second is an embargo under which EU nations will no longer be able to buy most Russian oil.,nytimes,Russia
"In Opinion “Remarkably, in the midst of a disastrous war, Russia’s legislators are focusing their ire on a lyrical coming-of-age novel,” write and Felix Sandalov.",nytimes,Russia
"A drone attack on Tuesday struck near an air base in Russia, a local official said, a day after Ukraine used drones to hit two military bases deep inside Russia. If confirmed by Ukraine, it signals that it's willing to bring the conflict closer to Moscow.",nytimes,Russia
"As Ukraine battles to protect its power grid from Russia’s relentless assault, the country’s National Philharmonic took the stage in the dark. Swipe through to see some of the orchestra’s performance →",nytimes,Russia
"Some of the cruise missiles that Russia launched at Ukraine’s civilian infrastructure in November were made months after the West imposed sanctions intended to deprive Moscow of the components needed to make those munitions, a weapons research group said.",nytimes,Russia
