Text,Media,GPE
"President Biden signaled on Thursday that he would be willing to speak with Vladimir Putin if the Russian leader is willing to end the war in Ukraine, but noted that Putin has made clear he is not ready to do that.",nytimes,Ukraine
"President Biden on Thursday is hosting President Emmanuel Macron of France. Their discussions will confront challenges to the relationship between their counties, which is being tested by disagreements over green energy policy and the war in Ukraine.",nytimes,Ukraine
"The EU’s top official proposed the creation of a UN-backed court to prosecute possible Russian crimes in Ukraine. The idea reflected frustration in trying to hold anyone accountable in the war, and actually reaching trials is likely to be very hard.",nytimes,Ukraine
"The UN launched a record-breaking appeal to international donors, asking for $51.5 billion to tackle what it called ""the largest global food crisis in modern history,"" fueled in part by Russia’s war in Ukraine.",nytimes,Ukraine
"Ukrainian embassies in several countries have been targeted with “bloody packages” containing animal eyes, Ukraine’s Foreign Ministry said.",nytimes,Ukraine
"Four lion cubs orphaned during the war in Ukraine arrived at the Minnesota animal sanctuary that will be their new permanent home. Taras, Stefania, Prada and Lesya were bred for the exotic pet trade and abandoned as the fighting escalated.",nytimes,Ukraine
"Following a raid last week on a Ukrainian Orthodox monastery that Kyiv said was possibly housing Russian spies, Ukraine’s president proposed banning the operation of religious organizations “affiliated with centers of influence” in Russia.",nytimes,Ukraine
"President Biden signaled on Thursday that he would be willing to speak with Vladimir Putin if the Russian leader is willing to end the war in Ukraine, but noted that Putin has made clear he is not ready to do that.",nytimes,Ukraine
"A widow is putting a 400-year-old emerald ring, valued between $50,000 and $70,000, up for auction at Sotheby’s next week. All proceeds will be donated to support humanitarian efforts in Ukraine.",nytimes,Ukraine
"No one knew what to do with a lost Russian pilot who suddenly appeared in the occupied city of Kherson, Ukraine. Seeing no good options, a man overseeing a civilian watch group returned him to the Russians. Now, Ukrainian officials say that was a crime.",nytimes,Ukraine
"A widow is putting a 400-year-old emerald ring, valued between $50,000 and $70,000, up for auction at Sotheby’s next week. All proceeds will be donated to support humanitarian efforts in Ukraine.",nytimes,Ukraine
"Moscow said it would not sell oil that is subject to a price limit agreed upon by G7 nations, even if it means cutting production — adding to questions over whether the plan, which goes into effect Monday, will succeed in slowing Russia’s war in Ukraine.",nytimes,Ukraine
"Misty and damp parts of Ukraine have long beckoned to mushroom hunters. But now, the hunters see their tranquil walks in the forest as a sign of resilience and a way to preserve ordinary life during wartime.",nytimes,Ukraine
"Breaking News: Kyiv used unmanned drones to strike two bases in the heart of Russia, a Ukrainian official confirmed, in Ukraine’s most brazen attack on Russia.",nytimes,Ukraine
"Russia launched a volley of missiles at Ukraine’s energy grid on Monday, the latest of strikes targeting civilian infrastructure. Blackouts were reported in several regions, from Sumy along the border with Russia to Odesa on the Black Sea coast.",nytimes,Ukraine
"Ukraine plans to auction a yacht seized from Viktor Medvedchuk, one of the country's most prominent pro-Russian oligarchs and a friend of President Vladimir Putin. The ship has a pool, a gym, a waterfall feature and an estimated value of over $200 million.",nytimes,Ukraine
"Explosions rocked two Russian military bases on Monday, according to some Russian media, including an airfield that Ukrainian officials said has been used for the bombers whose missiles have hit Ukraine’s energy grid.",nytimes,Ukraine
"Mounting Russian attacks on civilian infrastructure in Ukraine have left people without power, heat and sometimes water as the snow begins to fall. What is life like in the country as winter sets in? Listen to today’s episode of The Daily.",nytimes,Ukraine
"A 65-year-old woman was shot to death on Sunday evening as she tried to escape in a boat from Russian-occupied territory in Kherson, Ukrainian officials said. Her death highlights the perils of Ukraine’s call for civilians to evacuate Russian-held areas.",nytimes,Ukraine
"More than nine months after Russia invaded Ukraine, neither the war effort nor the Russian economy has collapsed. But the impact of an exodus of Western companies is evident in communities across Russia, and experts say the worst may be yet to come.",nytimes,Ukraine
"Ukrainian embassies in Denmark and Romania were sent “dangerous parcels,” Ukraine’s foreign ministry said. It comes after Ukrainian embassies in several countries were sent “bloody packages” with animal eyes, and letter bombs were sent to offices in Spain.",nytimes,Ukraine
"A drone attack on Tuesday struck near an air base in Russia, a local official said, a day after Ukraine used drones to hit two military bases deep inside Russia. If confirmed by Ukraine, it signals that it's willing to bring the conflict closer to Moscow.",nytimes,Ukraine
"As Ukraine battles to protect its power grid from Russia’s relentless assault, the country’s National Philharmonic took the stage in the dark. Swipe through to see some of the orchestra’s performance →",nytimes,Ukraine
"Some of the cruise missiles that Russia launched at Ukraine’s civilian infrastructure in November were made months after the West imposed sanctions intended to deprive Moscow of the components needed to make those munitions, a weapons research group said.",nytimes,Ukraine
"Ukraine used drones to attack two military bases hundreds of miles inside Russia, demonstrating Kyiv’s ability to strike such long distances, according to Russian and Ukrainian officials.",nytimes,Ukraine
"People crowded into underground subway stations as air raid alarms went off across Kyiv, Ukraine.",nytimes,Ukraine
"Ukraine targeted two military bases hundreds of miles inside Russia using drones, according to the Russian defense ministry and a senior Ukrainian official.",nytimes,Ukraine
In Opinion Father Ioann Burdin is a priest in the Russian Orthodox Church who ran afoul of his government soon after Russia invaded Ukraine. Watch more in this Opinion video.,nytimes,Ukraine
"For our critic, Jason Farago, the year in culture can be divided into two eras: before Feb. 24, after Feb. 24 — or, after Russia invaded Ukraine, recasting art in a hard new light.",nytimes,Ukraine
"President Volodymyr Zelensky of Ukraine is Time's person of the year. The Ukrainian leader has come to personify his nation’s resistance since Russia invaded. The magazine also recognized ""the spirit of Ukraine.""",nytimes,Ukraine
"The UN released a report detailing extrajudicial killings by the Russian Army during the first month of the war in Ukraine, offering a harrowing examination of the risks to civilians in Russian-occupied areas of Ukraine.",nytimes,Ukraine
"Almost 300 Russian anti-war activists, many young and from the diaspora, gathered in Berlin to try to forge a common path, beyond struggling against President Vladimir Putin and the war in Ukraine. “We all have different goals,” one activist said.",nytimes,Ukraine
"Plunging temperatures have frozen the ground in eastern Ukraine. This could ease the way for Ukrainian forces to ramp up their offensive, which had been slowed by muddy ground, military officials said.",nytimes,Ukraine
"By seizing Brittney Griner, President Vladimir Putin of Russia made things so painful for the U.S. that it capitulated and turned over a convicted arms dealer. Putin's actions in Ukraine increasingly echo the same strategy.",nytimes,Ukraine
"“Friends are not friends anymore,’’ said one woman in the Ukrainian town of Sviatohirsk, which remains divided not by battle lines, but by where people’s allegiances lie: with Russia or Ukraine. Residents say they now eye one another with suspicion.",nytimes,Ukraine
An urgent debate has already begun over how to rebuild a postwar Ukraine. Beyond the enormous cost of salvaging Ukraine's damaged cities and infrastructure are difficult choices about how to best connect the country to European markets and commerce.,nytimes,Ukraine
A member of Ukraine’s parliament who federal authorities said meddled in the 2020 U.S. presidential campaign on behalf of Russia’s intelligence services has been charged with money laundering.,nytimes,Ukraine
NATO’s secretary general warned on Friday that Russia’s war in Ukraine could expand into a wider war with the Atlantic alliance.,nytimes,Ukraine
"Qatar is poised to become a critical energy source for Europe, which is pivoting away from its dependence on Russia after the invasion of Ukraine.",nytimes,Ukraine
"A Russian court sentenced Ilya Yashin, an opposition politician, to eight and a half years in prison after finding him guilty on charges of “spreading false information” about atrocities committed by Russian troops in Bucha, Ukraine.",nytimes,Ukraine
"Relations between Warsaw and Berlin, never warm, have deteriorated since the start of the Ukraine war, damaging unity in both NATO and the European Union.",nytimes,Ukraine
"Recipients of the Nobel Peace Prize on Saturday included human rights organizations in Ukraine and Russia, as well as a jailed Belarusian activist, whose wife accepted the prize on his behalf. They emphasized the urgency of fighting authoritarian states.",nytimes,Ukraine
"Some Western athletes, businesspeople and artists chose to stay in Russia even after the invasion of Ukraine. Brittney Griner's case showed the risks that they face, but in some areas, the number of Westerners held steady or even grew since her arrest.",nytimes,Ukraine
"In a marathon of public appearances this week, Vladimir Putin was particularly busy in constructing his version of reality at a time when a Russian victory in Ukraine appears as distant as ever. “You can’t trust anyone,” he said. “You can only trust me.”",nytimes,Ukraine
"Human rights advocates in Russia, Ukraine and Belarus were being honored on Saturday at the Nobel Peace Prize ceremony in Oslo. The laureates have become symbols of resistance and accountability during the largest ground war in Europe since World War II.",nytimes,Ukraine
The tiny country of Moldova is starved of natural gas and electricity because of the conflict in neighboring Ukraine. Now it's also confronting street rallies bankrolled by a pro-Russian politician to target its pro-Western government.,nytimes,Ukraine
"“It was a wake-up call. The war is not only in Ukraine. It can also affect us, even if it is hard to attribute,” said Tom Røseth, a professor at the Norwegian Defence University College.",nytimes,Ukraine
"President Vladimir Putin of Russia will not hold his marathon December news conference this year, breaking with tradition. The move comes as the country’s economy falters and follows a series of significant military losses in Ukraine.",nytimes,Ukraine
"Missiles that were returned to Russia from Ukraine in the 1990s have shown up in rubble after Moscow’s attacks. Russia is using the old weapons as decoys, forcing Ukraine to mobilize its air-defense system.",nytimes,Ukraine
"President Volodymyr Zelensky of Ukraine spoke with the leaders of the U.S., France and Turkey, shoring up military and humanitarian support. President Biden told him that the U.S. would help Ukraine with its air defense system.",nytimes,Ukraine
Breaking News: The U.S. appears poised to send its most advanced ground-based air defense system to Ukraine to help in countering a Russian onslaught.,nytimes,Ukraine
France is hosting a conference that will bring together dozens of world leaders and hundreds of French businesses eager to help Ukraine. The meeting will focus on repairing Ukraine's energy grid and ensuring its citizens have access to food and water.,nytimes,Ukraine
"After a series of military setbacks in his war in Ukraine, President Vladimir Putin has decided to skip an annual news conference — one of the few times a year reporters outside the Kremlin pool get a chance to directly question him, if they're called on.",nytimes,Ukraine
"Vladimir Ovchinnikov, an 84-year-old artist and a rare dissident in Russia, has earned himself a reputation as the “Banksy of Borovsk.” He has used art to protest the invasion of Ukraine and wants his country to acknowledge misdeeds both past and present.",nytimes,Ukraine
"A U.S. citizen who was detained by Russian forces in Ukraine since his capture in June in the city of Kherson has been released along with 64 Ukrainian prisoners of war, an adviser to President Volodymyr Zelensky said.",nytimes,Ukraine
"“All this hangs completely on Melitopol,” a top adviser to President Volodymyr Zelensky of Ukraine said. “If Melitopol falls, the entire Russian defense up to Kherson collapses, and the Ukrainian armed forces jump right to the border with Crimea.”",nytimes,Ukraine
"The U.S. is poised to approve sending its most advanced ground-based air defense system, Patriot, to Ukraine, two U.S. officials said. The move would be a powerful sign of the deepening military commitment as Russia intensifies its air attacks.",nytimes,Ukraine
"Kyiv, Ukraine's capital, was rocked by loud explosions early Wednesday. It was not immediately clear whether any targets had been struck, or whether the booms were the sound of air defense systems intercepting incoming missiles or drones.",nytimes,Ukraine
"World leaders on Tuesday announced more than $1 billion in swift aid for Ukraine to repair vital infrastructure and survive what is already a brutal winter. ""It’s tangible proof Ukraine is not alone,"" President Emmanuel Macron of France said.",nytimes,Ukraine
"Five Russian citizens and two U.S. nationals were charged by federal prosecutors with conspiring to illegally obtain and ship millions of dollars worth of American-made, military-grade technology to Russia before and after its invasion of Ukraine this",nytimes,Ukraine
Read our full story about how Russia’s state TV spins coverage of the Ukraine war:,nytimes,Ukraine
"That same day, the clip appeared on Russian national news. The segment covered how discontent over inflation was rising in the U.S. The reporter concludes: “Because of Ukraine, Biden can’t or doesn’t want to focus on domestic issues in the U.S.”",nytimes,Ukraine
"Two days later, the broadcast was featured in an email roundup of video clips from across the U.S. sent to journalists in Russian state-owned media. It noted the sticker protest had “gained a second wind” as prices rose over the conflict in Ukraine.",nytimes,Ukraine
"This fall, as Russia’s losses mounted in Ukraine, President Vladimir Putin announced a draft. Hundreds of thousands of men fled the country, though many more stayed. Listen to today’s episode of The Daily.",nytimes,Ukraine
