Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598379336805060635,US woman sues mac and cheese maker over preparation time https://t.co/5bMZMs30cy,BBCWorld,en,USA
20221201,1598338643361423368,US school's miniature boat washes up on UK beach https://t.co/PppkxIQJ0X,BBCWorld,en,USA
20221201,1598315506758569985,US lawmakers get access to former President Trump's tax returns https://t.co/jnpEA0tWSs,BBCWorld,en,USA
20221201,1598301645535838208,US school's miniature boat washes up on UK beach https://t.co/AirVUhdLBy,BBCWorld,en,USA
20221201,1598206040130084864,US to pay $75m to relocate tribes facing flood threat https://t.co/zdmKyAHHaa,BBCWorld,en,USA
20221202,1598804256965943296,"Will US President Biden and Russia's President Putin talk?

Listen to the latest episode of #Ukrainecast @BBCSounds https://t.co/g96DUnM9jI",BBCWorld,en,USA
20221202,1598799320739991553,Prince William meets US President Joe Biden ahead of climate prize https://t.co/v0vJ2fYJDw,BBCWorld,en,USA
20221202,1598770735203467266,Prince William to meet US President Joe Biden ahead of climate prize https://t.co/EgazNmACiw,BBCWorld,en,USA
20221202,1598768992843403265,Finland's Prime Minister Sanna Marin says Europe would be in trouble without US https://t.co/JPYqhCJTzD,BBCWorld,en,USA
20221202,1598709107015487493,Robust US hiring signals tough inflation fight ahead https://t.co/FvBJD4rKRH,BBCWorld,en,USA
20221202,1598674367482920962,"How has the US' relationship with cannabis changed?

Find out on #Americast @BBCSounds https://t.co/N9UoLryTWl",BBCWorld,en,USA
20221202,1598662473997074439,US Senate passes bill to avert strike by railway workers https://t.co/kHJjqhlvxj,BBCWorld,en,USA
20221202,1598633097288945666,US President Biden prepared to meet Putin to end Russia's war in Ukraine https://t.co/CnGylu37e0,BBCWorld,en,USA
20221202,1598622029065895936,US appeals court denies Trump 'special master' request in documents case https://t.co/EcMDSajvU5,BBCWorld,en,USA
20221202,1598591577458368513,US Supreme Court to review President Biden's student loan plan https://t.co/iudxOBl94T,BBCWorld,en,USA
20221202,1598579735096860677,US children's hospitals stretched by RSV and flu https://t.co/qY6wOYDj9V,BBCWorld,en,USA
20221202,1598482784804372482,Macron state visit: What issues are on the menu for the US and France? https://t.co/cKS7JlmLwa,BBCWorld,en,USA
20221203,1599116401742069761,Netherlands beat USA 3-1 to book quarter-final place in 2022 World Cup https://t.co/SHxAQsuJSJ,BBCWorld,en,USA
20221203,1599048822898020358,US Air Force unveils new B-21 Raider nuclear stealth bomber https://t.co/QmE1BZLY4p,BBCWorld,en,USA
20221203,1599026190114869251,Biden pushes to re-shuffle early states for 2024 US presidential election https://t.co/NjVONaEP6K,BBCWorld,en,USA
20221203,1599003524024729601,"Amateur web sleuths hindering efforts to solve student murders in Idaho, US, say police https://t.co/bHRXH0Bgx9",BBCWorld,en,USA
20221203,1598980770474901505,"Price cap on Russian oil will hit Putin immediately, says US https://t.co/zBjqKdlxwc",BBCWorld,en,USA
20221204,1599265038015119362,"Ukraine war: Fighting set to slow for winter months, says US intelligence https://t.co/1VJ7f6LVPH",BBCWorld,en,USA
20221205,1599856174463127583,US Supreme Court weighs clash between free speech and gay rights https://t.co/rVCZJPnYSq,BBCWorld,en,USA
20221205,1599841061320462347,Amber Heard files appeal against Johnny Depp's US libel win ruling https://t.co/g7bSgOSqSl,BBCWorld,en,USA
20221205,1599701124679929856,"EU must act over distortions from US climate plan, says von der Leyen https://t.co/wfrajpr8Y9",BBCWorld,en,USA
20221206,1600272625695006720,"The last US Senate seat up for grabs in the 2022 midterm elections is being decided by today's run-off election in Georgia
follow live",BBCWorld,en,USA
20221206,1600266837471567873,"The last US Senate seat up for grabs in the 2022 midterm elections is being decided by today's run-off election in Georgia
follow live https://t.co/XQkqVd6uSJ",BBCWorld,en,USA
20221206,1600071727266013184,Meta threatens to remove US news content if new law passes https://t.co/Plmktc3YgH,BBCWorld,en,USA
20221206,1600038365239427073,Meta threatens to remove US news content if new law passes https://t.co/a7oFjky0ko,BBCWorld,en,USA
20221207,1600612879580930051,Wordle: The most Googled word globally and in the US in 2022 https://t.co/4XLGigf3Xb,BBCWorld,en,USA
20221207,1600567616703275008,US Supreme Court hears case that could reshape election laws https://t.co/oLZgjHIEge,BBCWorld,en,USA
20221207,1600560443516403722,The good Samaritans helping Indians find jobs in the US after major tech layoffs https://t.co/VWDluESc0R,BBCWorld,en,USA
20221207,1600539791648604160,"What Raphael Warnock's win in means for him, the US Senate and Georgia https://t.co/1AHBycW8vZ",BBCWorld,en,USA
20221207,1600529335621980160,E-cigarette manufacturer Juul Labs agrees thousands of US settlements https://t.co/PhtuwEyYI8,BBCWorld,en,USA
20221207,1600476316402421761,US Senate unanimously passes bill to curb private ownership of big cats https://t.co/DZDLlVaDOv,BBCWorld,en,USA
20221207,1600446289598111744,Voters in Georgia decide hard-fought run-off election for the final US Senate seat https://t.co/nNG0KMZwmA,BBCWorld,en,USA
20221207,1600423139003060224,"US ""neither encouraged nor enabled"" Ukraine to strike inside Russia, says US Secretary of State Antony Blinken https://t.co/QRS2xnc9uD",BBCWorld,en,USA
20221207,1600303214909341700,"Family of Capitol riot officer refuses to shake hands with top US Republicans 
https://t.co/L98a8PJjxQ https://t.co/jDznkRlLoK",BBCWorld,en,USA
20221207,1600287222090977280,"Polls have just closed in the US state of Georgia.
Who is on the ballot and what to expect in this run-off election?",BBCWorld,en,USA
20221208,1600988618297950210,Why interracial marriage is in landmark same-sex marriage protection bill in US https://t.co/smFXuA6SCj,BBCWorld,en,USA
20221208,1600964722412617735,"NFL and Washington Commanders covered up sexual misconduct, says US report https://t.co/edet4JSUyR",BBCWorld,en,USA
20221208,1600956893626769418,Activision Blizzard: US seeks to block Microsoft's $69bn acquisition https://t.co/Ux5UgXRiUe,BBCWorld,en,USA
20221208,1600918510246498322,DNA helps US police name young boy found dead in a box after 65 years https://t.co/RDn5xOlKpn,BBCWorld,en,USA
20221208,1600894238123753474,The most Googled word globally and in the US in 2022 is revealed https://t.co/HagX83lTSy,BBCWorld,en,USA
20221208,1600884427759943681,Who is the freed US basketball star Brittney Griner? https://t.co/kvbg2t9iZd,BBCWorld,en,USA
20221208,1600875370865213440,"Wife of Brittney Griner says ""family is whole"" after release of US basketball player from Russian prison https://t.co/fI1OV02lqj",BBCWorld,en,USA
20221208,1600872102361534465,"""We never stopped pushing for her release""

US President Biden speaks following release of basketball star Brittney Griner https://t.co/SkvedLIPPB",BBCWorld,en,USA
