Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598374128364445696,Ukraine war: Kyiv displays Russian nuclear-capable missile https://t.co/yBJKW6rdcI,BBCWorld,en,Ukraine
20221201,1598110380668207107,Is attacking Ukraine's power grid a war crime? https://t.co/mw5RgXFewG,BBCWorld,en,Ukraine
20221202,1598724188705103873,Can we expect Ukraine war peace talks to begin? https://t.co/PR8KYSLJaL,BBCWorld,en,Ukraine
20221202,1598693508436705288,Archbishop of Canterbury says peace deal must not be forced on Ukraine https://t.co/P2yvKTPvME,BBCWorld,en,Ukraine
20221202,1598633097288945666,US President Biden prepared to meet Putin to end Russia's war in Ukraine https://t.co/CnGylu37e0,BBCWorld,en,Ukraine
20221202,1598625531905310726,"Zelensky aide reveals up to 13,000 Ukraine war dead https://t.co/sU5eELGdnm",BBCWorld,en,Ukraine
20221202,1598493725302427651,Ukraine war: Germany to cover energy bills as gas prices soar https://t.co/RqeeWBmk20,BBCWorld,en,Ukraine
20221203,1598865007286140928,Banksy Ukraine mural intact after thieves cut artwork from wall https://t.co/ltQkQkxDEa,BBCWorld,en,Ukraine
20221204,1599471717826666499,Ukraine war: Two generations share bed after Russian strikes https://t.co/8WyAVhsAUc,BBCWorld,en,Ukraine
20221204,1599265038015119362,"Ukraine war: Fighting set to slow for winter months, says US intelligence https://t.co/1VJ7f6LVPH",BBCWorld,en,Ukraine
20221205,1599826216718155787,Eighth wave of Russian missiles hits Ukraine https://t.co/OEaDlm3xGv,BBCWorld,en,Ukraine
20221205,1599813390666457089,Spanish police arrest 30 accused of disguising drugs as Ukraine aid https://t.co/43EZH6uOZy,BBCWorld,en,Ukraine
20221205,1599618938828201985,Ukraine war: Oil prices rise as cap on Russian crude looms https://t.co/p5yH6f97W7,BBCWorld,en,Ukraine
20221206,1600263251131965441,Ukraine President Zelensky visits troops near 'most difficult' front line https://t.co/sfCJCJKL6D,BBCWorld,en,Ukraine
20221206,1600148335570325505,Latvia shuts down Russian broadcaster over Ukraine war coverage https://t.co/ooNKzGRrJw,BBCWorld,en,Ukraine
20221206,1600090698258202625,Russian missile strikes force emergency power shutdowns in Ukraine https://t.co/GfzBiT5wGl,BBCWorld,en,Ukraine
20221206,1600023179744972800,Russian missile strikes force emergency power shutdowns in Ukraine https://t.co/qt6Ob0Uw8N,BBCWorld,en,Ukraine
20221207,1600622482062442496,Animal eye packages sent to embassies in Ukraine from Germany https://t.co/ZmpxdfqYzo,BBCWorld,en,Ukraine
20221207,1600513979067076609,Ukraine's President Volodymyr Zelensky named Time Magazine's 2022 Person of the Year https://t.co/dXbcpyN1jX,BBCWorld,en,Ukraine
20221207,1600490327013412865,Ukraine's President Volodymyr Zelensky named Time Magazine's 2022 Person of the Year,BBCWorld,en,Ukraine
20221207,1600423139003060224,"US ""neither encouraged nor enabled"" Ukraine to strike inside Russia, says US Secretary of State Antony Blinken https://t.co/QRS2xnc9uD",BBCWorld,en,Ukraine
20221207,1600394700845989888,Surgeons operate on baby in Ukraine blackout https://t.co/9Ck6692zzv,BBCWorld,en,Ukraine
20221208,1600958157412597760,"Pope breaks down in tears over war in Ukraine
https://t.co/cFfhR1Fae4 https://t.co/tsWoxw2Ppo",BBCWorld,en,Ukraine
20221208,1600949842813091840,Putin vows to continue hitting Ukraine's power grid https://t.co/IwYTmlLT2A,BBCWorld,en,Ukraine
20221208,1600940347823104008,Pope breaks down in tears over war in Ukraine https://t.co/TNJ1U1p6lP,BBCWorld,en,Ukraine
20221211,1601990830587265024,"Ukraine strikes Russia's Wagner HQ in Luhansk, governor says https://t.co/lttv4cKRSR",BBCWorld,en,Ukraine
20221211,1601938635443535874,Fighting rages in southern Ukraine https://t.co/r5Qi3FEegb,BBCWorld,en,Ukraine
20221211,1601854175121481731,Fighting rages in southern Ukraine https://t.co/nqmclOfM79,BBCWorld,en,Ukraine
20221212,1602351612583972880,The Russians locked up for refusing to fight in Ukraine https://t.co/71jEmqLurQ,BBCWorld,en,Ukraine
20221212,1602339759812214784,Ukraine's Odesa port reopens after energy network hit https://t.co/Ac8crKSRLY,BBCWorld,en,Ukraine
20221212,1602275844075954176,Zambian student killed in Ukraine Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner https://t.co/5iyrwFHjLA,BBCWorld,en,Ukraine
20221212,1602203005192921090,The Russians locked up for refusing to fight in Ukraine https://t.co/I6du3m1LON,BBCWorld,en,Ukraine
20221213,1602748195578093568,Ukraine's President Zelensky calls for 50 million lightbulbs https://t.co/fB4u0fGSeR,BBCWorld,en,Ukraine
20221213,1602679112514113536,"Ukraine ""keeping Russian missiles as evidence""

https://t.co/wwwDRAHePS https://t.co/qQdxi92ug4",BBCWorld,en,Ukraine
20221213,1602629288380997634,Why Taiwanese are among Ukraine's foreign fighters https://t.co/Z71NcCNQQ8,BBCWorld,en,Ukraine
20221213,1602612305296072705,Why Taiwanese are among the foreign fighters in Ukraine https://t.co/xYxAaMmSkp,BBCWorld,en,Ukraine
20221214,1603106318352797696,US planning to send Patriot air defence missiles to Ukraine https://t.co/WZP574aMrm,BBCWorld,en,Ukraine
20221214,1602901428107886592,Ukraine war: Explosions in central Kyiv amid air raid warning https://t.co/LAQd0YFyGf,BBCWorld,en,Ukraine
20221215,1603224569690603520,Russia frees US man in Ukraine prisoner swap https://t.co/C9hup6IizO,BBCWorld,en,Ukraine
20221216,1603771430331711489,"Parts of Ukraine without power after Russian strikes

⬇️ Live updates",BBCWorld,en,Ukraine
20221216,1603736701355970560,"Russia ""massively attacking"" Ukraine with power and water hit

⬇ Live updates",BBCWorld,en,Ukraine
20221216,1603707625593573376,Russia launches renewed strikes across Ukraine https://t.co/JRcjUybWci,BBCWorld,en,Ukraine
20221216,1603670318895321088,Russia launches renewed strikes across Ukraine https://t.co/MG8IeLq8xb,BBCWorld,en,Ukraine
20221216,1603654183248338945,Ukraine says Russia planning major ground offensive in new year https://t.co/y041r7O8Pr,BBCWorld,en,Ukraine
