Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598432114822750288,"Ukraine will move to impose limitations on religious organizations in the country which have links to Russia, AFP reports citing President Volodymyr Zelenskyy's nightly address on Thursday. #cgtnamerica",CGTNOfficial,en,Russia
20221201,1598412060982910986,"Between 10,000 and 13,000 Ukrainian troops have been killed so far in the conflict with Russia, Reuters reports citing a senior aide to President Zelenskyy. Russia has denied targeting civilians and infrastructure in their military operation. #cgtnamerica",CGTNOfficial,en,Russia
20221202,1598807710107148313,"Group of Seven nations and Australia join EU in setting $60-per-barrel price cap on Russian oil. It will enter into force on December 5th. 

#CGTNAmerica #G7 #Russia",CGTNOfficial,en,Russia
20221202,1598796831915483137,"British Foreign Secretary James Cleverly says Russian President Vladimir Putin might use ceasefire to re-arm his troops: The Telegraph 

#CGTNAmerica #Ukraine #Russia",CGTNOfficial,en,Russia
20221202,1598780201118404628,"The United States said Friday it was disappointed that Russia had postponed talks on nuclear arms control, voicing willingness to sit down despite high tensions over the Ukraine conflict. #CGTNAmerica",CGTNOfficial,en,Russia
20221202,1598768891446042626,"Former U.S. intelligence contractor Edward Snowden, who exposed the scale of secret surveillance by the National Security Agency (NSA), has sworn an oath of allegiance to Russia and received a Russian passport, TASS reported on Friday.

#CGTNAmerica https://t.co/WN47ib7m9U",CGTNOfficial,en,Russia
20221203,1599128593233334272,"On Friday, Kremlin spokesperson Dmitry Peskov said that Russia “has always been, is and remains open to negotiations in order to ensure our interests.” 

#CGTNAmerica",CGTNOfficial,en,Russia
20221204,1599447908033888256,"The death toll from the partial collapse of an apartment block in Russia's Nizhnevartovsk has risen to six, according to TASS.",CGTNOfficial,en,Russia
20221204,1599416430747058176,"Five people were killed and 10 others were taken to hospital in a residential building explosion in Russia's Nizhnevartovsk on Sunday, TASS reported. https://t.co/TVcnCoJCJk https://t.co/E77s0dWtZy",CGTNOfficial,en,Russia
20221204,1599388054023598080,Yangtze River tunnel for China-Russia natural gas pipeline completed https://t.co/XDo81A55NA,CGTNOfficial,en,Russia
20221205,1599889259317657600,"Kyiv used unmanned drones to strike two bases in heart of Russia, according to the NYT, citing a Ukrainian official.",CGTNOfficial,en,Russia
20221205,1599886873907830791,A $60 per barrel price cap was imposed by the #G7 countries and Australia on Russian crude #oil to punish #Russia for its conflict with #Ukraine. Will it have an effect or will it -as Russia alleges- further destabilize the oil markets? #CGTNAmerica https://t.co/LR8aHWvFNn,CGTNOfficial,en,Russia
20221205,1599878781199474688,"2,500 #endangered #seals found dead on Russia's Caspian coast. #Conservation #CGTNAmerica https://t.co/wfZFykHgIW",CGTNOfficial,en,Russia
20221205,1599865883375140865,"The White House says it is not surprised by Russia’s reaction to price cap on Russian oil. The White House adds, the cap maintains incentives for Russia to continue exporting, Reuters reports. #cgtnamerica",CGTNOfficial,en,Russia
20221205,1599697588629839873,"2,500 endangered seals found dead on Russia's Caspian coast https://t.co/PzzSS7qllx",CGTNOfficial,en,Russia
20221205,1599682487625678848,"G7 oil price cap kicks in, Russia bent on selling at market price https://t.co/czhxgM7jB0 https://t.co/WEpmY5Me5P",CGTNOfficial,en,Russia
20221205,1599652289207099392,"2,500 dead seals found on Russia's Caspian coast https://t.co/64NJI0KJ1g https://t.co/gRLyqNvDwj",CGTNOfficial,en,Russia
20221205,1599622330669363202,#BREAKING Rescue operations were underway in Russia's Yaroslavl city on Monday after a gas explosion occurred in a residential building.https://t.co/fkr6glZv87 https://t.co/PBAFrFFQCM,CGTNOfficial,en,Russia
20221206,1600238799145017344,U.S. Secretary of State Blinken: we have neither encouraged nor enabled the Ukrainians to strike within Russia. #CGTNAmerica,CGTNOfficial,en,Russia
20221206,1600174701808173056,"Will the cap have an effect or will it -as Russia alleges- further destabilize the oil markets?

#CGTNAmerica",CGTNOfficial,en,Russia
20221207,1600599518629793795,Germany seized 25 members and supporters of a far-right group on Wednesday that the prosecutor's office claimed was planning a violent coup against the government to install a prince who had sought help from Russia as the new leader of the country. #cgtnamerica https://t.co/v6R19X0OEK,CGTNOfficial,en,Russia
20221207,1600547845395955734,"Chinese Premier Li Keqiang on Monday expressed China's willingness to maintain high-level exchanges, strengthen cooperation in various fields with Russia, and deepen the China-Russia comprehensive strategic partnership. #cgtnamerica",CGTNOfficial,en,Russia
20221207,1600518307488096257,"Russia ready to employ all available resources to defend itself, TASS reported citing Russian President Vladimir Putin. https://t.co/vh1yTLbZVB",CGTNOfficial,en,Russia
20221207,1600515731187277824,"Russia will be able to send over 200,000 tons of mineral fertilizers to Africa as humanitarian aid, according to TASS. https://t.co/WrJDUQ88Zv",CGTNOfficial,en,Russia
20221208,1600988936901386240,Brittney #Griner was freed on Thursday from Russian jail after spending 10 months in prison. The deal between the #U.S. and #Russia was part of a prisoners swap. The U.S. released Viktor #Bout in exchange for Griner. #CGTNAmerica https://t.co/yboDRe28RU,CGTNOfficial,en,Russia
20221208,1600967891784028162,"U.S. citizen Sarah Krivanek, ordered deported from Russia in connection with a domestic dispute, says she has left the country, Reuters reports. #cgtnamerica",CGTNOfficial,en,Russia
20221208,1600747655944372225,"M5.6 quake hits Caucasus region, Russia: EMSC https://t.co/Bj01ughq81",CGTNOfficial,en,Russia
20221209,1601332121175482368,"President Vladimir Putin on Friday said Russia could amend its military doctrine by introducing the possibility of a preemptive strike to disarm an enemy, the AFP reported. 

#CGTNAmerica",CGTNOfficial,en,Russia
20221212,1602436181983100928,"Critics are upset because Paul Whelan, an American veteran who is also detained in Russia, did not come home with Brittney Griner. But why didn't Whelan make it home? See more. #cgtnamerica",CGTNOfficial,en,Russia
20221212,1602410252061839393,"The Netherlands would be willing to house a new, UN-backed tribunal to try Russia’s military operation Ukraine, said Dutch Foreign Minister Wopke Hoekstra, Reuters reports. #cgtnamerica",CGTNOfficial,en,Russia
20221212,1602401720348381190,"Russia has not given up on air strikes, power blackouts are its last hope, says Ukraine’s Zelenskyy, Reuters reports. #cgtnamerica",CGTNOfficial,en,Russia
20221212,1602394788711497731,"U.S. Biden administration officials met virtually with Elizabeth Whelan, the sister of Paul Whelan, who remains detained in Russia, according to CNN. #cgtnamerica",CGTNOfficial,en,Russia
20221212,1602331322474700801,"Russia’s budget surplus reaches $8.87 bln in January-November 2022, according to TASS.",CGTNOfficial,en,Russia
20221213,1602744621355847682,Ukraine's Zelenskyy urges New Zealand to take leadership in working on environmental security that has been destroyed by Russia’s military operation #cgtnamerica,CGTNOfficial,en,Russia
20221213,1602628469543796741,UK imposes new sanctions on Russia https://t.co/zu3bdiQsGD,CGTNOfficial,en,Russia
20221214,1603145010521702400,"#Breaking - Russia is negotiating with Venezuela to restructure its debt: Interfax via the Russian Finance Ministry

#CGTNAmerica",CGTNOfficial,en,Russia
20221215,1603500083370139659,"The U.S. Treasury’s Deputy Secretary Adeyemo is heading to Berlin and Brussels for further sanctions coordination against Russia, the U.S. Treasury said Thursday.  

#CGTNAmerica",CGTNOfficial,en,Russia
20221215,1603480643907772419,"The EU has agreed on a ninth sanctions package against Russia, diplomats say.

#CGTNAmerica",CGTNOfficial,en,Russia
20221215,1603472457377189910,"France's foreign ministry said on Thursday the Burkina Faso government was fully aware of the risks of working with mercenaries from Russia's Wagner Group after Ghana alleged on Wednesday that Ouagadougou had hired the group.

#CGTNAmerica",CGTNOfficial,en,Russia
20221215,1603207339737198592,"Two people were injured after a fire broke out at an industrial site covering 2,500 square meters in Irkutsk Oblast in Russia, RIA news agency reported. 

More than 100 people and 25 pieces of equipment are involved, the agency said.
https://t.co/aDzRho9A2Z",CGTNOfficial,en,Russia
20221216,1603670583551500288,3 killed during helicopter hard landing in Russia https://t.co/1WnCBGcvQW,CGTNOfficial,en,Russia
20221218,1604578655899996164,"Ukrainian President Zelenskyy says that Ukrainian forces holding Bakhmut in eastern Ukraine despite Russian attacks. Border protection is a priority, Ukraine is ready for all possible scenarios with Russia and Belarus. #cgtnamerica",CGTNOfficial,en,Russia
20221219,1604950740061097992,"Putin says defending residents of Russia's ""new regions"" in Ukraine is the duty of security services according to RIA news agency. #cgtnamerica",CGTNOfficial,en,Russia
20221219,1604949708253822976,"Russia’s Putin orders special services to keep control of places of mass gatherings, strategic infrastructure facilities, reports RIA news agency. 
#cgtnamerica",CGTNOfficial,en,Russia
20221220,1605023080002113536,"China, Russia to hold joint naval exercise https://t.co/64NZE2s2xJ",CGTNOfficial,en,Russia
20221221,1605686884398551040,"Kremlin spokesperson Dmitry Peskov said that nothing good would come from the trip, adding that Russia saw no chance of peace talks.

Zelenskyy presented Biden with a military medal from a Ukrainian army officer to honor what he called “a very brave president.”

#CGTNAmerica https://t.co/Ifw4ObGcU8",CGTNOfficial,en,Russia
20221221,1605675111067050003,"The U.S. imposed additional sanctions on Russia’s Wagner group on Wednesday, the U.S. Commerce Department said.

#CGTNAmerica",CGTNOfficial,en,Russia
20221221,1605675008445014039,"The U.S. Commerce Department confirmed Wednesday it is toughening export restrictions on Russia-based private military company Wagner Group.

#CGTNAmerica",CGTNOfficial,en,Russia
20221221,1605655212458446855,"Following her release from a Russian prison, U.S. basketball star Brittney Griner called on her supporters to write letters to Paul Whelan, the former U.S. Marine held in Russia. #cgtnamerica",CGTNOfficial,en,Russia
20221221,1605641932453167104,The two leaders will discuss aid and support for Ukraine during the ongoing conflict with Russia. #cgtnamerica https://t.co/0vKgGWfeeb,CGTNOfficial,en,Russia
20221221,1605640354715369472,U.S. President Biden welcomes Ukrainian President Zelenskyy to White House in his first foreign visit since the beginning of Ukraine-Russia conflict.,CGTNOfficial,en,Russia
20221221,1605589965492076545,"Xi Jinping says China to work with Russia for a more just global governance in meeting with Medvedev

#CGTNAmerica",CGTNOfficial,en,Russia
20221221,1605542146299174912,"#XiJinping, general secretary of the Communist Party of China (CPC) Central Committee and Chinese president, on Wednesday met with Chairman of the United Russia party Dmitry Medvedev, who visited China at the invitation of the CPC. https://t.co/aVIM6bQgVI https://t.co/Kq7nDjXVDF",CGTNOfficial,en,Russia
20221222,1606037287107698693,"U.S. State Department on Blinken's call with Turkish counterpart, says they underscored importance of NATO unity in supporting Ukraine's defense against Russia. #CGTNAmerica",CGTNOfficial,en,Russia
20221223,1606182822074388481,"Ukraine roundup: Biden gives more aid to Ukraine, Putin says Russia wants to end conflict
https://t.co/AHKWhkhYQC",CGTNOfficial,en,Russia
20221225,1607124467465027598,"Russia is ready to resume gas supplies to Europe via Yamal-Europe gas pipeline,TASS cites Russian Deputy PM.",CGTNOfficial,en,Russia
20221225,1606954923861872640,"Russian President Vladimir Putin said ""Russia is ready to negotiate with all participants to the conflict in Ukraine, but they refuse,"" Sputnik News reported on Sunday. https://t.co/SAt2bMWA85",CGTNOfficial,en,Russia
