Datetime,Tweet Id,Text,User Name,Language,GPE
20221205,1599782019872919552,"CGTN's new series #LandingHome profiles young adults from China's Taiwan region who live, study and work on the Chinese mainland. 

In this episode, #Taiwan hotelier taps into ""singing stones"" in ancient coastal village. https://t.co/Ej3bWpVnxU https://t.co/rbKFkgieLd",CGTNOfficial,en,Taiwan
20221206,1600263824774287363,"CGTN's new series #LandingHome profiles young adults from China's #Taiwan region who live, study and work on the Chinese mainland. 

In this episode, Taiwan tea merchant embarks on a journey into the essence of tea culture. https://t.co/eIdcYSq9lM",CGTNOfficial,en,Taiwan
20221207,1600505409764196355,"CGTN's new series #LandingHome profiles young adults from #China's #Taiwan region who live, study and work on the Chinese mainland.

The second episode of ""Landing Home"" tells the story of a Taiwan guzheng player who traces roots of folk music to the Chinese mainland. https://t.co/BzvL8G2Lzt",CGTNOfficial,en,Taiwan
20221209,1601188661965357056,#LandingHome Ep. 5: Taiwan sports lover scores in Beijing https://t.co/lrmSo2zPnh,CGTNOfficial,en,Taiwan
20221209,1601083724723953664,Landing Home Ep. 4: Taiwan entrepreneur helps children with cancer on mainland #LandingHome https://t.co/6UkThW3LFf,CGTNOfficial,en,Taiwan
20221210,1601660631018573825,"U.S. Assistant Secretary of State for East Asian and Pacific Affairs Daniel Kritenbrink and National Security Council Senior Director for China and Taiwan Laura Rosenberger will travel to the People’s Republic of China, the Republic of Korea, and Japan Dec 11-14.

#CGTNAmerica",CGTNOfficial,en,Taiwan
20221215,1603241594215620608,"A magnitude-6.2 earthquake jolted waters off southeast China's Taiwan region on Thursday, according to the China Earthquake Networks Center (CENC). https://t.co/Z9yZYdEQ2u",CGTNOfficial,en,Taiwan
20221224,1606627287763677186,#CGTNOpinion 2023 NDAA turns Taiwan into a U.S. military outpost https://t.co/am1KAk71I9,CGTNOfficial,en,Taiwan
20221224,1606575410090999808,"China urges U.S. to implement Bali consensus, stop using Taiwan to contain China https://t.co/Zr8voTZvxb",CGTNOfficial,en,Taiwan
20221225,1606984675549143042,PLA Eastern Theater Command conducts joint exercises around Taiwan Island on Sunday. https://t.co/UmqgePVhGk https://t.co/C1mMYJIHCI,CGTNOfficial,en,Taiwan
20221225,1606884993942552576,Wang Yi: Taiwan question at the very core of China's core interests #2022InReview https://t.co/YIHVBMoM9z,CGTNOfficial,en,Taiwan
20221228,1608206360767856650,"Mainland: Taiwan compatriots not cannon fodder for secessionist forces

#CGTNAmerica",CGTNOfficial,en,Taiwan
20221228,1608057995249995776,"The Chinese mainland said Taiwan compatriots will not be used as cannon fodder for the ""Taiwan independence"" secessionist forces in rebuke to Taiwan authorities' extension of the so-called mandatory military service from four months to one year.  

https://t.co/FdNA3yEyMX https://t.co/ozTQRWC9Sj",CGTNOfficial,en,Taiwan
20221230,1608802584646623234,#China urges U.S. not to create tension in Taiwan Straits amid arms sale https://t.co/kfmeiYFg93,CGTNOfficial,en,Taiwan
