Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598443706331418629,"Australian citizen #Assange has been held in custody in the #UK since 2019, battling in British courts to avoid extradition to the U.S. He faces 17 espionage charges in connection with the release of leaked U.S. documents and confidential diplomatic cables by #WikiLeaks.
#USA",CGTNOfficial,en,USA
20221201,1598413011416453120,The craft beer industry in the United States has more than tripled in size over the last two decades. #cgtnamerica,CGTNOfficial,en,USA
20221202,1598795134463877135,"Biden and guests raised their glasses of California Brut Rosé  to toast “the history that binds us and the values that unite us and to the future, we’re going to forge together.”

#CGTNAmerica https://t.co/tEsIC9kajl",CGTNOfficial,en,USA
20221202,1598794932260687872,"The U.S President honored the French President and First Lady Brigitte, celebrating the “enduring alliance between France and the United States.”

#CGTNAmerica https://t.co/D8OtzD5NpT",CGTNOfficial,en,USA
20221202,1598780201118404628,"The United States said Friday it was disappointed that Russia had postponed talks on nuclear arms control, voicing willingness to sit down despite high tensions over the Ukraine conflict. #CGTNAmerica",CGTNOfficial,en,USA
20221202,1598671660889956353,"The United States added 263,000 jobs in November, with the unemployment rate at 3.7 percent, official data showed on Friday. https://t.co/3RhlQ4WscI https://t.co/YxrYYoXp3A",CGTNOfficial,en,USA
20221202,1598482044253634560,"Live: As the world experiences severe changes caused by the COVID-19 pandemic crisis and geopolitical conflicts, where will the future lead us? The IFF 2022 Annual Meeting offers comprehensive discussions on these issues. Follow CGTN for more. https://t.co/4GgoHMogIo",CGTNOfficial,en,USA
20221203,1599168675722002435,"A rogue wave, one that's greater than twice the size of surrounding waves, hit a Viking Cruise ship as it rode in a storm heading to Argentina on Tuesday. It caused panes of glass to break and one fell and killed a woman from the United States. #roguewave #cruiseship #CGTNAmerica https://t.co/aFqsqdxyGk",CGTNOfficial,en,USA
20221203,1599142335400607748,"The United States on Saturday condemned an attack a day earlier on the Pakistani embassy in Afghanistan’s capital, in which a senior Pakistani diplomat escaped unhurt but one of his Pakistani guards was wounded.

#CGTNAmerica",CGTNOfficial,en,USA
20221205,1599852440903360512,Let us know in the comments how do you think microplastics are affecting people's health?#GAI #WorldOfSustainability #GAISustainability  #cgtnamerica,CGTNOfficial,en,USA
20221206,1600259247023038465,"The judge accepted a U.S. government's stance that Prince Mohammed bin Salman, who was designated prime minister of Saudi Arabia in September, enjoys immunity in US courts as a foreign head of state. #CGTNAmerica",CGTNOfficial,en,USA
20221206,1600090045222121472,Watch: How should we make sense of global financial stability? How can policymakers ensure financial stability? Join us at the IFF 2022 Annual Meeting for more insights. https://t.co/Mkn7DV7wxS,CGTNOfficial,en,USA
20221207,1600600375949725707,"Video streaming is something many of us do on a daily basis. But is streaming content hurting our environment? While it does consume energy, experts say it’s not as concerning as other industries, at least for now. Take a look.
#GAI #WorldOfSustainability",CGTNOfficial,en,USA
20221207,1600392164500033541,Team USA anticipates playing vs. China in the 2023 Women's World Cup. https://t.co/80YvuyFtDC,CGTNOfficial,en,USA
20221207,1600307179797762048,"The United States and Britain announced an energy partnership on Wednesday aimed at sustaining higher levels of liquefied natural gas (LNG) exports to Britain and collaborating on ways to increase energy efficiency.

https://t.co/jpu8533AHu https://t.co/BKv8IJWTsC",CGTNOfficial,en,USA
20221209,1601337895964508166,"Hundreds of #NewYorkTimes journalists and other staff held a rally Thursday afternoon outside The Times’ offices in #NewYork. “We make the paper, we make the profits!” the crowd chanted.

#NYTStrike #workers #journalist #USA #economy #infaltion #workingclass",CGTNOfficial,en,USA
20221210,1601665874749886464,"The document, drafted by UN committee chair and former First Lady of the United States Eleanor Roosevelt, is an international proclamation that protects the rights and liberties of all people.
#CGTNAmerica",CGTNOfficial,en,USA
20221210,1601616003267325952,"Other laureates include Jan Rachinsky, who represents the Russian group Memorial, and Oleksandra Matviichuk, who represents the Ukrainian organization Center for Civil Liberties, as well as Ben Bernanke, the former chairman of the United States Federal Reserve. #cgtnamerica https://t.co/EDSpHqCSe0",CGTNOfficial,en,USA
20221210,1601464227943878657,CGTN reporter Yang Chengxi is on the ground in the Saudi capital of Riyadh and tells us about the highlights of the first full day of President #XiJinping's visit. #ChinaArab2022 https://t.co/yf1Gy2A99H,CGTNOfficial,en,USA
20221212,1602379934479024143,"Wednesday, December 14th marks 10 years since one of the worst school shootings in the United States. CGTN's Caroline Malone reports.

#CGTNAmerica 

https://t.co/QX4VEOzkmd",CGTNOfficial,en,USA
20221212,1602378907877007361,"What can we as individuals do to help end plastic pollution at the needed scale? Climate behavioral scientist Dr. Sweta Chakraborty @swetac explains to us where we could start:
#GAI #WorldOfSustainability #GAISustainability #CGTNAmerica https://t.co/Krjl12xmEy",CGTNOfficial,en,USA
20221212,1602377751788388353,"CGTN’s Michelle Begue and Joel Richards take us on a weekly roundup of the latest events in Latin America, watch for more:
#GAI #WorldOfSustainability #GAISustainability #CGTNAmerica #Features
https://t.co/EsAZpT0yfJ",CGTNOfficial,en,USA
20221213,1602795135019925512,"In recent months, the area around El Paso has seen a surge in people attempting to cross the border. Over 53,000 migrant encounters were recorded by border agents in October, the Seattle Times reports. 

#Texas #border #USA #Mexico #immigration #Nigaragua #cgtnamerica https://t.co/1NlRwl6XUA",CGTNOfficial,en,USA
20221213,1602746381638041600,US prosecutors: FTX founder Bankman-Fried made illegal campaign donations totaling in the 'tens of millions of dollars.' #cgtnamerica,CGTNOfficial,en,USA
20221214,1603153228153356288,"See how voting has changed in the United States and vote-by-mail is as popular as ever as we examine analyses from the 2022 midterm election.

https://t.co/3TdgGvr7ZN

#votebymail #2022election #2022midterms #midtermresults #USelections",CGTNOfficial,en,USA
20221214,1603143520776323073,"Cuban President Miguel Diaz-Canel on Wednesday acknowledged ""very discreet progress"" in cooperation with the United States, particularly in the area of ​​migration, despite the persistence of the American embargo against the island. 

#CGTNAmerica",CGTNOfficial,en,USA
20221214,1603140132730724352,"The United States on Wednesday sanctioned what it described as a ""major drug dealer"" in the Dominican Republic, barring Americans from dealing with Jose ""La Arana"" Calderon and freezing his assets. #CGTNAmerica",CGTNOfficial,en,USA
20221215,1603525477360074752,A group of young women representing various #indigenous tribes in #Canada are at #COP15. They told us about their frustration with the colonialist mindset they say still prevails at conferences like these. Follow us for more and check out the video. #cgtnamerica,CGTNOfficial,en,USA
20221215,1603488145252704267,"""An arrest warrant was issued against him from Interpol. It has become imperative for us to cooperate in this file for the sake of Libya's interest and stability,"" Dbeibah said in a televised speech.

#CGTNAmerica",CGTNOfficial,en,USA
20221215,1603488066219433989,"Libya's Prime Minister Abdulhamid al-Dbeibah indirectly acknowledged on Thursday that his administration had been involved in the transfer of a Lockerbie bombing suspect to the United States last week.

#CGTNAmerica",CGTNOfficial,en,USA
20221215,1603488002210160657,"Global Action Initiative 2022 on Sustainability starts this week, so let us know what you do.  #GAI #cgtnamerica",CGTNOfficial,en,USA
20221215,1603480348125454352,We are headed towards massive die-offs all around the planet. That’s the crisis the #UN Biodiversity Conference known as #COP15 is trying to stop. #GAI Let us know what leaders should do.  #cgtnamerica #GAI #COP15,CGTNOfficial,en,USA
20221215,1603474807131148291,Follow us for more and check out the video. #cgtnamerica https://t.co/3TBJ9yFhPW,CGTNOfficial,en,USA
20221215,1603474670803685391,They told us about their frustration with the colonialist mindset they say still prevails at conferences like these. #COP15 #cgtnamerica https://t.co/T7VF5tI7WM,CGTNOfficial,en,USA
20221216,1603860673007865856,"Raptors power forward, Juancho Hernangomez, warns that if changes don’t happen soon, climate change will deeply affect all of us. Do you agree? Comment below. #GAI #WorldofSustainability #SustainabilityGAI #cgtnamerica https://t.co/zRWXyqTHjF",CGTNOfficial,en,USA
20221216,1603835163783331858,"Do you know what “zero carbon” manufacturing looks like? 

Beijing-based beverage maker Genki Forest takes us on a tour of its facilities to show how it’s reducing emissions and waste.
Watch the full documentary: https://t.co/GGdp155tGz…
#GAI #GAI2022 #features #cgtnamerica",CGTNOfficial,en,USA
20221216,1603562002236035074,"From the coal mined and now stripped mountains of Appalachia, to the farms, natural reserves and cities that dot the US landscape, a newfound awareness and practice for sustainable living is starting to take hold of the nation. #CGTNAmerica",CGTNOfficial,en,USA
20221217,1604261480475627520,"Do you know what “zero carbon” manufacturing looks like? 

Beijing-based beverage maker Genki Forest takes us on a tour of its facilities to show how it’s reducing emissions and waste.

#GAI #features #sustainability #cgtnamerica",CGTNOfficial,en,USA
20221217,1604256378083762176,"With the coal industry across the United States coming to a crawl, now activists are looking to repair the damage done by the ancient industry. Watch as stripped mountains are refurbished into new forests, offering jobs and cleaning our air. #cgtnamerica https://t.co/YjjvMQPuTt",CGTNOfficial,en,USA
20221217,1604252820437450757,"We spoke to professional basketball star DeAndre Jordan on CGTN America’s special program: Global Action Initiative 2022 on Sustainability.

He tells us how the NBA practices sustainability.  #GAI #heat #cgtnamerica",CGTNOfficial,en,USA
20221217,1604252754918215680,"Basketball player DeAndre Jordan tells us about his trip to China and how it changed his life. 

To hear more, check out our special program: Global Action Initiative 2022 on Sustainability.

Tune in at 2300 GMT between December 15-20. #GAI #heat #cgtnamerica",CGTNOfficial,en,USA
20221217,1604206108842696704,Raul Neto point guard for the Cleveland @cavs tells us about how his team recycles and composts. #GAI #WorldofSustainability #SustainabilityGAI #recycling #environment #composting #CGTNAmerica,CGTNOfficial,en,USA
20221218,1604617371230113800,"Xie Zongxu is a Ph.D. candidate at Tsinghua University. He tells us what inspired him to study environmental sciences. 

He was on our special program: Global Action Initiative 2022 on Sustainability. #GAI #heat #CGTNAmerica",CGTNOfficial,en,USA
20221218,1604570020553555968,See how conservationists in the United States are trying to save the wolves. #GAI #Features #WorldofSustainability #CGTNAmerica,CGTNOfficial,en,USA
20221219,1604970099689066498,U.S. President Joe Biden on Monday night planned to use remarks at a Hanukkah reception at the White House to reject rising anti-Semitism in the United States.#cgtnamerica,CGTNOfficial,en,USA
20221219,1604938870734323712,"A budding winter storm is expected to bring frigid conditions across much of the United States this week, including snowfall likely to cause travel delays ahead of the Christmas holiday weekend, forecasters said on Monday.#cgtnamerica",CGTNOfficial,en,USA
20221219,1604913547229933568,"Sacramento Kings point guard, De'Aaron Fox, tells us his biggest pet peeve, when others don't make the shot. See more. 

#GAI #GAISustainability #WorldofSustainability #cgtnamerica https://t.co/aRUxKvaamB",CGTNOfficial,en,USA
