Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598432114822750288,"Ukraine will move to impose limitations on religious organizations in the country which have links to Russia, AFP reports citing President Volodymyr Zelenskyy's nightly address on Thursday. #cgtnamerica",CGTNOfficial,en,Ukraine
20221202,1598796831915483137,"British Foreign Secretary James Cleverly says Russian President Vladimir Putin might use ceasefire to re-arm his troops: The Telegraph 

#CGTNAmerica #Ukraine #Russia",CGTNOfficial,en,Ukraine
20221202,1598780201118404628,"The United States said Friday it was disappointed that Russia had postponed talks on nuclear arms control, voicing willingness to sit down despite high tensions over the Ukraine conflict. #CGTNAmerica",CGTNOfficial,en,Ukraine
20221203,1599152341722202112,"The U.S. Director of National Intelligence Haines said Saturday she expects the reduced tempo in Ukraine fighting to continue in coming months.

#CGTNAmerica",CGTNOfficial,en,Ukraine
20221203,1599128628549255169,"He added that the U.S.' refusal to recognize annexed territory in Ukraine has hindered a search for ways to end the conflict.

#CGTNAmerica",CGTNOfficial,en,Ukraine
20221203,1599124835623370752,"Russian President Vladimir Putin is not sincere about peace talks with Ukraine at this time, U.S. Under Secretary for Political Affairs Victoria Nuland said on Saturday after meeting President Volodymyr Zelenskyy and other senior Ukrainian officials in Kyiv.

#CGTNAmerica",CGTNOfficial,en,Ukraine
20221205,1599886873907830791,A $60 per barrel price cap was imposed by the #G7 countries and Australia on Russian crude #oil to punish #Russia for its conflict with #Ukraine. Will it have an effect or will it -as Russia alleges- further destabilize the oil markets? #CGTNAmerica https://t.co/LR8aHWvFNn,CGTNOfficial,en,Ukraine
20221206,1600241266750545943,U.S. not preventing Ukraine from developing their own long-range strike capability according to the U.S. Defense Secretary. #CGTNAmerica,CGTNOfficial,en,Ukraine
20221206,1600211738850369536,U.S. State Department says U.S. goal is to regularly convene allies from Europe and globally to provide Ukraine assistance on its energy needs. #cgtnamerica,CGTNOfficial,en,Ukraine
20221206,1600206614073643019,"U.S. State Department added: Transatlantic community wants peace, not a pause. Putin will use any pause to regroup and go back to Ukraine with renewed vengeance.",CGTNOfficial,en,Ukraine
