Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598160521731215360,"Video obtained by CNN shows violence in China at Foxconn, the world's largest iPhone factory. Workers are protesting unfair treatment, dirty living conditions, and chaotic Covid rules, as CNN's @selinawangtv reports. https://t.co/bDPQbz7rAG https://t.co/UZvJb8gyRQ",CNN,en,China
20221201,1598132137873506308,"In an exclusive interview, @ErinBurnett speaks to a Chinese student speaking out against China's attempts to suppress demonstrations that erupted across the country against the government's zero-Covid policy. Watch here: 
https://t.co/A7Unz8lr7u",CNN,en,China
20221202,1598776572856729600,"Chinese President Xi Jinping acknowledged the frustration within China amid his government’s unrelenting zero-Covid strategy, a European Union official told CNN. https://t.co/Wx5jTvwKl9",CNN,en,China
20221202,1598768994957332481,"A man was dragged out of his home in China after allegedly refusing to go to a quarantine facility. Authorities said they later apologized for ""pulling and dragging"" him. https://t.co/WiOA9AQSSA https://t.co/TjM68WViLO",CNN,en,China
20221202,1598489664301703170,CNN's @selinawangtv speaks with a protester in China about why he took the risk to speak out against China's zero-Covid policy https://t.co/3eEsZx9NcF,CNN,en,China
20221202,1598478327580336128,"China’s state-run news agency Xinhua claimed that the fire that ripped through an apartment block in Urumqi, Xinjiang’s capital, killed 10 people and injured nine, but reports from local residents suggest the real toll is far higher https://t.co/apWSdD6BRo",CNN,en,China
20221204,1599474896433709063,"China is looking to ""soften"" its strict zero-Covid policy after rare protests, but officials have yet to lay out a road map. @selinawangtv reports from Beijing. https://t.co/eo4MadWY34",CNN,en,China
20221204,1599456024540454913,"Secretary of State Antony Blinken said that the Biden administration supports the zero-COVID protesters in China
https://t.co/IFNB3RPG4u",CNN,en,China
20221204,1599420028662824960,"China has signaled it may adjust its strict zero-Covid policy after a show of defiance across the country.
 
In this week's episode of the One Thing podcast, @selinawangtv examines the financial and psychological ramifications of the harsh restrictions. https://t.co/m643qYSBub https://t.co/41FLiDT15X",CNN,en,China
20221206,1599965618865831936,"CNN's @selinawangtv navigates daily life in Beijing, where residents still need to show a negative Covid test at most public places as China signals it may loosen its zero-Covid restrictions. https://t.co/We7RmLrSzL https://t.co/kEllssLJOW",CNN,en,China
20221207,1600637369513873409,"As China slowly begins to roll back its zero-Covid policy, @IvanCNN speaks with experts about how China's elderly are at a higher risk of winter Covid surge and how the country has failed to prepare its residents for the rollback. Watch: https://t.co/7DaysRGLlp",CNN,en,China
