Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598312254541365250,"Prices at the pump continue to plunge, dropping the US average for gasoline below where it was when Russia invaded Ukraine. https://t.co/USY6WowTGi",CNN,en,Russia
20221203,1599074763820892166,"For many trans people, Russia's invasion of Ukraine has made it much more difficult to be who they are. https://t.co/o910PFy3Me",CNN,en,Russia
20221204,1599408742084366337,"""Why haven't you labeled Russia a state sponsor of terrorism?""
CNN's @jaketapper questions Sec. Antony Blinken about the US response to Russian President Vladimir Putin's war in Ukraine. @CNNSotu #CNNSOTU https://t.co/xE8EfrZJqy",CNN,en,Russia
20221205,1599853082388664341,"Watch: @kileycnn speaks with members of Ukraine's Russian Legion, comprised of Russian defectors and volunteers who fled their country to protect Ukraine, about defending the city of Bakhmut and their hopes for Russia's future. https://t.co/D38xUggkq6",CNN,en,Russia
20221205,1599799531398479872,"Russian President Vladimir Putin has signed into law a bill banning so-called LGBTQ ""propaganda"" in Russia https://t.co/2kFW17Ch6j",CNN,en,Russia
20221206,1600149110090260482,"An airfield in Russia's Kursk region that borders Ukraine was hit with a drone strike. Ret. US Army Major Mike Lyons explains how the attack, which Ukraine has not taken responsibility for, is an advantage for Ukraine. Watch: https://t.co/Bv9JLtEQxK",CNN,en,Russia
20221206,1600099018729660417,"Here are 5️⃣ things you need to know today:

1️⃣ Georgia runoff

2️⃣ Mauna Loa eruption

3️⃣ SCOTUS

4️⃣ Flu vaccine

5️⃣ Russia missiles

https://t.co/zqFABQx9rM",CNN,en,Russia
20221206,1599946028420997120,Explosions at two Russian air bases have focused attention on Ukraine’s efforts to develop longer-range combat drones. Retired Lt. Gen. Ben Hodges explains why this development could be significant in the war with Russia. Watch here: https://t.co/rkzUm6quzf,CNN,en,Russia
20221207,1600503913433686019,".@willripleyCNN travels to an undisclosed location near the Russian border to witness the arrival of two buses carrying 60 Ukrainian prisoners released in a swap with Russia.

Watch the exclusive report here: https://t.co/tTHKL8sv0v",CNN,en,Russia
20221209,1601306953048891392,"Russia demanded that a spy held in Germany be freed in exchange for Paul Whelan, even as the US offered up the names of several other Russian prisoners in US custody that they would be willing to trade https://t.co/bZ91sM5d8i",CNN,en,Russia
