Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598312254541365250,"Prices at the pump continue to plunge, dropping the US average for gasoline below where it was when Russia invaded Ukraine. https://t.co/USY6WowTGi",CNN,en,Ukraine
20221201,1598289599499059200,"Here are 5️⃣ things to know for December 1. 

1️⃣ Ukraine
2️⃣ Student loan forgiveness plan
3️⃣ Trump’s taxes
4️⃣ Title 42 border policy
5️⃣ Uvalde lawsuit https://t.co/1RjE0b25tS",CNN,en,Ukraine
20221202,1598748888852201477,The European Union has agreed to limit the price of Russian oil in an effort to hinder Putin's war on Ukraine. https://t.co/eTfVBAdaXq,CNN,en,Ukraine
20221203,1599074763820892166,"For many trans people, Russia's invasion of Ukraine has made it much more difficult to be who they are. https://t.co/o910PFy3Me",CNN,en,Ukraine
20221204,1599408742084366337,"""Why haven't you labeled Russia a state sponsor of terrorism?""
CNN's @jaketapper questions Sec. Antony Blinken about the US response to Russian President Vladimir Putin's war in Ukraine. @CNNSotu #CNNSOTU https://t.co/xE8EfrZJqy",CNN,en,Ukraine
20221205,1599853082388664341,"Watch: @kileycnn speaks with members of Ukraine's Russian Legion, comprised of Russian defectors and volunteers who fled their country to protect Ukraine, about defending the city of Bakhmut and their hopes for Russia's future. https://t.co/D38xUggkq6",CNN,en,Ukraine
20221205,1599724827169939456,"Senior International Correspondent @willripleyCNN reports from Bucha, Ukraine, where many residents are bracing for a winter without power while they recover from Russian bombardment.

For more on this story, watch here: https://t.co/qWhiulqITc",CNN,en,Ukraine
20221206,1600149110090260482,"An airfield in Russia's Kursk region that borders Ukraine was hit with a drone strike. Ret. US Army Major Mike Lyons explains how the attack, which Ukraine has not taken responsibility for, is an advantage for Ukraine. Watch: https://t.co/Bv9JLtEQxK",CNN,en,Ukraine
20221206,1599946028420997120,Explosions at two Russian air bases have focused attention on Ukraine’s efforts to develop longer-range combat drones. Retired Lt. Gen. Ben Hodges explains why this development could be significant in the war with Russia. Watch here: https://t.co/rkzUm6quzf,CNN,en,Ukraine
20221207,1600486552861396998,"Ukrainian President Volodymyr Zelensky and the ""spirit of Ukraine"" named TIME Person of the Year https://t.co/ievIf8hLAM",CNN,en,Ukraine
20221208,1600824796073295872,"Here are 5️⃣ things you need to know today:

1️⃣ Same-sex and interracial marriage bill

2️⃣ Ukraine

3️⃣ North Carolina power grid

4️⃣ US immigration

5️⃣ New Covid-19 admissions

https://t.co/5j50uD54oj",CNN,en,Ukraine
20221208,1600788566543683585,"Nearly 10 months after his invasion of Ukraine began, President Vladimir Putin acknowledged that the conflict is “going to take a while”
https://t.co/zs5MTeJfxx",CNN,en,Ukraine
20221208,1600680557431635968,An intercepted phone call between a Russian soldier and his mother reveals conditions on the front lines of Russian President Vladimir Putin's war in Ukraine. CNN’s @ErinBurnett has the story: https://t.co/ObzXVvZiAM,CNN,en,Ukraine
20221209,1601245627500957696,"Pope Francis broke down in tears while talking about the war in Ukraine during an annual prayer at Rome’s Spanish Steps to mark the Feast of the Immaculate Conception, a national holiday in Italy https://t.co/xFvf7iVyZU https://t.co/oUmSGyasn2",CNN,en,Ukraine
20221210,1601660550727217157,"Freed Russian arms dealer Viktor Bout said on Saturday he “wholeheartedly” supports Moscow’s so-called “military operation” in Ukraine and that if he had the opportunity and necessary skills, he would “certainly go as a volunteer.” https://t.co/YybLG8wl9r",CNN,en,Ukraine
20221210,1601616017394110470,Russian Nobel Peace Prize laureate Yan Rachinsky blasted President Vladimir Putin’s “insane and criminal” war on Ukraine in his acceptance speech https://t.co/x6jkxq6A87,CNN,en,Ukraine
20221211,1602004764073549826,"CNN's @FareedZakaria argues the Biden administration has used the war in Ukraine to reinvigorate the Western alliance, while at the same time squandering gains by pursuing protectionist policies.

Watch Fareed's Take: https://t.co/hOOwkPcbR0",CNN,en,Ukraine
20221211,1601947452306870272,"Here are 5️⃣ things to know for December 11. 

1️⃣ Ukraine
2️⃣ Severe weather
3️⃣ Bangladesh
4️⃣ Lockerbie
5️⃣ Grant Wahl
https://t.co/sCcXCOWOr7",CNN,en,Ukraine
20221212,1602440553127464964,"CNN’s @jaketapper speaks with former Green Beret Ryan Hendrickson who is on the ground in Mykolaiv, Ukraine, working to clear explosives left behind by the Russians. Watch: https://t.co/KW4I9ktQ0N",CNN,en,Ukraine
