Datetime,Tweet Id,Text,User Name,Language,GPE
20221202,1598512286662299648,"Moves by the #G7 nations to impose a price cap on Russian oil, possibly taking effect as early as next week, are unlikely to be effective as a means of crippling #Russia in its conflict with Ukraine, experts say. https://t.co/TJGiBKLFQS https://t.co/ChJ7Maiblo",ChinaDaily,en,Russia
20221203,1599169122709147648,Chinese language increasingly popular in Russia's Far East https://t.co/PmITEWGIGy https://t.co/reSs5br3cU,ChinaDaily,en,Russia
20221207,1600490316246695938,#ChinaDailyEditorial The hope held by some Western countries that #India will change course and help them with their sanctions against Russia was once again dashed. https://t.co/GiO4OFv958,ChinaDaily,en,Russia
20221207,1600335543120068609,"Ukrainian Foreign Minister Dmytro Kuleba on Tuesday warned #Iran of the ""consequences"" of the arms supplies to #Russia. https://t.co/q5HsGr1lph",ChinaDaily,en,Russia
20221211,1601970066509004800,"People walk in snow in Moscow, Russia on Dec 10, 2022. https://t.co/C27lqag6DD",ChinaDaily,en,Russia
20221211,1601894570379206657,"The eastern route of the China-Russia natural gas pipeline has completed construction, which will allow natural gas from Russia to cross nine provinces, municipalities and autonomous regions to reach Shanghai, ensuring #energy supplies for eastern China. https://t.co/L6qbw71FOa",ChinaDaily,en,Russia
20221211,1601865464837451776,"Dmitry Medvedev, Deputy Chairman of the Russian Security Council, announced on Sunday that #Russia is stepping up the production of the ""most powerful weapons of destruction"", Euro Weekly News reported. https://t.co/oOFvvHa2SB",ChinaDaily,en,Russia
20221212,1602124030919573504,"Turkish President Recep Tayyip Erdogan and his Russian counterpart Vladimir Putin on Sunday discussed Türkiye-Russia relations, including the exports through the Black Sea grain corridor and the fight against terrorism along the Turkish-Syrian border. https://t.co/XtlSDd9B2c",ChinaDaily,en,Russia
20221216,1603657428893159426,"The #HKSAR and Russia have agreed to increase cooperation in the field of culture and arts, which “will contribute to extending friendship and mutual understanding”.
https://t.co/RHc3Cp1vB4",ChinaDaily,en,Russia
20221217,1604054046377398273,"Russia's largest petrochemical company, SIBUR, has further expanded its cooperation with China this year. https://t.co/LCXZAENYb0",ChinaDaily,en,Russia
20221221,1605563559051948032,"Xi Jinping, general secretary of Communist Party of China Central Committee, met with visiting Chairman of the United Russia party Dmitry Medvedev at the State Guesthouse on Wednesday. #XiJinping https://t.co/lDYsQznGnl https://t.co/tfecVurEKr",ChinaDaily,en,Russia
20221221,1605482100328583168,"Xi Jinping, general secretary of Communist Party of China Central Committee, met with visiting Chairman of the United Russia party Dmitry Medvedev at the State Guesthouse on Wednesday. #XiJinping https://t.co/nlwMzIpssq https://t.co/yIqKpYsduu",ChinaDaily,en,Russia
20221222,1605964384689623040,#ChinaDailyEditorial Ten months into the conflict and Biden has made it clear why the crisis will continue. The US is waging a proxy war against #Russia and it will not rest until it has achieved its aims. https://t.co/Kc3afoKPU1,ChinaDaily,en,Russia
20221222,1605954065577701376,"#ChinaDailyEditorial The United States Ambassador to the NATO, Julianne Smith, has accused Russia and China of employing a set of strategies to weaken the alliance. She should be reminded of the role NATO has played in the past couple of decades. https://t.co/tkkriYexx6",ChinaDaily,en,Russia
20221222,1605918593002377216,"#ChinaDailyEditorial
The US is waging a proxy war against Russia and it will not rest until it has achieved its aims. https://t.co/wdzXJr1RxO",ChinaDaily,en,Russia
20221225,1606930258397396996,"#QuotesInNews China and Russia have stood in solidarity with other countries to steadfastly push for multipolarity and greater democracy in international relations, State Councilor and Foreign Minister Wang Yi said at a Symposium on Sunday. https://t.co/SQUXsfcTUQ",ChinaDaily,en,Russia
20221226,1607352531851816960,"#OpinionLine The Russia-Ukraine conflict is a typical proxy war, in which the situation can change in a short time, especially because the US or NATO is not expected to become a party to the conflict and yet they want the war to drag on. https://t.co/9lExxPeli6",ChinaDaily,en,Russia
20221227,1607806030888710151,"#ChinaDailyEditorial
The escalating standoff between Serbia and Kosovo does not bode well for Europe, which is already reeling from the conflict between Russia and Ukraine. https://t.co/NIeCqmjCK5",ChinaDaily,en,Russia
20221227,1607688997316497410,"#Russia does not intend to propose any new initiatives on strategic arms or security guarantees, Foreign Minister Sergei Lavrov said in an interview published by the TASS news agency on Tuesday. https://t.co/n7Qc0Vi7jr",ChinaDaily,en,Russia
20221230,1608859210372243456,"China and Russia should strengthen strategic coordination to bring more benefits to the two peoples and inject more stability into the world, Chinese President Xi Jinping said in a meeting with Russian President Vladimir Putin via video link on Friday. #XiJinping https://t.co/JhjF03meU4",ChinaDaily,en,Russia
20221230,1608795088758648833,"#LIVE: Young people from Bulgaria, China, Egypt, Ethiopia, Ireland, Israel, Russia, South Africa, the US and other countries have been invited to wrap up the year and envisage the coming year by way of a keyword. #youthpower https://t.co/IU7eWJbNOn",ChinaDaily,en,Russia
