Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598434262595805184,"Chinese scientists have found a new frog species in S China's Guangdong. The species has a small body size, with five adult males measuring 23.2 to 25.9 mm in snout-vent length. https://t.co/mdUvUFV9rN",PDChina,en,China
20221201,1598388310438805516,"China's services trade value grew 17.2% YOY in the first 10 months of 2022, standing at nearly 4.92 trillion yuan ($690.77 billion), data from the Ministry of Commerce showed on Thursday. https://t.co/fGldOi7N2N",PDChina,en,China
20221201,1598380407447293974,"China will conduct its 5th national economic census in 2023 to take stock of the country's economic and social development, according to a notice published by the State Council. https://t.co/W6nyzL9QTs",PDChina,en,China
20221201,1598358765270605824,"In SW China lies a hidden paradise, where countless uniquely shaped hills are alive with lush forest! https://t.co/eeUbYzOA2y",PDChina,en,China
20221201,1598351215498330112,"In pics: The construction site of the Harbin Ice-Snow World, a renowned seasonal theme park that opens every winter in NE China's Heilongjiang. https://t.co/tRYsgLDXZf",PDChina,en,China
20221201,1598342407166169088,Tip: Don’t keep your car parked outside for too long during winter in NE China. https://t.co/luvMDxdgGJ,PDChina,en,China
20221201,1598327564828901382,"The Chinese PLA Navy released video of China's second aircraft carrier, the Shandong, conducting real combat training. The Shandong is China's first domestically designed and built aircraft carrier. https://t.co/71FABkHaCP",PDChina,en,China
20221201,1598240485855956992,"As the night closes in, splendid lights adorn the cityscape of Harbin, northeast China's Heilongjiang province. https://t.co/m0r8xRQz3X",PDChina,en,China
20221201,1598210289295454208,A total of 53 sites of ancient cultural remains and 278 relics dating back to as early as the Eastern Zhou Dynasty (770 BC-256 BC) were unearthed at a historic site in SW China's Chongqing. A batch of remains from the Spring and Autumn Period (770-476 BC) was also found here. https://t.co/ZKNuSAB6gA,PDChina,en,China
20221201,1598172538554572801,"Breathtaking scenery of Luya Mountain in north China's Shanxi Province. Its ice caves, forests, rivers, and mountains form a unique natural landscape. https://t.co/QBWV38nJ0x",PDChina,en,China
20221201,1598157438712168448,"Start an energetic day with Doupi, one of the must-eat street food in Wuhan, central China's Hubei Province. https://t.co/pUb1u2Man1",PDChina,en,China
20221201,1598150847002599424,"China's express delivery sector has handled more than 100 billion parcels this year as of Thursday, according to data from the State Post Bureau. https://t.co/rC4jT0F2hH",PDChina,en,China
20221201,1598149895910825984,"China's state-owned enterprises (#SOEs) raked in 66.42 trillion yuan (about $9.25 trillion) in operating revenues in the January-October period, up 8.9% from the same period last year, according to data from the Ministry of Finance. https://t.co/iknxtytNac",PDChina,en,China
20221201,1598134640916590592,"Boating on the mirror: Enjoy the picturesque scenery in Fuping, north China's Hebei Province. https://t.co/HfwL0WJ0m8",PDChina,en,China
20221201,1598128497620156417,"A total of 15 pilots obtained the C919 Type Rating after the China-made airplane completed related training specification test of the Flight Standardization Committee, meaning the C919 will soon be delivered for operation, said CAAC. https://t.co/E1BAY1byIj",PDChina,en,China
20221201,1598120656536641536,"The Dushu Lake South Tunnel, China’s first four-ramp, six-lane, double-layer tunnel under a navigable canal, opened to traffic in Suzhou, E China's Jiangsu Monday. The underwater vehicular tunnel, constructed with cut-and-cover method, has a total length of 3.33 kilometers. https://t.co/qjb7TsI6P8",PDChina,en,China
20221201,1598108188171042816,"China's local governments issued bonds worth approximately 4.7 trillion yuan (about $654.88 billion) in the first ten months of 2022, data from the Ministry of Finance showed. https://t.co/USE1pkJCeh",PDChina,en,China
20221202,1598758901607854085,Wild crested ibises enjoy a leisurely bath in Tianyuhe River in NW China's Shaanxi. The crested ibis is an endangered species under Class-I protection in China. https://t.co/TKtLtpHqkn,PDChina,en,China
20221202,1598750345143910408,The first undersea subway tunnel in NE China has been trial operated. The tunnel links the world's largest offshore airport to downtown Dalian City and will be operational by Apr 2024. https://t.co/ejcNyt3S0m,PDChina,en,China
20221202,1598742543398682624,"China's #Shenzhou14 crew members on board the country's orbiting space station will return to Earth in the coming days, and the search and rescue team on the ground have completed a joint rehearsal on Thursday night, according to the Jiuquan Satellite Launch Center. https://t.co/n1QxStsZWR",PDChina,en,China
20221202,1598721153148895234,"The West Lake welcomed the first snow of this winter in Hangzhou, E China's Zhejiang, adding a touch of natural beauty to the area. https://t.co/2BtqVgfT2M",PDChina,en,China
20221202,1598688437699330053,"Panda: ""Aha! There you are!"" The world's only captive brown panda Qizai finds a carrot in the snow-covered grass at a giant panda research and breeding center in NW China's Shaanxi. https://t.co/54lFbWfmzH",PDChina,en,China
20221202,1598672834309464064,"China’s meteorological satellites, Fengyun-3E (FY-3E) and Fengyun-4B (FY-4B), along with their ground application systems, have officially started operation, said China Meteorological Administration. https://t.co/Bd85mBFtrP",PDChina,en,China
20221202,1598598595019685888,"With a height of 71.7 meters, Leifeng Pagoda at sunset is regarded as one of the ten best scenic spots of West Lake in Hangzhou, east China's Zhejiang province. https://t.co/WVU1PcgO76",PDChina,en,China
20221202,1598580225679544320,"The ancient charm of Dujiangyan city, southwest China's Sichuan, is illuminated by colorful lights, giving a fancy night tour for visitors from near and far. https://t.co/Fxm68U29vP",PDChina,en,China
20221202,1598572681020035074,"A new China-Laos freight train route for transporting cold-chain fruits was launched Friday in the Lao capital Vientiane, bound for southwest China's Chongqing. The train was loaded with 25 refrigerated containers of fruit worth more than 5.5 million yuan (about $779,766). https://t.co/55lmuqTCTu",PDChina,en,China
20221202,1598557742855163904,"The first batch of development wells for the phase I project of Bozhong 19-6, the first 100 billion m3 gas field in China's Bohai Sea, started drilling on Thursday. The gas field has proven reserves of over 150 million m3 of oil and nearly 200 billion m3 of natural gas. https://t.co/0gVcCP5sM1",PDChina,en,China
20221202,1598542478264528897,"Picturesque scenery of Guan'E Valley Scenic Area in Longnan city, Northwest China's Gansu province after a snowfall. https://t.co/Usl0A61cMk",PDChina,en,China
20221202,1598519828561551363,"Look how an artist finished a street painting in Chengdu, southwest China’s Sichuan Province, in 5 days! https://t.co/8VMLidvNdb",PDChina,en,China
20221202,1598511036901965824,"China-Laos Railway has handled 8.5 million passenger trips and delivered 11.2 million tonnes of cargo as of December 2, according to China Railway Group. https://t.co/HgpYW5yfuN",PDChina,en,China
20221202,1598506236428918785,"The Xi'an-Tongchuan section of the Xi’an-Yan’an high-speed railway began construction Wed in NW China’s Shaanxi, meaning the whole line of the railway is now under construction. The 299-km-long railway with a designed speed of 350 kph is expected to boost local transportation. https://t.co/1DFpBG5pqI",PDChina,en,China
20221202,1598497428910620673,"The 921-km Harbin-Dalian high-speed railway in northeast China, the world's first of its kind to operate at extremely low temperatures, has seen 670 million trips since it was launched 10 years ago, said the China Railway Harbin Group. https://t.co/qZjLyt9aWJ",PDChina,en,China
20221202,1598477383006232576,"China's longest coal-bed methane long-distance pipeline was put into trial operation Thur. The some 623-km-long pipeline, stretching from Shenmu of Shaanxi province to Anping of Hebei province, can transport 5 billion m3 of natural gas every year. https://t.co/XyZ8xjan3S",PDChina,en,China
20221203,1598965267131793408,"The sunset glow paints the evening sky with various shades of colors above Beihai City, south China’s Guangxi Zhuang Autonomous Region, creating mesmerizing scenery. https://t.co/F99fhLNr2f",PDChina,en,China
20221203,1598936320759447552,"Enjoy the beauty of West Lake in Hangzhou, east China's Zhejiang province. https://t.co/xRbcUMWb6W",PDChina,en,China
20221203,1598928660362186752,"The shield tunnel project crossing the Yangtze River of the China-Russia east-route natural gas pipeline, a key project for the pipeline, was successfully completed Saturday after 28 months of construction, creating a necessary condition for the early completion of the pipeline. https://t.co/2wui8uHN1y",PDChina,en,China
20221203,1598916187575881728,"As Xi'an in northwest China's Shaanxi Province embraced the first snow this winter, the ancient buildings and walls covered with snow show extraordinary charm in the city. https://t.co/RZVMGZs49b",PDChina,en,China
20221203,1598908637929316352,"The Jinshanling section of the #GreatWall in north China’s Hebei Province appears to be more magnificent in the winter sun, winding like a dragon along the lofty myriad mountains. https://t.co/CAr4lPzN8v",PDChina,en,China
20221203,1598889511798263808,"Mythical bird glimmers in the sky! Carrying auspicious meanings and best wishes, a ""phoenix"" powered by #drones travels through the air and leaves audiences in awe in Guangyuan, southwest China's Sichuan. https://t.co/EIyrZqN1eE",PDChina,en,China
20221203,1598866862686740480,A spectacle is captured as a rainbow arched over the magnificent ice-decorated Hukou Waterfall on the Yellow River in the border area between China's Shanxi and Shaanxi provinces. https://t.co/HPpUPNgkjm,PDChina,en,China
20221203,1598859570604134401,"Over 100 relics and 24 houses, tombs, and pit remains, including earthenware, stoneware and boneware, have been unearthed this year in a newly-excavated area of 547.5 square meters at the Weizili site dating back to the Bronze Age in northeast China's Jilin Province. https://t.co/GmOSv2tKoH",PDChina,en,China
20221203,1598852014871650304,"China's ice and snow market has seen robust growth and strong upgrading momentum as the market value rose 51.88% YoY in 2021 and is expected to exceed 800 billion yuan (about $113.41 billion) this year. It is likely to top 1 trillion yuan in 2025, a report showed. https://t.co/TJ2syUq9t6",PDChina,en,China
20221204,1599327656582979587,China Snow Valley in northeast China's Heilongjiang Province is a must-go place for snow lovers who fancy a winter getaway. https://t.co/yGpH3zuEKt,PDChina,en,China
