Datetime,Tweet Id,Text,User Name,Language,GPE
20221202,1598704795363090432,"Edward Snowden, former US intelligence whistleblower, swore an oath of allegiance to Russia and has collected his Russian passport, his lawyer told state media on Friday. https://t.co/5gAHSHbWv8",PDChina,en,Russia
20221202,1598695986838110208,"Ukraine's armed forces have lost somewhere between 10,000 and 13,000 soldiers so far in the war with Russia, local media reported citing presidential adviser Mykhailo Podolyak. https://t.co/gQJKIZ1b6R",PDChina,en,Russia
20221203,1598928660362186752,"The shield tunnel project crossing the Yangtze River of the China-Russia east-route natural gas pipeline, a key project for the pipeline, was successfully completed Saturday after 28 months of construction, creating a necessary condition for the early completion of the pipeline. https://t.co/2wui8uHN1y",PDChina,en,Russia
20221205,1599799509340545025,"Ukraine said on Monday that Russia unleashed a new round of missile attacks and knocked out power in the north, after the West imposed a price cap on Russian oil. https://t.co/ECsHh8ssBn",PDChina,en,Russia
20221207,1600512962200043521,"Chinese Premier Li Keqiang co-chaired the 27th regular meeting with Russian Prime Minister Mikhail Mishustin via video link and expressed China's willingness to maintain high-level exchanges, strengthen exchanges and cooperation in various fields with Russia. https://t.co/SqjhqRl8vS",PDChina,en,Russia
20221212,1602400397393534976,"The EU on Monday imposed sanctions on Iran's state broadcaster, army chief, and revolutionary guard commanders over its crackdown of anti-government protests.

The sanction list also includes eight drone makers over Iran's supply of weapons to Russia. https://t.co/405AzZS8hK",PDChina,en,Russia
20221213,1602570265233235969,"The 1900th ""Qilu"" China-Europe freight train trip this year was launched on Monday from Jinan, east China's Shandong Province for Moscow and St. Petersburg in Russia. The train is expected to arrive in the destination in 12 days. https://t.co/EpANXUAUcs",PDChina,en,Russia
20221215,1603492592758378496,"The EU on Thursday agreed on a 9th package of sanctions on Russia over the war in Ukraine, reportedly targeting some 200 individuals. https://t.co/2HbaUuricH",PDChina,en,Russia
20221219,1604880488400687105,"China and Russia will hold joint naval exercise ""Naval Interaction-2022"" from Dec. 21 to 27 in the East China Sea: Russian Defense Ministry https://t.co/skjTWVwESv",PDChina,en,Russia
20221221,1605674469783134209,"Russian Defense Ministry on Wednesday announced plans to increase Russia’s armed forces by more than 30%, from 1.15 million to 1.5 million combat personnel. https://t.co/z8SfsMOwVt",PDChina,en,Russia
20221221,1605650562795548672,"US President Joe Biden welcomed Ukrainian President Zelenskyy to the White House in the latter's first foreign visit since the Ukraine-Russia war, as the US earlier announced a $1.85 billion military package for Ukraine that includes a Patriot missile system. https://t.co/qnco0k0S6m",PDChina,en,Russia
20221221,1605474250122358784,"Xi Jinping, general secretary of the Communist Party of China (CPC) Central Committee and Chinese president, on Wednesday met with Chairman of the United Russia party Dmitry Medvedev, who visited China at the invitation of the CPC.",PDChina,en,Russia
20221228,1608182370036862977,"Ship insurers said they are cancelling war-risk coverage across Russia, Ukraine, and Belarus from Jan. 1, following an exit from the region by reinsurers in the face of steep losses, Reuters reported. https://t.co/x7rk3oVTw3",PDChina,en,Russia
20221228,1608102468461760512,"Russia said on Wednesday it has expelled a Lithuanian diplomat, in retaliation for the latter expelling a Russian diplomat on Dec. 1. https://t.co/RWuo0U08c0",PDChina,en,Russia
20221229,1608573575383891968,"Russia's latest nuclear-powered strategic submarines Generalissimo Suvorov and Emperor Alexander III were commissioned and launched, respectively, on Thursday. https://t.co/XFYNy0olZz",PDChina,en,Russia
20221229,1608457936195526657,"A Ukrainian S-300 air defense missile had fallen onto the territory of Belarus on Thursday, after Russia unleashed a new round of missile attacks on Ukraine's major cities, media reported. https://t.co/VisFCYJzUT",PDChina,en,Russia
20221230,1608819869297909760,"Chinese President Xi Jinping met with Russian President Vladimir Putin via video link on Friday, and said China and Russia should strengthen strategic coordination to bring more benefits to the two peoples and inject more stability into the world.",PDChina,en,Russia
