Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598415458239127559,"The US Supreme Court said Thursday that the justices agreed to hear oral arguments of President Joe Biden's student loan debt forgiveness, with a decision expected by June, while the relief program remains blocked for now. https://t.co/6vVcs88CK6",PDChina,en,USA
20221202,1598796023773675522,"US President Joe Biden on Friday signed legislation to impose a labor agreement between rail companies and workers, averting a potential nationwide rail strike in the holiday season. https://t.co/tEE1kgdFYf",PDChina,en,USA
20221202,1598789100353376259,"The Pentagon on Friday debuted its new stealth bomber, the B-21 Raider, the first new US bomber aircraft in more than 30 years. https://t.co/s6hfB4qu1C",PDChina,en,USA
20221202,1598704795363090432,"Edward Snowden, former US intelligence whistleblower, swore an oath of allegiance to Russia and has collected his Russian passport, his lawyer told state media on Friday. https://t.co/5gAHSHbWv8",PDChina,en,USA
20221202,1598680717504180225,"The US has seen over 1.1 million firearm fatalities over the past 30 years, according to a new study published in JAMA Network Open, an open-access medical journal published by the American Medical Association. https://t.co/CXYd8HHsvH",PDChina,en,USA
20221202,1598470363943297024,"The #US has seen over 1 million firearm fatalities over the past 30 years, according to a new study published in the JAMA Network Open, an open-access medical journal published by the American Medical Association. https://t.co/JbhxvQDIul",PDChina,en,USA
20221204,1599282787671867392,"China's major internet enterprises saw their spending on R&amp;D resume a double-digit expansion in the first 10 months of 2022, totaling 63.67 billion yuan (about US$9.03 billion), up 10.4% YoY: official data https://t.co/JxdBXbsmN1",PDChina,en,USA
20221205,1599782344998649857,"#BREAKING: 5.3M earthquake struck 97 km NNW of Hihifo, #Tonga, with a depth of 109.4 km, according to US Geological Survey. https://t.co/gQFznZcAud",PDChina,en,USA
20221206,1600248782108647426,"Over 15 million children in the US have tested positive for COVID-19 since the onset of the pandemic, according to the latest report by the American Academy of Pediatrics and the Children's Hospital Association. https://t.co/itzYFs4qm5",PDChina,en,USA
20221206,1600121266081505280,"North Korea fired around 90 artillery shells into an inter-Korean maritime buffer zone on Tuesday in protest of the joint drills between South Korea and the US, Yonhap reported. https://t.co/zJVyUvZ8Nv",PDChina,en,USA
20221206,1599919726276141057,"The daily average of #COVID19 hospitalizations in the #US reached about 4,200 in the week ending Nov. 29, a 17.6% increase from a week before, according to the latest data from the U.S. CDC. https://t.co/YZxnRmjqAi",PDChina,en,USA
20221207,1600505421155876865,"Democrat Raphael Warnock defeated Republican challenger Herschel Walker in the Senate runoff in the US state of Georgia, adding a 51st seat to his party's majority in the chamber. https://t.co/mHGJjumzcX",PDChina,en,USA
20221208,1600964553587806216,US FDA on Thursday authorized updated Covid vaccines that target the omicron variant for children as young as 6 months old. https://t.co/GDmnYo8vK6,PDChina,en,USA
20221208,1600855214424137728,"American basketball star Brittney Griner, held for months in Russian prisons on drug charges, was released on Thursday in a one-for-one prisoner swap for international arms dealer Viktor Bout, media reported citing US officials. https://t.co/CbSa51YXps",PDChina,en,USA
20221209,1601225152771112963,"US Senator Kyrsten Sinema of Arizona, a swing vote on President Biden's agenda, announced on Friday she is leaving the Democratic Party and registering as an independent, just days after her party secured 51 seats in the 100-member chamber. https://t.co/CIkXENQbLf",PDChina,en,USA
20221212,1602376797886517248,"US pharmacies CVS and Walgreens agreed to pay a total of $10.7 billion to settle allegations of failing to adequately oversee drug prescriptions, thus contributing to America's opioid crisis, NBC News reported. https://t.co/0pz9Kku87L",PDChina,en,USA
20221213,1602783168129470465,"US President Joe Biden signed the bipartisan Respect for Marriage Act on Tuesday at the White House, codifying same-sex and interracial marriages. https://t.co/JmB5MSKMEW",PDChina,en,USA
20221213,1602744412966195202,"US budget deficit jumped by $57 billion or 30% in November from a year earlier to $249 billion, a record for the month, said the Treasury Department. https://t.co/664hP0LQLe",PDChina,en,USA
20221213,1602684770407763971,"US CPI in November showed a 7.1% increase over last year and 0.1% increase over the month, the Department of Labor said Tuesday. https://t.co/kh63HuHkuY",PDChina,en,USA
20221213,1602667154221867008,"US Securities and Exchanges Commission on Tuesday announced charges against the founder of cryptocurrency exchange FTX, Sam Bankman-Fried, accusing him of defrauding investors. https://t.co/1zfyUHCSyY",PDChina,en,USA
