Datetime,Tweet Id,Text,User Name,Language,GPE
20221202,1598695986838110208,"Ukraine's armed forces have lost somewhere between 10,000 and 13,000 soldiers so far in the war with Russia, local media reported citing presidential adviser Mykhailo Podolyak. https://t.co/gQJKIZ1b6R",PDChina,en,Ukraine
20221205,1599799509340545025,"Ukraine said on Monday that Russia unleashed a new round of missile attacks and knocked out power in the north, after the West imposed a price cap on Russian oil. https://t.co/ECsHh8ssBn",PDChina,en,Ukraine
20221206,1600170704288219136,"A third Russian airfield has been set ablaze following a drone strike, a day after Ukraine used its new ability to enter hundreds of kilometers deep into Russian air space with attacks on two Russian air bases. https://t.co/l4eLl5eagg",PDChina,en,Ukraine
20221207,1600535616009256970,"Time Magazine has named Ukrainian President Volodymyr Zelenskyy and ""the spirit of Ukraine"" as its 2022 Person of the Year. https://t.co/yWRX6AxTWH",PDChina,en,Ukraine
20221215,1603492592758378496,"The EU on Thursday agreed on a 9th package of sanctions on Russia over the war in Ukraine, reportedly targeting some 200 individuals. https://t.co/2HbaUuricH",PDChina,en,Ukraine
20221215,1603437227899604993,"A gift that a Polish police commander received during a recent visit to Ukraine exploded at police headquarters in Warsaw, causing the commander and a civilian employee to suffer minor injuries, the Polish Interior Ministry said Thursday. (AP)",PDChina,en,Ukraine
20221220,1605305653475549186,The World Bank on Tuesday approved an additional financing package totaling $610 million to address urgent relief and recovery needs in Ukraine. https://t.co/4KfJOKZHPc,PDChina,en,Ukraine
20221221,1605650562795548672,"US President Joe Biden welcomed Ukrainian President Zelenskyy to the White House in the latter's first foreign visit since the Ukraine-Russia war, as the US earlier announced a $1.85 billion military package for Ukraine that includes a Patriot missile system. https://t.co/qnco0k0S6m",PDChina,en,Ukraine
20221228,1608182370036862977,"Ship insurers said they are cancelling war-risk coverage across Russia, Ukraine, and Belarus from Jan. 1, following an exit from the region by reinsurers in the face of steep losses, Reuters reported. https://t.co/x7rk3oVTw3",PDChina,en,Ukraine
20221229,1608457936195526657,"A Ukrainian S-300 air defense missile had fallen onto the territory of Belarus on Thursday, after Russia unleashed a new round of missile attacks on Ukraine's major cities, media reported. https://t.co/VisFCYJzUT",PDChina,en,Ukraine
