Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598430842233167887,'Hear it from us': Netflix documentary of UK royals Harry and Meghan to air https://t.co/9mWvnTRq0m https://t.co/fblv7PdUob,Reuters,en,USA
20221201,1598379260607139883,'Hear it from us': Netflix documentary of UK royals Harry and Meghan to air https://t.co/sEOkZ6jDSA https://t.co/2JA2w7f0lx,Reuters,en,USA
20221201,1598332413901385729,LIVE: USA's Christian Pulisic and Tim Weah speak ahead of the upcoming U.S. vs. Netherlands World Cup match https://t.co/43dQEVt6cO,Reuters,en,USA
20221201,1598307281074003970,TSMC plans to make more advanced chips in US on Apple's push  - Bloomberg News https://t.co/o1Yaj54oFj https://t.co/yaplFJ8mlj,Reuters,en,USA
20221201,1598256937795190784,TSMC plans to make more advanced chips in US on Apple's push  - Bloomberg News https://t.co/zOIzbrEX05 https://t.co/ACfMsRBPq7,Reuters,en,USA
20221201,1598210872534499329,TSMC plans to make more advanced chips in US on Apple's push  - Bloomberg News https://t.co/nuSDz1ptHp https://t.co/L2pDCIWpG0,Reuters,en,USA
20221201,1598119698448752640,"Russian activist punk group Pussy Riot defended wearing t-shirts with names of people killed in Iran, along with their ages at Tuesday's #FIFAWorldCup match between Iran and the United States https://t.co/2psxoo2XN6",Reuters,en,USA
20221202,1598825591314079745,"The French baguette, a central part of the French diet for at least 100 years, has made it onto the U.N.'s cultural heritage list. Here are the stories that made us smile this week ☺️ https://t.co/6kLEhbDks5",Reuters,en,USA
20221202,1598819596248784897,United States to end mpox emergency declaration https://t.co/7NuPJVbGlB https://t.co/0nhIkGRG3E,Reuters,en,USA
20221202,1598807974754910208,British company Reckitt Benckiser said the infant formula shortage in the United States is likely to persist until spring https://t.co/BqS8MksLfP https://t.co/nXzUnkVwW9,Reuters,en,USA
20221202,1598765193470803974,"From Vietnamese grannies learning English to French baguettes making the United Nations' cultural heritage list, here are some of the stories that made us smile this week ☺️ https://t.co/1YLpUmpknp",Reuters,en,USA
20221202,1598687179215175681,"Infant formula shortage in the United States is likely to persist until spring, according to Enfamil maker Reckitt Benckiser https://t.co/BqS8Mkbaoh https://t.co/g4w9VuyIUo",Reuters,en,USA
20221202,1598684662255169537,"The near year-long infant formula shortage in the United States that prompted the intervention of the White House is likely to ‘persist’ until spring, according to Reckitt Benckiser, the maker of what is now the biggest brand in the market, Enfamil https://t.co/BqS8MksLfP https://t.co/N9oHuMnAJn",Reuters,en,USA
