Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598319867748401152,"Russia must pay for Ukraine reconstruction, EU chief says https://t.co/xssf6hx2WD",SCMPNews,en,Russia
20221202,1598812147269746690,"US and EU ‘never been more aligned’, including on China, Taiwan and Russia, say senior diplomats https://t.co/B0sEpfh8s1",SCMPNews,en,Russia
20221202,1598571004393029633,Ukraine war enters new phase with first winter since Russia’s invasion https://t.co/zfXLBZXXnq,SCMPNews,en,Russia
20221203,1599137937475751936,"Russia is boosting its cyberattacks on Ukraine, allies, Microsoft says https://t.co/OngejEjPRq",SCMPNews,en,Russia
20221203,1599063267577577506,Ukraine: Russia assembles a ‘shadow fleet’ of 100 oil tankers; reaps US$1 billion of wheat from Ukraine https://t.co/WjhyyoVfAr,SCMPNews,en,Russia
20221204,1599501818018643969,"About 1,700 dead seals found on southern Russia’s Caspian coast https://t.co/0xF4y1flnm",SCMPNews,en,Russia
20221205,1599840156504264706,"3 killed in Ukraine drone attacks on air bases deep inside Russia, Moscow says https://t.co/rtye5Kgr7R",SCMPNews,en,Russia
20221206,1600232698064297988,"Drone strikes deep in Russia expose vulnerabilities, as Moscow blames Ukraine https://t.co/WmDQlA2zSM",SCMPNews,en,Russia
20221206,1599927173103640580,"US and EU indicate plan to end electric vehicles subsidies dispute, both wary of China and Russia https://t.co/F5F3hPVCZB",SCMPNews,en,Russia
20221207,1600541153023205378,"Russia’s ‘not mad’ and US is to blame for rise of nuclear war risk, Putin says https://t.co/fdZYSpn5je",SCMPNews,en,Russia
20221208,1600915384324034562,US-China decoupling: Beijing has options beyond Russia in navigating geopolitics of technology https://t.co/xy9oyBpkyK,SCMPNews,en,Russia
20221208,1600673266049466372,Risk of Russia using nuclear weapons in Ukraine war declined for now: Germany’s Scholz https://t.co/2z0OdrVRbe,SCMPNews,en,Russia
20221209,1601333217788919811,Vladimir Putin says Russia could adopt US pre-emptive strike concept https://t.co/SyIvqgUZQU,SCMPNews,en,Russia
20221209,1601323823487385609,Why Uzbekistan and Kazakhstan’s hopes of using China as hedge against Russia could be doomed https://t.co/Norfoq4YDR,SCMPNews,en,Russia
20221209,1601237735360061442,"US basketball star Brittney Griner has been released from Russia, in a prisoner swap in exchange for arms dealer Viktor Bout. https://t.co/CLSuNLRlX3",SCMPNews,en,Russia
20221209,1601147138452295680,"US basketball star Brittney Griner has been released from Russia, in a prisoner swap in exchange for arms dealer Viktor Bout. https://t.co/oyzID53oTC",SCMPNews,en,Russia
20221209,1601056541863333888,"US basketball star Brittney Griner has been released from Russia, in a prisoner swap in exchange for arms dealer Viktor Bout. https://t.co/Tivn2BUSXq",SCMPNews,en,Russia
20221210,1601634589688139777,Russia has ‘restocked supply of Iranian-made suicide drones’ as it unleashes fresh wave: reports https://t.co/jIbb8EEKrx,SCMPNews,en,Russia
20221210,1601479315950112768,"Artemis, Tiangong successes in US-China space race leave Russia eating cosmic dust https://t.co/6NaScffqT8",SCMPNews,en,Russia
20221210,1601472196706287617,US says deepening Iran-Russia military partnership ‘harmful’ to Ukraine https://t.co/t9LBggtZPD,SCMPNews,en,Russia
20221210,1601387694726303749,Central Asia’s hopes of using China as hedge against Russia face rough road https://t.co/wzojqef4Ln,SCMPNews,en,Russia
20221210,1601387389582295041,Putin says Russia could adopt US pre-emptive strike concept https://t.co/WNZWul1b9d,SCMPNews,en,Russia
20221211,1601907328067960832,"Russia ramping up production of ‘most powerful’ weapons, ex-President says https://t.co/uhGzVpIs0J",SCMPNews,en,Russia
20221212,1602440954643873793,"Burning through ammo, Russia using 40-year-old rounds in Ukraine, US official says https://t.co/xpWnJoNnE8",SCMPNews,en,Russia
20221212,1602331323712081922,"US, Asian allies go it alone on North Korean sanctions as China, Russia block UN moves https://t.co/Fu55MF7FLI",SCMPNews,en,Russia
