Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598387181860651010,"Russian invasion hastens push for LGBTQ rights in Ukraine, but will it last? https://t.co/iJqo3u3ypF",SCMPNews,en,Ukraine
20221201,1598379060769525771,Letter bomb sent to Spanish prime minister day after Ukraine embassy blast https://t.co/JFBrz1EUNu,SCMPNews,en,Ukraine
20221201,1598319867748401152,"Russia must pay for Ukraine reconstruction, EU chief says https://t.co/xssf6hx2WD",SCMPNews,en,Ukraine
20221201,1598186890745741312,‘It can be incredibly romantic’: how Ukraine’s people are adapting to restaurants having no power https://t.co/Pt5p5LguLj,SCMPNews,en,Ukraine
20221202,1598791617720291329,"In a three-hour meeting, European Council President Charles Michel and Chinese President Xi Jinping discussed issues that ranged from the war in Ukraine to China's zero-Covid policy. https://t.co/mGDNHzKq1z",SCMPNews,en,Ukraine
20221202,1598701023450759170,"In a three-hour meeting, European Council President Charles Michel and Chinese President Xi Jinping discussed issues that ranged from the war in Ukraine to China's zero-Covid policy. https://t.co/c3Fd6io1sv",SCMPNews,en,Ukraine
20221202,1598610425024856064,"In a three-hour meeting, European Council President Charles Michel and Chinese President Xi Jinping discussed issues that ranged from the war in Ukraine to China's zero-Covid policy. https://t.co/AHQAQpwklu",SCMPNews,en,Ukraine
20221202,1598571004393029633,Ukraine war enters new phase with first winter since Russia’s invasion https://t.co/zfXLBZXXnq,SCMPNews,en,Ukraine
20221203,1599137937475751936,"Russia is boosting its cyberattacks on Ukraine, allies, Microsoft says https://t.co/OngejEjPRq",SCMPNews,en,Ukraine
20221203,1599063267577577506,Ukraine: Russia assembles a ‘shadow fleet’ of 100 oil tankers; reaps US$1 billion of wheat from Ukraine https://t.co/WjhyyoVfAr,SCMPNews,en,Ukraine
20221204,1599220170211434497,Ukraine war: Zelensky criticises oil price cap on Russian supplies; Kremlin rejects restrictions https://t.co/UC6axRjjnU,SCMPNews,en,Ukraine
20221205,1599840156504264706,"3 killed in Ukraine drone attacks on air bases deep inside Russia, Moscow says https://t.co/rtye5Kgr7R",SCMPNews,en,Ukraine
20221205,1599721635283701761,"UAE, Ukraine to start talks on bilateral trade deal https://t.co/hmJ3TrHaHb",SCMPNews,en,Ukraine
20221205,1599644413612916741,"Ukraine war: G7 price cap on Russian oil kicks in, as West tries to limit Moscow’s war machine https://t.co/yAmI0UDDgW",SCMPNews,en,Ukraine
20221206,1600232698064297988,"Drone strikes deep in Russia expose vulnerabilities, as Moscow blames Ukraine https://t.co/WmDQlA2zSM",SCMPNews,en,Ukraine
20221206,1600218524940574720,Areas of Ukraine are plunged into freezing darkness after a fresh wave of deadly missile attacks by Russian forces. https://t.co/Rc9hk2HK5N,SCMPNews,en,Ukraine
20221206,1600127934286675971,Areas of Ukraine are plunged into freezing darkness after a fresh wave of deadly missile attacks by Russian forces. https://t.co/jXPqy5swmJ,SCMPNews,en,Ukraine
20221206,1600112789736955904,"Ukraine war: South Korea weapons, including tanks, arrive in Poland after US$5.8 billion deal https://t.co/x3O9lntClt",SCMPNews,en,Ukraine
20221206,1600036228472020993,Areas of Ukraine are plunged into freezing darkness after a fresh wave of deadly missile attacks by Russian forces. https://t.co/Qcf4T4rHH5,SCMPNews,en,Ukraine
20221206,1600003563194916866,Putin inspects Crimea bridge; Ukraine warns of blackouts after Russian strikes https://t.co/Ur0i11JTDH,SCMPNews,en,Ukraine
20221207,1600565284460445703,Ukraine’s Volodymyr Zelensky named Time magazine’s ‘Person of the Year’ https://t.co/yktSLuFZCb,SCMPNews,en,Ukraine
20221207,1600513737873625091,"Ukraine embassy threats marked with German Tesla sender address, minister says https://t.co/it4AuD0cKj",SCMPNews,en,Ukraine
20221207,1600491615218532352,Vietnam seeks to curb reliance on Russian arms amid Ukraine war https://t.co/1bR3mbK3NB,SCMPNews,en,Ukraine
20221208,1600708771927449601,"Food aid for Ukraine families: more than 70 restaurants in Hong Kong, Singapore and the Philippines raise funds to support NGO https://t.co/GuggrioSOO",SCMPNews,en,Ukraine
20221208,1600673266049466372,Risk of Russia using nuclear weapons in Ukraine war declined for now: Germany’s Scholz https://t.co/2z0OdrVRbe,SCMPNews,en,Ukraine
20221208,1600666351533785088,"‘Perfectly possible’ for West to strike balance between Ukraine, Asia concerns: UK minister https://t.co/i2b31dsHUl",SCMPNews,en,Ukraine
20221209,1601255875607404544,"Ukraine war could ‘no doubt’ lead to wider conflict, Nato chief fears https://t.co/g8qhW6oMT4",SCMPNews,en,Ukraine
20221209,1601018116196155392,Why Ukraine should stop criticising India and other well-meaning supporters https://t.co/zSyb0nsJNq,SCMPNews,en,Ukraine
20221210,1601472196706287617,US says deepening Iran-Russia military partnership ‘harmful’ to Ukraine https://t.co/t9LBggtZPD,SCMPNews,en,Ukraine
20221210,1601370444644454400,"Ukraine war, Taiwan tensions boost Japanese support for doubling of defence budget https://t.co/s2rCySq2o7",SCMPNews,en,Ukraine
20221211,1601976548793503745,"Ukraine: Deadly Russian shelling continues, Putin and Turkey’s Erdogan discuss gas hub, grain corridor https://t.co/Z7BKN1ggcM",SCMPNews,en,Ukraine
20221211,1601837992582291456,"Ukraine war: Putin’s forces attack Luhansk and Donetsk, 1.5 million without power after Russian strikes https://t.co/SSaL5Qncos",SCMPNews,en,Ukraine
20221211,1601818041318268928,"Ukraine war: Kherson hunts for traitors, vowing ‘every one of them will be punished’ https://t.co/9RbyfuiQ9p",SCMPNews,en,Ukraine
20221212,1602440954643873793,"Burning through ammo, Russia using 40-year-old rounds in Ukraine, US official says https://t.co/xpWnJoNnE8",SCMPNews,en,Ukraine
20221212,1602407952798945281,US President Joe Biden has underscored Washington’s support for Ukraine with an additional US$53 million in aid to support the country’s energy infrastructure. https://t.co/O8wgUvNeqA,SCMPNews,en,Ukraine
20221212,1602365096600244257,"Amid Ukraine stumbles, Vladimir Putin skips major news conference for first time in 10 years https://t.co/Y6psp2ccK3",SCMPNews,en,Ukraine
20221212,1602317355240984576,US President Joe Biden has underscored Washington’s support for Ukraine with an additional US$53 million in aid to support the country’s energy infrastructure. https://t.co/K4QfattjPN,SCMPNews,en,Ukraine
