Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598425971601850370,"Host Anne McElvoy asks veteran diplomat Christoph Heusgen whether the Zeitenwende, announced in the wake of Russia’s invasion of Ukraine, could be derailed  https://t.co/oeOxnSECG2",TheEconomist,en,Russia
20221201,1598408608789700646,"Despite the effort expended on trying, Russia has not generated a sufficiently thick fog of war through cyberwarfare https://t.co/90b10ysLiN",TheEconomist,en,Russia
20221201,1598395530585018370,"“The difficulty with dictatorships is that they always  look very strong right up until five minutes before they collapse.” @robertguest1 considers discontent in Russia, on “The World Ahead” podcast https://t.co/xtiDJbhjKZ",TheEconomist,en,Russia
20221201,1598393255787462679,Firepower is important. Ukraine started the war with the largest artillery force in Europe after Russia. The principal constraint was ammunition https://t.co/RA171AebSj,TheEconomist,en,Russia
20221201,1598378669738758147,"The two biggest climbers in our index are in Russia. As Western sanctions take hold, St Petersburg has risen 70 places to 73rd since 2021 and Moscow has shot up 88 places to 37th https://t.co/lq305Td4wl",TheEconomist,en,Russia
20221201,1598362863931998208,"China sees Russia’s invasion as a useful challenge to the West. But some in Beijing draw comparisons to Taiwan and wonder if it, like Ukraine, could turn an invasion into a quagmire, with disastrous consequences for the Communist Party https://t.co/UJJW3GNwEi",TheEconomist,en,Russia
20221201,1598342582735704065,"Despite initial differences, French and American positions on Russia have converged. President Biden finds President Macron’s periodic conversations with Putin a useful diplomatic conduit https://t.co/9gyt8TKKJk",TheEconomist,en,Russia
20221201,1598166922448740357,"When Europe first dreamed up its embargo, it threatened to deal a serious blow to Russia’s oil cashflows. But even as it was announced a flaw was apparent https://t.co/w4VV8uUr7g",TheEconomist,en,Russia
20221201,1598105867764776960,"Since the war began in February the West has grappled with a dilemma. How should it cut Russia’s fossil-fuel earnings, without reducing the global supply of oil and fuelling inflation that hurts consumers around the world?  https://t.co/z4tP15eLeq",TheEconomist,en,Russia
20221202,1598774759319343115,Firepower is important. Ukraine started the war with the largest artillery force in Europe after Russia. The principal constraint was ammunition https://t.co/XJvTTHAZEe,TheEconomist,en,Russia
20221202,1598589500841775107,"Host Anne McElvoy asks veteran diplomat Christoph Heusgen whether the Zeitenwende, announced in the wake of Russia’s invasion of Ukraine, could be derailed  https://t.co/N70S6lCupq",TheEconomist,en,Russia
20221202,1598566057249210369,Many experts believe the mainland’s options over Taiwan are shrinking. But Russia’s struggles in Ukraine will have given them pause https://t.co/XXN160ukNs,TheEconomist,en,Russia
20221202,1598509975768387584,Why Russia’s cyber-attacks have fallen flat https://t.co/COo8j5B15t,TheEconomist,en,Russia
20221203,1599185982464704512,"The cold war, in which America and the Soviet Union menaced each other with tens of thousands of nukes, was scary enough. In the new age America confronts not just Russia but also China https://t.co/rHI2WxFoLB",TheEconomist,en,Russia
20221203,1599122304646234113,Cyber-­campaigns can run out of steam. Russia’s troops planned for a week-­long war—and so did its hackers https://t.co/fG8ZHZ7wzb,TheEconomist,en,Russia
20221203,1599072736739041280,Russia’s government has recruited cybercriminals to focus on “wiping” computers to damage Ukraine’s war effort by erasing whatever data they can reach https://t.co/XZnOvzJyA4,TheEconomist,en,Russia
20221203,1598903396240588801,Russia treated Ukraine as a cyber-testing-range in the years after its first invasion in 2014. Ukraine was thus prepared—and has shown how to defend against this new type of warfare https://t.co/e0L0p9hNZo,TheEconomist,en,Russia
20221204,1599490997871853568,"“After Russia became aggressive and then when Putin started on his nationalistic track… she was on the phone with him very often.”

@MSCheusgen, Angela Merkel’s former chief foreign and security advisor, joins @annemcelvoy on “The Economist Asks” podcast https://t.co/SILuHfY4Zf",TheEconomist,en,Russia
20221204,1599475325657915394,"Russia’s known attacks on critical infrastructure, in Ukraine and beyond, have been prematurely exposed, riddled with errors or have spilled over beyond the intended target https://t.co/WXPvo0QTvZ",TheEconomist,en,Russia
20221204,1599338491715911681,"“The policy towards Russia, at least Russia under Putin, cannot go back to where we were.” 

@MSCheusgen, who chairs the Munich Security Conference, discusses Germany’s “Zeitenwende”, on “The Economist Asks” podcast https://t.co/mNHRsgGVnS",TheEconomist,en,Russia
20221204,1599320468623851520,"“The difficulty with dictatorships is that they always  look very strong right up until five minutes before they collapse.” @robertguest1 considers discontent in Russia, on “The World Ahead” podcast https://t.co/RuhxufRI93",TheEconomist,en,Russia
20221204,1599262966104432640,"China is fast expanding its nuclear stockpile from about 200-300 warheads at the start of the decade to perhaps 1,500 by 2035. Its arsenal would thus start to resemble those of America and Russia https://t.co/1O2YZgZm5D",TheEconomist,en,Russia
20221205,1599730081454252032,"♦️ Iran’s authorities hint at abolishing the country’s hateful morality police.

♦️ The EU’s ban on seaborne crude oil from Russia comes into effect.

♦️ China begins to distance itself from its zero-covid dictum.

Catch up on today’s news ⬇️",TheEconomist,en,Russia
20221205,1599716286795333633,"If the patterns from 2000-19 continue to apply in 2022-23, Russia’s “energy weapon” will prove highly potent https://t.co/lLhn5VslsO",TheEconomist,en,Russia
20221205,1599688189425422337,"She ignores the fact that she could have stopped Nord Stream 2, a now defunct pipeline intended to bring gas from Russia to Germany. Had Angela Merkel been firmer, Mr Putin might have felt less confident about bullying Ukraine https://t.co/2oSnmaiVjZ",TheEconomist,en,Russia
20221205,1599636019208388609,"Despite Russia’s cyber-­warriors, Ukraine’s lights, power and water stayed on. Volodymyr Zelensky continued to make nightly television broadcasts to the nation. We explain how https://t.co/9lW6QN7pml",TheEconomist,en,Russia
20221206,1600235085655056384,"Why hasn’t Russia’s cyber-war been more effective? @alokjha and @shashj investigate on “Babbage”, our science and technology podcast https://t.co/CNPV5c0Joe",TheEconomist,en,Russia
20221206,1600040311518109699,"Though confidence among Western leaders in Ukraine’s ability to withstand Vladimir Putin’s terror has gone up, there is growing concern about Russia’s own ability to survive the war. It could descend into chaos #WorldAhead https://t.co/6rnB9hBQIe",TheEconomist,en,Russia
20221206,1599944983913562116,"No country that has ever been ruled from Moscow is safe. Those that can forge closer ties with NATO will do so. The only regimes likely to draw closer to Russia in 2023 will be its fellow pariahs, particularly Iran https://t.co/65g7nXAd5O",TheEconomist,en,Russia
20221207,1600518254849675265,"“Why invite somebody to Munich who you know is a liar, who does not have any credibility?”

@MSCheusgen, who chairs the Munich Security Conference, tells @annemcelvoy why Russia won’t be invited to next year’s event, on “The Economist Asks” podcast  https://t.co/CLj6hPHOqG",TheEconomist,en,Russia
20221207,1600482996297015298,"In the wake of Russia’s invasion, new technologies could be on their way, because the war has prompted countries to boost defence spending #WorldAhead https://t.co/4sEGq16gIK",TheEconomist,en,Russia
20221207,1600468594688770049,"Has Russia’s cyber prowess been overrated? @alokjha asks @shashj why the cyber campaign in Ukraine seems to have fallen flat, on “Babbage” https://t.co/0lALxfO5UR",TheEconomist,en,Russia
20221208,1600993138071552000,"Brittney Griner, an American basketball player serving a nine-year prison sentence in Russia, was granted her freedom in exchange for Viktor Bout, a notorious arms-dealer who was convicted in America in 2011 https://t.co/3QDn0jmDz2",TheEconomist,en,Russia
20221208,1600928715428532226,“There is a lot more friction and complexity in cyber-war than people assume.” @shashj draws some lessons from Russia’s cyber campaign in Ukraine. Listen to this week’s “Babbage” podcast https://t.co/G9twjjgGYH,TheEconomist,en,Russia
20221208,1600908895869816832,"Russia has exchanged American basketball star Brittney Griner for Viktor Bout, a notorious arms dealer, in a prisoner swap. 

Dubbed the “merchant of death”, how exactly did Mr Bout meet his downfall? From our archive 
https://t.co/fndnGDEq1w",TheEconomist,en,Russia
20221208,1600714831979479040,"Western countries will be watching Eritrea’s veteran dictator, Issaias Afwerki, closely in 2023 and may step up economic sanctions. But relations with Russia and China complicate matters https://t.co/zPfL3RH7Zm",TheEconomist,en,Russia
20221209,1601291107186475008,"Has Russia’s cyber prowess been overrated? @alokjha asks @shashj why the cyber campaign in Ukraine seems to have fallen flat, on “Babbage” https://t.co/AYu48zSIaU",TheEconomist,en,Russia
