Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598347517439217667,History cannot tell us much about whether the stockmarket will continue to slide in 2023—but it does offer a couple of clues https://t.co/jzPvgjPIqq,TheEconomist,en,USA
20221202,1598734249724727296,"We are looking for an aspiring journalist to join us on a six-month internship. They will work on 1843 magazine, which specialises in features and narrative journalism. Apply by December 11th https://t.co/TOuZskPiZO https://t.co/WvgqdoqQTJ",TheEconomist,en,USA
20221202,1598725695638802433,"“By the 2030s the United States will, for the first time in its history, face two major nuclear powers as strategic competitors and potential adversaries,” according to the Nuclear Posture Review https://t.co/gZ2s3BJBJv",TheEconomist,en,USA
20221205,1599881649025605679,"Record numbers have left. Between October 2021 and August 2022, almost 200,000 Cubans were caught trying to cross the Mexican border into the United States. Many more will follow in 2023 https://t.co/UmLkKiC3bF",TheEconomist,en,USA
20221205,1599762595552141315,"“By the 2030s the United States will, for the first time in its history, face two major nuclear powers as strategic competitors and potential adversaries,” according to the Nuclear Posture Review https://t.co/vV5ygYB7OU",TheEconomist,en,USA
20221205,1599594066173386753,"“Justice is on their side—they were brought to the United States as children, they grew up as Americans.” @JBennet says that Congress should act to protect the “Dreamers”, on our “Checks and Balance” podcast  https://t.co/gTraf5rpAC",TheEconomist,en,USA
20221206,1599954329695391745,What 1989 can teach us about the recent protests in China https://t.co/bLkpueNbqH,TheEconomist,en,USA
20221207,1600631565901504513,"Local officials have been handed an impossible task of avoiding lockdowns while managing case numbers. They, like us, may be asking: is this really the plan? https://t.co/SQsBHClxnn",TheEconomist,en,USA
20221208,1600848678784221185,The five priciest were in the United States https://t.co/LQYioUVDVU,TheEconomist,en,USA
20221208,1600773818640900099,"“The technological world that we live in is fundamentally reliant upon commercial companies to help us defend it.” 

Paul Chichester of @NCSC tells our “Babbage” podcast how private companies have helped Ukraine fend off Russian cyber attacks https://t.co/mXfFNH7Bbj",TheEconomist,en,USA
20221209,1601293130145447937,"“Putin didn’t realise that we will never forget any sort of chains that have been imposed on us in the past and…never tolerate anybody imposing them on us now.” 

Historian and writer Olesya Khromeychuk joins “The Economist Asks” podcast https://t.co/NhXdGhgTGk",TheEconomist,en,USA
20221209,1601220646251503617,"Canada has yet to produce a Donald Trump, but it may have weaker constitutional defences than the United States if such a person appears https://t.co/TlWU2mzs2Z",TheEconomist,en,USA
20221210,1601653750510272512,"“The technological world that we live in is fundamentally reliant upon commercial companies to help us defend it.” 

Paul Chichester of @NCSC tells our “Babbage” podcast how private companies have helped Ukraine fend off Russian cyber attacks https://t.co/XTdCSJ9Rzy",TheEconomist,en,USA
20221210,1601610467180367875,"“Ukraine fatigue is a weapon of war…that is directed at us by the Kremlin.” 

We meet the historian and writer Olesya Khromeychuk on “The Economist Asks” podcast  https://t.co/ydT2remtsC",TheEconomist,en,USA
20221210,1601603920945610752,Southern United States still tends to be more affordable https://t.co/FPswJHCtYA,TheEconomist,en,USA
20221210,1601458716733308928,"He was drawn to Martin Luther King partly because “he used his faith not as a weapon to crush other people, but as a bridge to bring us together” https://t.co/vl8hoLqSRD",TheEconomist,en,USA
20221210,1601411322465460224,"He was drawn to Martin Luther King partly because “he used his faith not as a weapon to crush other people, but as a bridge to bring us together” https://t.co/JnQoygWghx",TheEconomist,en,USA
20221211,1601948241406337027,"Local officials have been handed an impossible task of avoiding lockdowns while managing case numbers. They, like us, may be asking: is this really the plan? https://t.co/Wvuik6CjAv",TheEconomist,en,USA
20221211,1601756095659343873,"“Instead of a straightforward democracy, it seemed–suddenly–it was much more complicated than we’d imagined.” 

On “Checks and Balance,” Ann Wroe remembers her time as our US editor–and when the Supreme Court decided an election https://t.co/wFLovZD5MO",TheEconomist,en,USA
20221212,1602365929509326850,"“Putin didn’t realise that we will never forget any sort of chains that have been imposed on us in the past and…never tolerate anybody imposing them on us now.” 

Historian and writer Olesya Khromeychuk joins “The Economist Asks” podcast https://t.co/CCslYMsgSc",TheEconomist,en,USA
20221213,1602804081956880387,"“Ukraine fatigue is a weapon of war…that is directed at us by the Kremlin.” 

We meet the historian and writer Olesya Khromeychuk on “The Economist Asks” podcast  https://t.co/NqpH9n2swP",TheEconomist,en,USA
20221213,1602503023493873665,"“Instead of a straightforward democracy, it seemed–suddenly–it was much more complicated than we’d imagined.” 

On “Checks and Balance,” Ann Wroe remembers her time as our US editor–and when the Supreme Court decided an election https://t.co/WGVq9KIaUw",TheEconomist,en,USA
20221214,1603018115176095744,"Some residents of Beijing have received letters from the local committees that used to enforce covid controls. Stop reporting fevers and coughs to us, one read, before bidding people good luck https://t.co/O47FkQvlVt",TheEconomist,en,USA
20221215,1603479267089735682,"“For us, for the military, the war began in 2014.” Read our interview https://t.co/UMnvXWqtE6",TheEconomist,en,USA
20221215,1603449923227336706,"Outside Ukraine, the conflict is thought to be deadlocked. But in an unprecedented series of briefings, President Volodymyr Zelensky and his top commanders give us their assessment of the critical months ahead https://t.co/gfKNsojK1m",TheEconomist,en,USA
20221215,1603420890347233281,"“Instead of a straightforward democracy, it seemed–suddenly–it was much more complicated than we’d imagined.” 

On “Checks and Balance,” Ann Wroe remembers her time as our US editor–and when the Supreme Court decided an election https://t.co/qoVZJAnjr3",TheEconomist,en,USA
20221216,1603681069680758784,"Ukraine is running low on stocks of ammunition for its existing defence systems, the military chief, General Valery Zaluzhny, explains to us. It also needs many more, and better, anti­-missile defences https://t.co/awYcYbpLvR",TheEconomist,en,USA
20221216,1603651198946578433,"“Understand: we are not at war with Russia; Russia is at war with us on our territory. They have to withdraw.” 

Read our interview with Volodymyr Zelensky on victory, the current situation in Ukraine and the effects of Kremlin propaganda https://t.co/lve635EQZW",TheEconomist,en,USA
20221217,1604249344034717697,"“Silicon Valley is much more mature and much more powerful than it used to be.” @arjun_ramani3 explains what that means for the rest of us, on “Money Talks” https://t.co/n8we96cWM8",TheEconomist,en,USA
20221217,1604144389290430473,"President Volodymyr Zelensky and his top generals have given us their frank assessment of the critical months that lie ahead. 

Read our interviews with them👇",TheEconomist,en,USA
