Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598122217619001344,Watch: What’s happening behind the scenes at Twitter? Former Tesla and SpaceX employees tell us about Elon Musk’s management style https://t.co/4I2cIuvc8j,WSJ,en,USA
20221202,1598485877336023040,"🎧 Listen: In today's episode of The Journal podcast, we speak to Dr. Anthony Fauci as he prepares to retire after than 50 years of government service. He talks about the biggest challenges in his career and if he believes Covid is behind us. https://t.co/SelmLOkqSi",WSJ,en,USA
20221203,1599180448932024321,"From @WSJopinion: For those of us who are free, our job is to keep Jimmy Lai’s story alive—to ensure that the world never forgets, writes Paul Gigot https://t.co/iCmH6E75aL",WSJ,en,USA
20221203,1599078539910909952,"Spotify Wrapped tells you who you really are—and gives us a chance to reflect on the kinds of digital data collection that can be useful, writes @nicnguyen https://t.co/l8LS0atOgJ",WSJ,en,USA
20221203,1599053495256195072,"The #USMNT is set to play the Netherlands, with a chance to make the World Cup quarterfinals for the first time since 2002. Join us for live coverage. https://t.co/MQYDxBF02W",WSJ,en,USA
20221203,1598889839327412224,"The designs pros behind three period pieces streaming on Netflix this winter—""The Crown,"" ""Lady Chatterley’s Lover,"" and ""The Pale Blue Eye""—walk us through the décor, from porcelain to taxidermy, that provide vivid windows into the characters' psyches https://t.co/vGLjH8eAzt",WSJ,en,USA
20221208,1600943401884598274,"From @WSJopinion: If Putin outlasts the free world to prove it’s possible to absorb a nation’s identity, his win will leave the rest of us standing on the downslope of what we say we represent, writes @DanHenninger https://t.co/Ma3aXcLdSF",WSJ,en,USA
20221208,1600694203255693312,"From @WSJopinion: Every president-elect is required to take an oath swearing to “preserve, protect, and defend the Constitution of the United States.” Would it be reasonable to believe Trump if he uttered this oath on Jan. 20, 2025? asks William Galston. https://t.co/HYJ2WCX2B4",WSJ,en,USA
20221224,1606462199404298246,"From @WSJopinion: Spare us a Trump-Biden rematch. The president is likelier than his predecessor to be nominated, but could he be persuaded to bow out? asks @Peggynoonannyc https://t.co/uyIVh5ENpf",WSJ,en,USA
20221225,1607058689826983939,"From @WSJopinion: Spare us a Trump-Biden rematch. The president is likelier than his predecessor to be nominated, but could he be persuaded to bow out? asks @Peggynoonannyc https://t.co/y29d30Z5OW",WSJ,en,USA
