Datetime,Tweet Id,Text,User Name,Language,GPE
20221202,1598805848662638592,Over 14.5 million people have fled #Ukraine since the start of the Russia-Ukraine conflict and 11.7 million entered #EU countries https://t.co/qRFJr0NdcU https://t.co/iItFWjvadY,XHNews,en,Russia
20221202,1598778444069761025,"Moscow is not prepared to negotiate with Washington if the U.S. sets the precondition that Russia pulls troops out of #Ukraine, Kremlin spokesman Dmitry Peskov said https://t.co/qRFJr14geU https://t.co/pnWpnlLNWK",XHNews,en,Russia
20221202,1598685652618727424,"China, Russia on Friday co-chaired the 26th session of the committee for regular meetings between heads of government via video link  https://t.co/sB3t8yCOs7 https://t.co/CmT0JnqLVT",XHNews,en,Russia
20221202,1598591918291619841,"Türkiye has decided to negotiate with Russia the construction of another nuclear power plant at a time when the West is trying to isolate Moscow, and analysts said energy-thirsty Türkiye has to be pragmatic to ensure energy security for its industry and citizens #GLOBALink https://t.co/oWyKPegftR",XHNews,en,Russia
20221205,1599890953598214145,"The world should be multi-polar, but the U.S. attempts to restrain the development of other countries to maintain its hegemony, said the chairman of Russia's lower parliament house https://t.co/wbw8q8e6dJ https://t.co/JjmBbwSUW9",XHNews,en,Russia
20221206,1600249583770120193,"Russia could cut #oil output after the #EU and G7 decision to cap the price of Russian crude, Deputy Prime Minister Alexander Novak said https://t.co/8t0mUWaVq8 https://t.co/a1TZVo2ZbL",XHNews,en,Russia
20221207,1600407216699617280,"Chinese Premier Li Keqiang expresses China's willingness to maintain high-level exchanges, strengthen exchanges and cooperation in various fields with Russia, and deepen the China-Russia comprehensive strategic partnership of coordination https://t.co/fBhyb8p5Pp https://t.co/rCoMFRFoXp",XHNews,en,Russia
20221212,1602426166006415360,Russia scrambled a MiG-31 fighter jet to escort a Norwegian P-3C patrol aircraft over the Barents Sea https://t.co/zLOjeLaOzz https://t.co/D1E0fuCzGW,XHNews,en,Russia
20221214,1603152102754516992,White House confirms American citizen detained by Russia released during Russia-Ukraine prisoner swap https://t.co/Wf2RVBFAVM https://t.co/MJNM9zBZga,XHNews,en,Russia
20221215,1603201029566517249,The export of automobiles from China to Central Asia and Russia has accelerated thanks to railway and road ports in Xinjiang https://t.co/P0UciNFvSV,XHNews,en,Russia
20221216,1603867562982649856,"Putin and Modi discussed prospects for Russia-India cooperation in mutual investment, energy, agriculture, transport and logistics in a phone conversation https://t.co/jAsqxhRR9i https://t.co/E7q2ls7Z7l",XHNews,en,Russia
20221219,1604978753196945408,Putin held talks with Lukashenko in Minsk in a bid to strengthen comprehensive cooperation between Russia and Belarus https://t.co/nORKYtIVpW https://t.co/0YoAkUIIH0,XHNews,en,Russia
20221221,1605671484579467265,"Russia will continue to increase the combat capability of its armed forces, President Putin said https://t.co/9Nqm3VDgZV https://t.co/QMnESclOjp",XHNews,en,Russia
20221221,1605571401519616004,"Xi Jinping on Wednesday met with Chairman of the United Russia party Dmitry Medvedev.
Xi said China is ready to work with Russia to push forward China-Russia relations in the new era and make global governance more just and equitable https://t.co/xSbwgvlC5h https://t.co/oect8ezOJa",XHNews,en,Russia
