Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598169578336489473,"For the United States, disadvantaging the rivals is a necessary move to maintain its Tech hegemony. https://t.co/MszvCJ4LJl",XHNews,en,USA
20221202,1598629237275398144,"The United States has seen over 1 million firearm fatalities over the past three decades with the death rates reaching a 28-year high in 2021, amid a surge in both gun violence and ownership https://t.co/c0UHcK3OOh https://t.co/tOaVq5Zi2r",XHNews,en,USA
20221203,1598933200881225728,"Amid a surge in both gun violence and ownership, the United States has seen over 1 million firearm fatalities over the past three decades with the death rates reaching a 28-year high in 2021. #GLOBALink https://t.co/oaZ7vPjRTH",XHNews,en,USA
20221203,1598858836244582401,Chinese Foreign Ministry Spokesperson Zhao Lijian said the United States is letting its ally Europe pay the price in the crisis https://t.co/U2SYn44OXB https://t.co/6ZbNXkueH1,XHNews,en,USA
20221204,1599395602122801153,"Black Friday usually kicks off a yearly sales event in the United States, putting the holiday shopping season in full swing. This year, however, consumers strained by record high inflation have become more careful about spending. Read https://t.co/93OEdDaj5P https://t.co/7o2KCDjlSb",XHNews,en,USA
20221206,1600078202550259712,"California, US' most populous state, is among the states that have been hit hardest with ""very high"" flu levels, US CDC has said.
This is against the backdrop of a nationwide spike in influenza-related hospital admissions, CDC said in its latest report https://t.co/F4Xj6LcIXB https://t.co/lLOGdz0JJs",XHNews,en,USA
20221206,1600048023500775424,"The world should be multi-polar, but the United States attempts to restrain the development of other countries to maintain its hegemony, said Vyacheslav Volodin, Chairman of the Russian State Duma, on Monday. #GLOBALink https://t.co/3H8lS91OtO",XHNews,en,USA
20221206,1599998045634015233,"What is a future village,and how does it function? Join us as we see how smart ideas are revitalizing rural life and work in Zhejiang Province.#GLOBALink https://t.co/7866sVM99j",XHNews,en,USA
20221206,1599995693279547393,Chinese foreign ministry spokesperson Mao Ning on Monday said that cooperation between the United States and Europe should not target any third party https://t.co/PEKAb9mkYe https://t.co/7QwxsOcAeP,XHNews,en,USA
20221206,1599970665104543745,"We share this planet with millions of other creatures. Yet nature is in crisis and 1 mln species face extinction. Conservation efforts are vital to protecting wildlife. Help us remind those who forget.
Leave a comment to describe fantastic animals in your country!#COP15 https://t.co/GcVgwXlOfS",XHNews,en,USA
20221207,1600529974431076352,"Nearly all steroids are illegal without a prescription in the United States, but bodybuilders say they are easily obtained and widely used by competitors https://t.co/z9jXFJZ9dh https://t.co/9A4FhCX89Q",XHNews,en,USA
20221208,1600864085133885442,The Siberian Tiger Park in China's Harbin makes huge efforts in protecting tigers. Join us to see how technology does the work. #GLOBALink https://t.co/Rxzp57xhdl,XHNews,en,USA
20221211,1601943837571616768,"""Anyone who may outrun us, we take them down."" -- US politician Frank Upperwood
@SpeakerPelosi @SecBlinken @SenatorMenendez @USAmbChina @Trevornoah @jimmyfallon @michaeljkellyjr @JChengWSJ @StephenMcDonell @Katmyu @gillianwong @lauriechenwords @kanis_leung @nanditab1",XHNews,en,USA
20221212,1602323153673281536,"China urges the United States to withdraw its so-called sanctions on Chinese officials immediately, and stop interfering in Tibet affairs: FM spokesperson https://t.co/PqkzDSzCeT https://t.co/gTNY9AYfgq",XHNews,en,USA
20221212,1602248773920772098,"A UN resident coordinator in China said that China and the United States' joint leadership and shared influence, as evident at COP27, will encourage other nations to pledge more ambitious and bolder climate commitments towards a sustainable future https://t.co/tggKqmw5Fb https://t.co/ECOOO23eOg",XHNews,en,USA
20221213,1602676430655361024,"Chinese ambassador rebukes claims of ""debt trap"" in Africa
""Obviously, there is no such trap. It is not a plot. It is transparent, it is sincere,"" the Chinese ambassador to the United States said https://t.co/MliBjCLMbo https://t.co/KDzhFb0NMM",XHNews,en,USA
