Datetime,Tweet Id,Text,User Name,Language,GPE
20221202,1598805848662638592,Over 14.5 million people have fled #Ukraine since the start of the Russia-Ukraine conflict and 11.7 million entered #EU countries https://t.co/qRFJr0NdcU https://t.co/iItFWjvadY,XHNews,en,Ukraine
20221202,1598778444069761025,"Moscow is not prepared to negotiate with Washington if the U.S. sets the precondition that Russia pulls troops out of #Ukraine, Kremlin spokesman Dmitry Peskov said https://t.co/qRFJr14geU https://t.co/pnWpnlLNWK",XHNews,en,Ukraine
20221208,1600985279837351936,"The U.S. attempts to obstruct any Kiev-Moscow talks and at the same time is making huge profits from the current crisis in #Ukraine, Russian Deputy Foreign Minister Sergei Ryabkov said https://t.co/Qzbkawi2EC https://t.co/Kvkp058ids",XHNews,en,Ukraine
20221214,1603152102754516992,White House confirms American citizen detained by Russia released during Russia-Ukraine prisoner swap https://t.co/Wf2RVBFAVM https://t.co/MJNM9zBZga,XHNews,en,Ukraine
20221219,1604966865381380096,"UN chief says he does not expect effective peace talks over conflict in Ukraine ""at the immediate future"" https://t.co/s12BJRqRWG https://t.co/j55V6dk8jg",XHNews,en,Ukraine
20221221,1605455823257604097,"Ten months of combat. Few results of talks. Little room for reconciliation.
Read #WorldInsights for more: Peaceful settlement of Russia-Ukraine conflict remains out of sight https://t.co/g3X4sF28qB https://t.co/TbxH1Kig0M",XHNews,en,Ukraine
20221223,1606290358563766274,"Fallout from Russia-Ukraine conflict is wrecking havoc on the whole world, battering economies of the two countries &amp; hindering world recovery, while Washington is busy pocketing billions by selling massive weaponry &amp; overpriced fuel to European allies https://t.co/sZbprpjeqZ https://t.co/rcaltr8BSb",XHNews,en,Ukraine
20221223,1606184908007014400,"If Washington delivers the Patriot missiles to #Ukraine, they will become legitimate targets of Russian forces, Kremlin spokesman Peskov warned https://t.co/9vbDkXHZfj https://t.co/3ZkXobfl8S",XHNews,en,Ukraine
20221225,1606958381407010818,"Russia disclosed information of U.S. high-ranking participants in the military biological studies in Ukraine, many of whom are associated with U.S. intelligence services or pharmaceutical companies https://t.co/0kJovKBVoB https://t.co/Z1OsI0fb1O",XHNews,en,Ukraine
20221226,1607466318936313856,"Russia is ""acting in the right direction,"" Putin said when answering the question whether Moscow is approaching a dangerous line on the situation in Ukraine https://t.co/ruWvxWWtj8 https://t.co/AeIIlBUssD",XHNews,en,Ukraine
20221226,1607334581082132481,"In the past year, the Egyptian government has been striving to curb soaring inflation caused by rising food and energy prices as a result of the Russia-Ukraine conflict and lingering COVID-19 pandemic https://t.co/8FkX4w0YuU #MideastStories https://t.co/54hl0o5kYO",XHNews,en,Ukraine
20221227,1607727484040269825,"""Stability is in urgent need in a world laden with changes and chaos. Only in this way can peace be realized."" Xinhua's chief reporter in Eurasia Fan Weiguo walks you through the year 2022 with insights into the Russia-Ukraine conflict and more. #GLOBALink https://t.co/WRO9bh8xVh",XHNews,en,Ukraine
20221227,1607705152131321856,"In 2022, Türkiye launched a diplomatic offensive with a number of initiatives to mend fences with regional rivals and actively mediate the Russia-Ukraine conflict, playing a big role in the shifting of geopolitics in Mideast https://t.co/XfVRKb8z2L #MideastStories https://t.co/OoYKHxSkF1",XHNews,en,Ukraine
20221228,1608041487505457153,"""Europe has had to cope with a spate of economic, political and social crises in 2022, resulting mostly from the spillover effects of the prolonged conflict between Russia and Ukraine.""
Watch #GLOBALink for Xinhua's chief reporter in Europe Li Shengjiang's recap and expectation. https://t.co/MRuImTUFKw",XHNews,en,Ukraine
20221229,1608423287981477888,"#Ukraine crisis #biodiversity, Europe's energy woe, #SeoulHalloweenStampede, #NordStream sabotage, #WorldCup #G20, #PakistanFloods, U.S. #GunViolence... Let's have a flashback of the eventful year of 2022 through the voices: https://t.co/NjqQmidd56 https://t.co/TYK40xincV",XHNews,en,Ukraine
20221229,1608372007829405699,"Europe has been severely impacted by the sanctions it imposed on Russia after the outbreak of its conflict with Ukraine, leading to the ongoing energy crisis, complete with gas shortages and high energy prices. #GLOBALink https://t.co/ZSgob4WCSi",XHNews,en,Ukraine
