Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598426724412301332,Coronavirus lockdowns and testing requirements were lifted in several cities across China following a wave of mass protests against the strict restrictions. https://t.co/q2Y4GiyTNQ https://t.co/XIIEQgw16s,nytimes,en,China
20221201,1598346212247216132,China's ruling Communist Party may be starting to back down on strict Covid restrictions in response to a wave of mass protests that has been the most widespread challenge to Beijing in decades. https://t.co/jMuw5skvy7,nytimes,en,China
20221201,1598297371372404736,"Protests across China have sent a stunning sign that even after a decade of censorship and detentions under Xi Jinping, a small and mostly youthful part of the population dares to call for a more liberal, politically freer China.
https://t.co/IqmkRRooEZ",nytimes,en,China
20221202,1598640655575793665,"He wore a balaclava to hide his face at a protest against China’s Covid rules. He changed his jacket when he was followed. But still the police called the next day.

China is using its powerful surveillance tools to track, intimidate and detain protesters. https://t.co/7vNRcvSa90",nytimes,en,China
20221202,1598595102376693761,"As China eases its ""zero Covid"" restrictions, scientists say it may struggle to reopen without risking a tide of deaths as huge swaths of the elderly remain vulnerable. ""The simple fact is that China is not ready for a wave on that scale,"" one expert said. https://t.co/6Z29ZYF7Hj",nytimes,en,China
20221204,1599432106773565441,"In China, the world’s harshest Covid restrictions — and the eruption of protests against them — have shown how Xi Jinping's authoritarian excesses have rewritten Beijing's longstanding social contract with its people. https://t.co/PAQrO8zOGW",nytimes,en,China
20221205,1599871288553738240,"As protests against Covid restrictions ripple across China, Chinese people in New York and the broader diaspora are watching, waiting. Many say they can't openly share worries with family in China, or even talk about the protests due to safety concerns. https://t.co/sXWvMOHKuv https://t.co/aFMyNUk7Hp",nytimes,en,China
20221205,1599822168195571714,"As protests against Covid restrictions ripple across China, Chinese people in New York and the broader diaspora are watching, waiting. Many say they can't openly share worries with family in China, or even talk about the protests due to safety concerns. https://t.co/MT6WkoHeb7",nytimes,en,China
20221205,1599769324268523520,"The mass protests that swept across China have subsided after an increased police presence. But a low-key hum of resistance against the authorities has persisted, suggesting that the big rallies emboldened a small but significant number of people.
https://t.co/JK5GNjNwtm",nytimes,en,China
20221205,1599720306096181249,"Recent protests in China have rippled to cities around the world with large contingents of Chinese students and activists — even Hong Kong, where dissent is now dangerous.

“Everyone has woken up,” a student in Australia said. “Slowly. Change takes time.” https://t.co/iWha0GJOA0",nytimes,en,China
