Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598391532515721225,From @TheAthleticFC: Belgium became the first truly heavyweight casualty of the 2022 World Cup as the team ranked second in FIFA’s rankings and who finished third in Russia four years ago was knocked out. The repercussions and recriminations have begun. https://t.co/LLL0kIORUC,nytimes,en,Russia
20221201,1598312258614054912,"Russia’s foreign minister, Sergey Lavrov, defended Moscow’s attacks on Ukrainian civilian infrastructure, calling it a legitimate military target, despite warnings by the UN that the strikes could amount to war crimes.
https://t.co/Hdj5MxKe2N",nytimes,en,Russia
20221201,1598202770078765058,"The UN launched a record-breaking appeal to international donors, asking for $51.5 billion to tackle what it called ""the largest global food crisis in modern history,"" fueled in part by Russia’s war in Ukraine. https://t.co/smCWd1JJsc",nytimes,en,Russia
20221202,1598787880612204561,"Paul Whelan, a former U.S. Marine imprisoned in Russia, called his family on Friday after weeks of silence that led U.S. officials to express concern for his well being. He did not explain why he was transferred to the hospital of a Russian prison. https://t.co/8jN9QNu2pD",nytimes,en,Russia
20221202,1598579985794715648,"Following a raid last week on a Ukrainian Orthodox monastery that Kyiv said was possibly housing Russian spies, Ukraine’s president proposed banning the operation of religious organizations “affiliated with centers of influence” in Russia. https://t.co/CN4CgKLTiA",nytimes,en,Russia
20221204,1599470176231215112,"Moscow said it would not sell oil that is subject to a price limit agreed upon by G7 nations, even if it means cutting production — adding to questions over whether the plan, which goes into effect Monday, will succeed in slowing Russia’s war in Ukraine. https://t.co/liA952Lazq",nytimes,en,Russia
20221205,1599887104154148876,"Breaking News: Kyiv used unmanned drones to strike two bases in the heart of Russia, a Ukrainian official confirmed, in Ukraine’s most brazen attack on Russia. https://t.co/IwXzez0ia6",nytimes,en,Russia
20221205,1599799552034455553,"Russia launched a volley of missiles at Ukraine’s energy grid on Monday, the latest of strikes targeting civilian infrastructure. Blackouts were reported in several regions, from Sumy along the border with Russia to Odesa on the Black Sea coast. https://t.co/iUwCCgRAJ5",nytimes,en,Russia
20221205,1599697625120481280,"More than nine months after Russia invaded Ukraine, neither the war effort nor the Russian economy has collapsed. But the impact of an exodus of Western companies is evident in communities across Russia, and experts say the worst may be yet to come. https://t.co/qhajS6yRop",nytimes,en,Russia
20221205,1599682539471491072,Europe and the U.S. began enforcing two of the toughest measures aimed at curbing Russia’s income from oil. The first is a price cap initiative led by the U.S. The second is an embargo under which EU nations will no longer be able to buy most Russian oil. https://t.co/bT6q6eNli1,nytimes,en,Russia
20221205,1599575553337614341,"In Opinion

“Remarkably, in the midst of a disastrous war, Russia’s legislators are focusing their ire on a lyrical coming-of-age novel,” write @ElisabethSchimp
 and Felix Sandalov. https://t.co/ttWqdaGNEg",nytimes,en,Russia
20221206,1600182055664484362,"A drone attack on Tuesday struck near an air base in Russia, a local official said, a day after Ukraine used drones to hit two military bases deep inside Russia. If confirmed by Ukraine, it signals that it's willing to bring the conflict closer to Moscow. https://t.co/jB2aXOIS3d https://t.co/kKju6BAKAM",nytimes,en,Russia
20221206,1600155616357584896,"As Ukraine battles to protect its power grid from Russia’s relentless assault, the country’s National Philharmonic took the stage in the dark.

Swipe through to see some of the orchestra’s performance →
https://t.co/vVxq2FYpzU",nytimes,en,Russia
20221206,1600067596799426561,"Some of the cruise missiles that Russia launched at Ukraine’s civilian infrastructure in November were made months after the West imposed sanctions intended to deprive Moscow of the components needed to make those munitions, a weapons research group said. https://t.co/PoUiU6vbty",nytimes,en,Russia
20221206,1600022262165430272,"Ukraine used drones to attack two military bases hundreds of miles inside Russia, demonstrating Kyiv’s ability to strike such long distances, according to Russian and Ukrainian officials. https://t.co/RSxpOqxa2P",nytimes,en,Russia
20221206,1599992061859663873,"Ukraine targeted two military bases hundreds of miles inside Russia using drones, according to the Russian defense ministry and a senior Ukrainian official. https://t.co/eFdhQrRtlQ",nytimes,en,Russia
20221206,1599946743885488129,"President Vladimir Putin intensified his crackdown on LGBTQ people, signing new legislation that widely bans public expression of their identity in Russia. https://t.co/5aGUrIK90j",nytimes,en,Russia
20221207,1600618682819944460,"In Opinion

Father Ioann Burdin is a priest in the Russian Orthodox Church who ran afoul of his government soon after Russia invaded Ukraine. Watch more in this Opinion video. https://t.co/ZjoTRrzOW7",nytimes,en,Russia
20221207,1600563313586356232,"For our critic, Jason Farago, the year in culture can be divided into two eras: before Feb. 24, after Feb. 24 — or, after Russia invaded Ukraine, recasting art in a hard new light. https://t.co/3yAduLMT9M",nytimes,en,Russia
20221207,1600474356253089793,"President Volodymyr Zelensky of Ukraine is Time's person of the year.

The Ukrainian leader has come to personify his nation’s resistance since Russia invaded. The magazine also recognized ""the spirit of Ukraine."" https://t.co/srIv1burZg",nytimes,en,Russia
