Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598401571561373701,"""Stars haven’t always had to pour themselves into playing superheroes. They’ve used that power to play us — people,"" writes @Wesley_Morris. https://t.co/0YK4o1Q36M",nytimes,en,USA
20221201,1598343743249289217,Please DM us at @nytimesevents if you would like to submit a written question or would like to ask a question live during the conversation. https://t.co/epiV3QcfpP,nytimes,en,USA
20221202,1598804219699625984,From @TheAthleticFC: We assessed World Cup team styles during the group stages. This is what advanced metrics tell us about USA-Netherlands and other knockout matches. https://t.co/pmr8VNuodg,nytimes,en,USA
20221202,1598758949842452500,"From @TheAthleticFC: Christian Pulisic has been cleared to play for the USMNT against the Netherlands on Saturday. He was in doubt for the game after suffering a pelvic contusion injury after scoring during USA’s 1-0 win against Iran.
https://t.co/yHBdPT8xZF",nytimes,en,USA
20221203,1599043300140384258,From @TheAthleticFC: Who is the best-dressed manager at the #FIFAWorldCup? Come with us as we bring you a rundown of the fashion on show. https://t.co/Bu1FEc6PT3 https://t.co/IOFBdAmGAx,nytimes,en,USA
20221203,1598854553335652356,"People with severe mental illness may soon be brought to New York City’s emergency rooms for evaluations against their will, under Mayor Eric Adams's plan announced this week. Doctors told us what might happen to them next. https://t.co/l38w4NmAH5",nytimes,en,USA
20221206,1600145930715791364,Are you a recent graduate or college student applying for tech jobs or internships? Please tell us about your experience in this form. https://t.co/PjTmPV4YyF,nytimes,en,USA
20221207,1600569671161372674,"What book was your favorite read of 2022? Share with us below one book, new or old, that you read and loved in 2022, and tell us why you loved it. https://t.co/UHFJxZ9Zcv",nytimes,en,USA
20221209,1601305736340021248,"Do you have a smart speaker or digital voice assistant, like Amazon's Alexa? We would like to hear how families use theirs. Please tell us about your experience in this form. https://t.co/YWShpVEALQ",nytimes,en,USA
20221211,1602029207097417729,"Love them or hate them, these 93 most stylish picks from The New York Times Styles desk all have at least one thing in common: At some point over the past 12 months, they made us talk. https://t.co/ab5Hz9SA2h",nytimes,en,USA
20221212,1602377826073812994,"“It was a wake-up call. The war is not only in Ukraine. It can also affect us, even if it is hard to attribute,” said Tom Røseth, a professor at the Norwegian Defence University College. https://t.co/VSpswKvZ4O",nytimes,en,USA
20221212,1602367705633493219,"What happened this year in popular culture and far-flung corners of social media may not have broken through your self-curated internet experience. Join us and take a stroll down 2022’s digital memory lane.
https://t.co/4jIaeNGSRL",nytimes,en,USA
20221213,1602506137236082688,"What book was your favorite read of 2022? Share with us below one book, new or old, that you read and loved in 2022, and tell us why you loved it. https://t.co/cCcf4vWZal",nytimes,en,USA
20221214,1603174264118644739,"El Paso has long rolled out the welcome mat to migrants following their star to the United States. But as migrant arrivals surge this month, the crisis is arousing a mix of emotions. https://t.co/n5C02HgrdY",nytimes,en,USA
20221214,1603095017446424579,"More than two dozen people were injured in storms across Texas and Oklahoma on Tuesday, including at least seven people who were hospitalized. ""It just happened all of a sudden,"" one Texas resident said. ""It caught us off guard."" https://t.co/u6gsx4KEnn https://t.co/4uc30vvpEl",nytimes,en,USA
20221214,1602840822608699394,Katie Holmes’s recent red carpet outfit caused a stir online. Her stylist takes us behind the look. https://t.co/ZVLrvzfaH7,nytimes,en,USA
20221215,1603496393678675983,"When a family member dies, surviving relatives used to dig through boxes. Today, relatives look through countless digital scraps left behind. Tell us about the surprising or moving screengrabs, selfies or messages you found after a loved one died. https://t.co/67AD0dyppO",nytimes,en,USA
20221215,1603423417029361668,From @TheAthleticFC: The clash between Argentina and France in the last #FIFAWorldCup produced seven goals and one of the greatest games this tournament has ever given us. https://t.co/otUQ3i1uHw,nytimes,en,USA
20221215,1603404789030821889,Please DM us at @nytimesevents if you would like to submit a written question or would like to ask a question live during the conversation. https://t.co/l7ZE2cPvLB,nytimes,en,USA
20221215,1603283762296545281,From @TheAthleticFC: The clash between Argentina and France in the last #FIFAWorldCup produced seven goals and one of the greatest games this tournament has ever given us. https://t.co/SwEuMHjsj2,nytimes,en,USA
20221216,1603593268532502529,"In Opinion

""Is ChatGPT a sorcerer or an assassin? It and its kin promise to save us time, sweat and error, but potentially at a price,"" writes @FrankBruni. ""It’s called pointlessness."" https://t.co/ArxvVhQvGI",nytimes,en,USA
20221219,1604854130387914752,"When Céline Dion announced that she had stiff person syndrome, a neurological condition, she was met with an extraordinary outpouring from Quebec, the Canadian province of her birth.

“She is everything to us, a source of pride, our queen,” a fan said.
https://t.co/8fA8AAPEE8",nytimes,en,USA
20221220,1605167415473704960,2022 was the year the world (mostly) reopened for travel. Here are some of our favorite stories that helped us dream of where to visit and make plans for when we finally got there. https://t.co/iMcSvTf79c https://t.co/lXyFdiwV0O,nytimes,en,USA
20221220,1605015143133372417,"It’s not Christmas in a Puerto Rican household without coquito, so hear us out: Coquito Ice Cream. https://t.co/yd4WCH3nw3 https://t.co/1k8fFcfIfK",nytimes,en,USA
20221220,1605005100342300673,"A third year of pandemic holiday travel is upon us, but this year instead of just thinking about how to stay safe from the coronavirus, people are also worrying about how to avoid the flu and RSV. Here are some steps you can take to travel safer.
https://t.co/v4S1kWvcFz",nytimes,en,USA
20221221,1605590184950697984,"""This will be a day to remember in the history of the United States Congress,"" Senator Chuck Schumer, the majority leader, said in remarks on the Senate floor about President Volodymyr Zelensky of Ukraine's visit to Washington.

Follow live updates: https://t.co/sdcWJPpEPo https://t.co/MoKAoOV6ZQ",nytimes,en,USA
20221225,1607034701243469827,"For most of us, it’s the crescendo of the holiday season. But for the NFL, it’s do-or-die time. https://t.co/iVRK8p6P3y",nytimes,en,USA
20221225,1606959194539704321,2022 was the year the world (mostly) reopened for travel. Here are some of our favorite stories that helped us dream of where to visit and make plans for when we finally got there. https://t.co/Q57lmONjYl,nytimes,en,USA
20221227,1607767028042956800,"A reader asks the Ethicist: My partner's parents stay with us every weekend, occasionally even during the week, and the frequency has worn me down. Visiting us is apparently their only hobby or life goal. Do I get a say? https://t.co/UGbVb67xah",nytimes,en,USA
20221230,1608889135342981125,"How close were classified documents kept near guests at Mar-a-Lago? 

What makes a movie the greatest of all time? 

How will heat change us? 

How did America lose one million people to Covid? 

We answered these questions and more. https://t.co/rRgW6P7zrk https://t.co/nqqmm4rYB0",nytimes,en,USA
20221230,1608825249193234433,"In Opinion

""I grew up with a monster,"" Kerry Hudson, a British author, writes in a guest essay. ""That monster could stop us from bathing, eating or sleeping. It could, and did, make us ill."" https://t.co/7PqAW7lz7E",nytimes,en,USA
