Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598395629763534849,"President Biden signaled on Thursday that he would be willing to speak with Vladimir Putin if the Russian leader is willing to end the war in Ukraine, but noted that Putin has made clear he is not ready to do that. https://t.co/BDdJQgzQPB",nytimes,en,Ukraine
20221201,1598339732626460675,"President Biden on Thursday is hosting President Emmanuel Macron of France. Their discussions will confront challenges to the relationship between their counties, which is being tested by disagreements over green energy policy and the war in Ukraine. https://t.co/S3nbq5H2Z9",nytimes,en,Ukraine
20221201,1598225440375799808,"The EU’s top official proposed the creation of a UN-backed court to prosecute possible Russian crimes in Ukraine. The idea reflected frustration in trying to hold anyone accountable in the war, and actually reaching trials is likely to be very hard. https://t.co/Kknqgcw6PV",nytimes,en,Ukraine
20221201,1598202770078765058,"The UN launched a record-breaking appeal to international donors, asking for $51.5 billion to tackle what it called ""the largest global food crisis in modern history,"" fueled in part by Russia’s war in Ukraine. https://t.co/smCWd1JJsc",nytimes,en,Ukraine
20221202,1598677127351738368,"Ukrainian embassies in several countries have been targeted with “bloody packages” containing animal eyes, Ukraine’s Foreign Ministry said.
https://t.co/JFmNSVCcbI",nytimes,en,Ukraine
20221202,1598651958943965185,"Four lion cubs orphaned during the war in Ukraine arrived at the Minnesota animal sanctuary that will be their new permanent home.

Taras, Stefania, Prada and Lesya were bred for the exotic pet trade and abandoned as the fighting escalated.
https://t.co/yyKobrKnHE https://t.co/7DD9HykaTz",nytimes,en,Ukraine
20221202,1598579985794715648,"Following a raid last week on a Ukrainian Orthodox monastery that Kyiv said was possibly housing Russian spies, Ukraine’s president proposed banning the operation of religious organizations “affiliated with centers of influence” in Russia. https://t.co/CN4CgKLTiA",nytimes,en,Ukraine
20221202,1598572687781253120,"President Biden signaled on Thursday that he would be willing to speak with Vladimir Putin if the Russian leader is willing to end the war in Ukraine, but noted that Putin has made clear he is not ready to do that. https://t.co/BF3Qpr2ghU https://t.co/1qfh4fbqwu",nytimes,en,Ukraine
20221203,1599149964327788544,"A widow is putting a 400-year-old emerald ring, valued between $50,000 and $70,000, up for auction at Sotheby’s next week. All proceeds will be donated to support humanitarian efforts in Ukraine. https://t.co/K5GkHu47w4",nytimes,en,Ukraine
20221203,1599062169697632256,"No one knew what to do with a lost Russian pilot who suddenly appeared in the occupied city of Kherson, Ukraine. Seeing no good options, a man overseeing a civilian watch group returned him to the Russians. Now, Ukrainian officials say that was a crime. https://t.co/yS82LFwX7F",nytimes,en,Ukraine
