Sentiment,Text
0,Sucks being stuck at home  reading ap 
0, oh im sorry  who is going to be president?
0, You need to add consumer debt to government debt. 
0,395 votes for Hungary?What? B N  
0,H   just reformatted my plain text list note on my . Not clever 
0,"just heard the news this morning about the GA Theatre burning in Athens.  My friends, Mass Solo Revolt played there just last night!"
0,"MEP elections, who gets my No. 3? Trying to decide between Sinn Fein and Fianna Fail, bit of a Mortons Fork here, really dont want either "
0," Yup the fed is the face of state run capitalism,  bad mojo "
0, Need to vote with my keyboard and do this assignment instead! 
0, I hope he goes tonight!  I wish I could vote.  
0, If only you could take Republicans to obdience school. 
0, I am lost. Please help me find a good home. 
0, I have left the Palace. Until next  Heading back to the USA. Time to wake up. 
0, Oooh those are very nice! Too bad they don't ship outside of the USA 
0,SHOCKED at the news that Fr Joe has been removed as the Church's Film Reviewing Board Chairman. woo hoo Theocratic Malta. what a blast! 
0,Am queueing along federal hiway after two weeks of smooth  hols is over 
0,AP government tomorrow. Shoot me now 
0, I can't Vote 4 u a the MTV movie awards. There is no vote button. Is it cause i live in sweden? I wanna vote 4 u 2  u rock xo
0, but in English ... its weird listening to Americans talking soccer. I don't mind the guys of the Premier but after that 
0, - I tried  too and it never would work.  After downloading the Air file a prompt said it was probably corrupted. 
0,Only 45% turn out to vote. Disappointing..!!! 
0,good friend apparently on the cover of Red Deer Advocate for his service in the  internet page won't load so I can see 
0," i'm on the US store, I just need a payment option is all. Demos and free apps only go so far "
0, My vote is cast! Was going to play with TwtPoll and some others later. Got to get my blog up and running but no time 
0, This year 
0,It's so unfair the USA have The Sims 3 right now and I have to wait until Friday!  x
0,It would be great if I could hear audio from the Center for American Progress Web 2.0 and the Federal Govt event 
0, Boston and Atlanta both  vote goes to the Nuggets for NBA Champions! 
0, ohmigosh.. what on earth happened?! you were so far in the lead yesterday  i voted &amp; will send out again for more
0,Everyone voted that this nail polish was barfy.  I liked it.  
0,I picked the wrong damn day to throw my contacts out. Now I have to distribute literature 2 the house and senate and u can't c shit 
0,[with ] Duck-Rabbit Rabid Duck Imperial Stout.  Not great.  
0, I just got tweet saying poll I voted on doesn't exist. 
0, I vote that dance is never done  
0, I only have a golden straw to offer you as a proposal gift    
0,"Trying to vote for  On teen choice, But the things SO slow "
0,"Argh!  Can't submit to  PHP Conf Brazil '09 CfP. Schedule conflict, I'll be in the US then.    "
0,Experiencing the painfully SLOW Indian bureaucratic  
0,help peeps? i need atleast 100+ votes maybe get a chance to act get anything. i srsly need the ipod shuffle cus i need new earset 
0, I second that vote.. no more spiedi!!  P.S. you don't follow me on  it hurts! 
0,terrorised by a giant spider.  think i got about 3 hours sleep 
0,"&quot;Iran denies Mir Hussein Moussavi permission to protest country's election results, Iran media reports.&quot; -- Wow! "
0, No he has been nominated for Oscars but never won.. 
0,I REALLY wanna know if David is back in the US or not yet.  *cough* David should Tweet. *cough*
0,FUCK YOU LIVE NATION!!!!! You have thwarted me yet  
0,Atmosphere in Iran is getting dire  The party who rigged the election has totally closed off the country! Communication black out!
0, I saw you dropped out of the    But did you also stop voting for your sisters?
0, I wish I was! Too bad I don't live in the US 
0,My word doc got corrupted and I just lost all the work I did yesterday on my final. Sad.  not the best way to start the day.
0,is back from the premier. i am sunburnt 
0,"Thinking sphinx here I come, anyway. The main acts_as_solr rails plugin is buggy anyway. It corrupts date searches - I had to patch that "
0,just arrived in the office and the first bad news  our proposal to the International Treaty wasn't accepted 
0,Oh noes! It already exists! What will I tell the venture capitalists? 
0,At food republic. My legs are breaking 
0, only for the US I  got '401 error - wrong country' 
0,"Liverpool Echo liveblog is saying N. West results Conservatives three, Labour two, Lib Dems 1, UKIP 1, and BNP 1 Not good at all. "
0,No more puppet commercials!!! YES!!! No more stupid vitamin water commercials!!! Yes!!! DWIGHT DETHRONES THE KING TONIGHT!!!! Sad really 
0,Oh noes! TwitPic is starting to corrupt photos and its database records again    
0,IM REALLY BUSY SORRY FOR NOT BEING ABLE TO TWEET MUCH! MISS YA LA.. HAHA KKK BAC TO WORK 
0, Yo wish you could run for president 
0,Stuck in the middle of corporate politics - I hate playing these games 
0," - from what I understand, it gets them European funding as a political party "
0,"it's 9:57 and i've decided i really, REALLY want to play Dance Dance Revolution. Dang. "
0,Stuck working with Amberoshia AND Christina. I wanna shoot myself in the foot so I can go home.. Or does that only work in the Army? 
0," I saw a guy earlier wearing a &quot;Made in the Republic of the Philippines&quot; shirt (like mine hehe), only it's not Team Manila. "
0,"  Quiet Corrupt Ahmadinejad! Haven't you got something you could be falsifying, elections, poll numbers, human rights etc "
0,Khamenei is indirectly blaming the deaths on reformist leaders saying they helped the situation!  
0,My Sundays are so bleak with the United States of Tara &amp; it's Dissociative-Madness 
0,ok so i still have a ton of politics to do  badtimes. saturday night has officially gone down the drain
0,"Oh Tat, come on stop to joke!I don't think i'll have The united states, what a pity   I'll like but  waiting my fishes"
0, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i &lt;3 you. u helped me thru the hrdest time of my life! (: x
0," Sucks that we get The Ellen Show months after they were produced  Today they showed your voting show, well behind "
0," Obama sought to enlist consensus- buckle your seat belts America, here comes Socialism - we are screwed "
0, aww  im sorry  i thought it was supposed to be released June 15th everywhere except US and the US would get it today?
0,MS Australia tells Firefox/Safari/Chrome users to get lost  What a -ve Mktg campaign to run  via  )
0,"Iran Election Crisis: 10 Incredible YouTube Videos!   Last but one, is really Horrible "
0,is frustrated with my Internet.. can't vote on the Teen Choice Awards!!!  My Internet keeps freezing every time.. froze yesterday &amp; now 
0,"argh.. will be missing the rock en seine festival in france by a couple of days.. oasis, bloc party, keane + many other awesome acts. "
0,"hopes building a pillow fort will help ease the pain resulting from seeing the loss of a 35-game winning streak to the US, of all teams. "
0,Lost one follower!  Oh well!! Did you ppl hear about the Smosh Food Battle 2009 on Youtube? Well there is a poll. Vote for Burrito!!! Yay!
0, I've only been able to vote twice since it went to elite. The page never loads for me 
0,"I was trying to keep an open mind regarding the Iranian election, but that speech was so typical and depressing.  "
0,Going to write the blog article first thing tomorrow Dad's watchin the election in my room 
0,"learned labour essay, well most of it! i just cant get the first paragraph in my head =/ gonna move onto suffragettes "
0,Caught out in the rain. Hiding out on the national guard recruiting officer's porch. 
0,Awww out of the united states already 
0,well the plan for revision today went basically out the  civil rights revision is the most tedious thing i have ever done  x
0,Anyone know if Premier League badges are glued or stitched on? Don't wanna ruin my Toon top 
0,revolutionary road is good but sad 
0, The humans are all fine but we have an unwelcome colony of ants to deal  they went but now back 
0,please vote for me!!!!!!  
0,dad accidentally took ALL my shoes to the salvation army. fml. I dont even have flip flops anymore 
0,"Going to watch Angels and Demons, 1915hrs at Glitz Cinema, New Friends colony, New Delhi. Seats: 3rd row from the front  With "
0,Election polls ugh so bored! 
0,i'm tagging all my LJ entries &amp; i came across one from civic tour last year from portland with autistic boyfriend &amp; company and got sad 
0, is sunny am working 
0,Movers coming Sunday to move me from nj to I I wasn't so broke! Now driving across the usa with be boring w/ nothing to do! 
0,I accidentally reformatted my hard drive.  Oops. 
0, Well thats just mean spirited  I'm up now wanna go to chik fila?
0, there aren't any &quot;Sean for dictator&quot; rooms either I bet  it's almost as if no one wants me to be dictator
0, Agree re going back to move fwd.  Our country is in danger.. it's like politicians have been like fed-level carpetbaggers 
0,In the US 
0," 'Poetic Justice', I think they call it, Charles "
0,"cant wait to go to the US OPEN in NYC in less than a month! love reunions but the event for the reunion is being done not fun, funeral "
0,"Detroit is a Big Government, social welfare -- Catastrophe "
0," Oh, arse. Sounds like my chum (and sometime SGP candidate) Martin lost that particular fight, then. "
0,is anyone going training today for elections!!!!!! 
0,449 updates KKK 
0,My favorite breakfast spot Blue Plate Brunchery has closed down!  It's now a U.S. E 
0," unfortuantly, President Obama did a cop out. The least they can do is send in aid "
0," Awww, not about Justice Hardie B  A good read though!"
0, as a Yorkshireman i can only appologise for the racist scum that voted them in 
0,Officially appointed as CL - Curriculum Leader &amp; given monthly allowance. S rather not be a CL...Cannot stand the office politics 
0,"Crazy, crazy, crazy @ work. Wrote 2K-word article, designed 3 booths, and tried to manage staff. Resolution issues everywhere. "
0,"Going to this army thing tomorrow, i dont do that stuff. Im guessing it will suck "
0,Today El Salvador swore in the first far left President to ever be   ... Hope we don't end up like Cuba
0,"is worryiing about her Nissin votes :'-( guys, help me promote nmn!  "
0,iran  f*ck the dictator.
0,The Guardian's crowd sourced MP expenses investigation app is super slow today. [insert gag here] 
0, I officially bahleeted all my Heroes to make room for Justice League  Sorry.
0, i would vote but i can't get the domdamn link to work!!!!! 
0, what time will you be Kuching round in Bristol til? I have election training after work so won't make it in time for your gig 
